Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,3.20,3.35,3.18,3.25,2400,3.25
2015-07-16,3.38,3.38,3.34,3.34,300,3.34
2015-07-15,3.20,3.44,3.20,3.36,800,3.36
2015-07-14,3.12,3.38,3.11,3.35,300,3.35
2015-07-13,2.99,3.29,2.99,3.27,2800,3.27
2015-07-10,3.10,3.21,3.05,3.14,1400,3.14
2015-07-09,3.30,3.30,3.00,3.16,17600,3.16
2015-07-08,3.04,3.15,3.04,3.15,700,3.15
2015-07-07,3.25,3.25,2.97,3.19,1200,3.19
2015-07-06,3.10,3.10,3.10,3.10,2400,3.10
2015-07-03,3.30,3.30,3.01,3.26,8200,3.26
2015-07-02,2.89,3.18,2.89,3.15,15300,3.15
2015-07-01,3.00,3.07,2.82,3.04,100,3.04
2015-06-30,2.73,3.01,2.73,2.93,100,2.93
2015-06-29,2.87,3.17,2.87,2.87,6300,2.87
2015-06-26,3.02,3.32,3.02,3.02,4200,3.02
2015-06-25,3.17,3.25,3.17,3.17,4700,3.17
2015-06-24,3.12,3.33,3.12,3.33,5000,3.33
2015-06-23,3.57,3.57,3.27,3.28,3400,3.28
2015-06-22,3.44,3.44,3.13,3.40,000,3.40
2015-06-19,3.39,3.39,3.13,3.29,2600,3.29
2015-06-18,3.39,3.39,3.14,3.29,4200,3.29
2015-06-17,3.61,3.61,3.28,3.30,600,3.30
2015-06-16,3.49,3.49,3.23,3.45,000,3.45
2015-06-15,3.45,3.45,3.38,3.38,1500,3.38
2015-06-12,3.55,3.55,3.30,3.30,100,3.30
2015-06-11,3.45,3.45,3.45,3.45,000,3.45
2015-06-10,3.45,3.45,3.45,3.45,500,3.45
2015-06-09,3.63,3.63,3.63,3.63,000,3.63
2015-06-08,3.63,3.63,3.63,3.63,600,3.63
2015-06-05,3.46,3.82,3.46,3.82,700,3.82
2015-06-04,3.98,3.98,3.64,3.64,000,3.64
2015-06-03,3.80,3.80,3.80,3.80,000,3.80
2015-06-02,3.99,3.99,3.99,3.99,000,3.99
2015-06-01,4.00,4.00,3.99,3.99,7500,3.99
2015-05-29,4.19,4.19,4.19,4.19,000,4.19
2015-05-28,4.22,4.22,4.18,4.18,000,4.18
2015-05-27,4.16,4.16,4.16,4.16,900,4.16
2015-05-26,3.99,3.99,3.99,3.99,000,3.99
2015-05-25,4.29,4.29,3.99,3.99,100,3.99
2015-05-22,4.15,4.15,4.15,4.15,000,4.15
2015-05-21,4.00,4.15,4.00,4.15,000,4.15
2015-05-20,4.30,4.30,4.13,4.15,000,4.15
2015-05-19,4.34,4.34,3.95,4.13,1300,4.13
2015-05-18,4.15,4.15,4.15,4.15,000,4.15
2015-05-15,4.49,4.49,4.15,4.15,000,4.15
2015-05-14,4.36,4.36,4.36,4.36,000,4.36
2015-05-13,4.58,4.58,4.58,4.58,000,4.58
2015-05-12,4.58,4.58,4.58,4.58,000,4.58
2015-05-11,4.58,4.58,4.58,4.58,000,4.58
2015-05-08,4.58,4.58,4.19,4.58,200,4.58
2015-05-07,4.38,4.38,4.38,4.38,000,4.38
2015-05-06,4.38,4.38,4.38,4.38,000,4.38
2015-05-05,4.38,4.38,4.38,4.38,000,4.38
2015-05-04,4.18,4.18,4.18,4.18,000,4.18
2015-05-01,4.18,4.18,4.18,4.18,000,4.18
2015-04-30,4.18,4.18,4.18,4.18,000,4.18
2015-04-29,3.99,4.40,3.99,4.40,000,4.40
2015-04-28,4.20,4.20,4.20,4.20,000,4.20
2015-04-27,4.20,4.20,4.20,4.20,000,4.20
2015-04-24,4.07,4.07,4.06,4.06,000,4.06
2015-04-23,4.29,4.29,3.90,3.90,1200,3.90
2015-04-22,4.41,4.41,4.01,4.10,1000,4.10
2015-04-21,4.22,4.22,4.22,4.22,000,4.22
2015-04-20,4.06,4.06,4.06,4.06,000,4.06
2015-04-17,3.70,4.07,3.70,3.87,5900,3.87
2015-04-16,3.89,4.18,3.89,3.89,300,3.89
2015-04-15,4.43,4.43,4.09,4.09,1500,4.09
2015-04-14,4.30,4.30,4.30,4.30,000,4.30
2015-04-13,4.00,4.42,4.00,4.30,300,4.30
2015-04-10,4.21,4.21,4.21,4.21,000,4.21
2015-04-09,4.79,4.79,4.39,4.43,300,4.43
2015-04-08,4.62,4.62,4.62,4.62,000,4.62
2015-04-07,4.86,4.86,4.86,4.86,000,4.86
2015-04-06,4.86,4.86,4.86,4.86,000,4.86
2015-04-03,4.86,4.86,4.86,4.86,000,4.86
2015-04-02,4.86,4.86,4.86,4.86,000,4.86
2015-04-01,4.55,4.86,4.55,4.86,1000,4.86
2015-03-31,4.74,4.74,4.74,4.74,000,4.74
2015-03-30,4.70,4.70,4.70,4.70,000,4.70
2015-03-27,4.50,4.50,4.50,4.50,000,4.50
2015-03-26,4.50,4.50,4.50,4.50,000,4.50
2015-03-25,4.50,4.92,4.50,4.50,100,4.50
2015-03-24,4.90,5.10,4.69,4.69,3800,4.69
2015-03-23,4.93,4.93,4.93,4.93,000,4.93
2015-03-20,4.93,4.93,4.93,4.93,000,4.93
2015-03-19,4.93,4.93,4.93,4.93,000,4.93
2015-03-18,4.97,4.97,4.97,4.97,000,4.97
2015-03-17,4.75,4.75,4.75,4.75,000,4.75
2015-03-16,4.75,4.75,4.75,4.75,000,4.75
2015-03-13,5.01,5.01,4.75,4.75,1000,4.75
2015-03-12,4.80,4.80,4.80,4.80,000,4.80
2015-03-11,4.78,4.78,4.78,4.78,000,4.78
2015-03-10,4.22,4.59,4.22,4.59,2000,4.59
2015-03-09,4.44,4.44,4.44,4.44,000,4.44
2015-03-06,4.44,4.44,4.44,4.44,000,4.44
2015-03-05,4.44,4.44,4.44,4.44,000,4.44
2015-03-04,4.50,4.50,4.45,4.45,700,4.45
2015-03-03,4.29,4.30,4.29,4.29,000,4.29
2015-03-02,4.37,4.37,4.37,4.37,000,4.37
2015-02-27,4.23,4.60,4.23,4.37,400,4.37
2015-02-26,4.29,4.73,4.29,4.45,13700,4.45
2015-02-25,4.51,4.51,4.51,4.51,000,4.51
2015-02-24,4.32,4.32,4.32,4.32,000,4.32
2015-02-23,3.83,4.14,3.83,4.14,200,4.14
2015-02-20,3.95,3.95,3.95,3.95,000,3.95
2015-02-19,3.80,4.02,3.80,3.95,2900,3.95
2015-02-18,4.00,4.24,3.93,3.98,3600,3.98
2015-02-17,4.13,4.13,4.13,4.13,000,4.13
