Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1335.20,1358.30,1325.50,1334.30,13200,1334.30
2015-07-16,1330.00,1335.00,1307.55,1327.85,40900,1327.85
2015-07-15,1325.00,1332.40,1312.75,1320.45,5800,1320.45
2015-07-14,1332.50,1332.50,1326.80,1328.95,1900,1328.95
2015-07-13,1357.95,1357.95,1326.30,1331.35,3900,1331.35
2015-07-10,1290.35,1333.00,1290.35,1326.95,7200,1326.95
2015-07-09,1325.25,1329.00,1288.00,1291.85,4900,1291.85
2015-07-08,1318.00,1329.95,1311.50,1318.00,3900,1318.00
2015-07-07,1330.00,1333.00,1315.60,1322.55,3100,1322.55
2015-07-06,1320.00,1332.00,1296.95,1322.35,6400,1322.35
2015-07-03,1315.00,1328.25,1310.45,1322.35,3200,1322.35
2015-07-02,1332.00,1353.85,1316.00,1317.20,19300,1317.20
2015-07-01,1314.00,1337.80,1314.00,1321.60,5800,1321.60
2015-06-30,1282.00,1312.20,1282.00,1298.50,5100,1298.50
2015-06-29,1329.00,1329.00,1278.35,1295.55,3100,1295.55
2015-06-26,1345.75,1346.00,1322.85,1339.40,2800,1339.40
2015-06-25,1340.00,1370.00,1334.75,1345.80,7300,1345.80
2015-06-24,1350.00,1357.30,1340.50,1344.70,2100,1344.70
2015-06-23,1342.00,1355.45,1338.00,1340.95,2100,1340.95
2015-06-22,1345.00,1355.00,1337.00,1342.40,5500,1342.40
2015-06-19,1331.00,1345.00,1320.00,1338.30,3000,1338.30
2015-06-18,1340.40,1331.60,1320.00,1331.60,42700,1331.60
2015-06-17,1265.00,1334.90,1256.10,1307.85,16400,1307.85
2015-06-16,1265.00,1265.25,1245.20,1255.60,1200,1255.60
2015-06-15,1280.00,1282.00,1265.05,1273.80,3300,1273.80
2015-06-12,1275.00,1287.25,1254.50,1278.80,2600,1278.80
2015-06-11,1280.00,1310.00,1270.05,1284.35,7400,1284.35
2015-06-10,1250.00,1280.00,1249.00,1268.45,7400,1268.45
2015-06-09,1222.05,1249.70,1222.00,1240.50,4700,1240.50
2015-06-08,1239.00,1250.20,1210.00,1229.00,2700,1229.00
2015-06-05,1206.00,1242.70,1206.00,1232.80,3500,1232.80
2015-06-04,1216.05,1230.00,1192.00,1213.65,2800,1213.65
2015-06-03,1220.00,1227.00,1189.45,1202.00,2800,1202.00
2015-06-02,1220.00,1242.00,1201.50,1212.40,6900,1212.40
2015-06-01,1215.00,1241.50,1172.20,1217.40,8200,1217.40
2015-05-29,1235.00,1236.55,1204.25,1220.00,11300,1220.00
2015-05-28,1230.70,1239.95,1227.75,1234.50,2600,1234.50
2015-05-27,1234.55,1242.00,1232.65,1238.15,2400,1238.15
2015-05-26,1239.00,1240.00,1235.05,1236.45,2200,1236.45
2015-05-25,1241.20,1244.15,1230.00,1236.95,3000,1236.95
2015-05-22,1250.00,1257.00,1232.00,1241.05,4500,1241.05
2015-05-21,1255.00,1255.00,1235.00,1242.80,5400,1242.80
2015-05-20,1275.00,1281.35,1236.70,1246.30,8900,1246.30
2015-05-19,1220.00,1289.00,1220.00,1277.65,20500,1277.65
2015-05-18,1190.00,1244.65,1175.00,1227.05,29600,1227.05
2015-05-15,1265.00,1270.00,1237.00,1256.55,8600,1256.55
2015-05-14,1287.50,1287.50,1245.00,1255.15,12500,1255.15
2015-05-13,1190.00,1292.50,1186.65,1259.85,32500,1259.85
2015-05-12,1182.00,1185.00,1165.00,1179.30,5800,1179.30
2015-05-11,1200.00,1212.00,1180.00,1186.45,7600,1186.45
2015-05-08,1212.00,1225.00,1185.25,1201.80,5900,1201.80
2015-05-07,1201.90,1219.75,1180.75,1201.10,8100,1201.10
2015-05-06,1211.00,1216.00,1184.25,1199.40,18700,1199.40
2015-05-05,1169.00,1192.90,1168.90,1175.00,4600,1175.00
2015-05-04,1215.95,1215.95,1151.25,1174.10,8300,1174.10
2015-05-01,1205.20,1205.20,1205.20,1205.20,000,1205.20
2015-04-30,1218.00,1232.90,1185.80,1205.20,21700,1205.20
2015-04-29,1230.00,1323.00,1201.00,1217.55,37500,1217.55
2015-04-28,1175.00,1208.80,1133.45,1193.05,5300,1193.05
2015-04-27,1228.00,1228.00,1153.05,1168.00,8200,1168.00
2015-04-24,1205.00,1228.00,1180.00,1213.55,2700,1213.55
2015-04-23,1223.00,1243.35,1202.00,1216.05,6100,1216.05
