Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,146.00,151.95,145.15,149.90,191400,149.90
2015-07-16,144.50,147.70,144.50,145.95,52700,145.95
2015-07-15,145.15,147.95,144.10,144.70,75700,144.70
2015-07-14,147.10,148.00,144.90,145.30,49000,145.30
2015-07-13,150.00,151.80,146.00,147.05,94300,147.05
2015-07-10,144.50,148.90,143.20,147.75,199000,147.75
2015-07-09,144.00,149.55,141.65,142.25,217600,142.25
2015-07-08,141.50,145.90,139.10,143.40,78000,143.40
2015-07-07,143.50,145.45,140.25,142.30,88600,142.30
2015-07-06,141.25,143.30,140.10,142.10,44100,142.10
2015-07-03,141.20,144.25,141.00,141.65,110800,141.65
2015-07-02,141.50,143.20,140.00,141.30,84900,141.30
2015-07-01,141.00,142.90,140.30,140.95,81300,140.95
2015-06-30,139.45,141.45,138.00,140.25,62800,140.25
2015-06-29,141.65,141.65,136.55,138.80,39300,138.80
2015-06-26,141.90,143.50,141.10,141.65,52400,141.65
2015-06-25,142.60,144.55,141.00,141.20,61900,141.20
2015-06-24,146.40,148.95,142.20,142.85,79000,142.85
2015-06-23,143.00,151.00,142.00,145.35,182200,145.35
2015-06-22,141.00,144.00,139.55,142.70,74500,142.70
2015-06-19,145.10,146.00,138.50,139.80,105500,139.80
2015-06-18,144.30,145.85,143.10,144.50,47200,144.50
2015-06-17,143.80,145.75,142.45,143.50,45400,143.50
2015-06-16,142.00,142.95,140.05,141.45,32300,141.45
2015-06-15,142.00,144.75,140.20,141.85,54800,141.85
2015-06-12,146.60,146.70,140.10,140.65,53500,140.65
2015-06-11,148.00,153.00,145.60,146.75,172700,146.75
2015-06-10,146.00,150.90,145.50,145.95,59800,144.45
2015-06-09,147.00,147.70,144.55,145.30,25500,143.81
2015-06-08,152.00,152.60,146.45,147.75,30300,146.23
2015-06-05,153.00,153.45,150.85,152.35,33300,150.78
2015-06-04,156.55,157.00,149.25,151.45,47900,149.89
2015-06-03,160.00,160.00,155.00,155.40,47900,153.80
2015-06-02,160.75,161.40,158.60,159.25,30700,157.61
2015-06-01,161.85,162.90,160.00,160.30,26900,158.65
2015-05-29,161.65,163.00,160.55,162.15,69200,160.48
2015-05-28,161.00,161.90,159.60,160.90,19800,159.25
2015-05-27,156.15,163.00,155.45,159.90,53100,158.26
2015-05-26,161.00,161.00,157.00,157.40,34200,155.78
2015-05-25,161.00,161.55,159.60,160.05,25200,158.41
2015-05-22,162.00,163.00,160.75,161.10,24200,159.44
2015-05-21,163.15,164.00,161.30,161.85,29000,160.19
2015-05-20,163.25,164.65,162.40,163.00,57900,161.32
2015-05-19,163.95,166.30,161.90,162.20,44600,160.53
2015-05-18,164.10,166.00,162.40,162.80,39100,161.13
2015-05-15,165.50,165.90,161.75,162.45,43200,160.78
2015-05-14,165.20,167.70,164.50,164.95,74200,163.25
2015-05-13,165.20,172.50,163.15,164.85,443400,163.16
2015-05-12,158.55,163.00,157.00,157.95,104800,156.33
2015-05-11,160.40,162.30,157.60,158.35,64700,156.72
2015-05-08,160.75,161.40,157.50,159.30,39000,157.66
2015-05-07,158.25,161.85,157.50,158.85,23000,157.22
2015-05-06,163.50,163.85,158.50,161.20,49600,159.54
2015-05-05,164.30,165.00,162.95,163.25,42900,161.57
2015-05-04,164.50,165.75,164.00,164.40,28600,162.71
2015-05-01,164.50,164.50,164.50,164.50,000,162.81
2015-04-30,163.75,165.65,163.00,164.50,43900,162.81
2015-04-29,162.05,165.95,161.15,164.65,45900,162.96
2015-04-28,159.90,164.00,157.75,162.70,62600,161.03
2015-04-27,162.00,162.00,156.70,158.10,47100,156.48
2015-04-24,163.65,163.90,159.70,160.45,39600,158.80
2015-04-23,164.40,165.45,162.70,163.20,30300,161.52
2015-04-22,163.45,164.00,161.90,163.30,38300,161.62
2015-04-21,162.80,164.45,161.10,162.80,40500,161.13
2015-04-20,164.00,165.10,160.05,161.75,40100,160.09
2015-04-17,169.00,170.00,163.50,164.05,61600,162.36
2015-04-16,168.60,171.30,165.55,169.10,85800,167.36
2015-04-15,171.90,174.20,167.15,168.75,158900,167.02
2015-04-14,171.20,171.20,171.20,171.20,000,169.44
2015-04-13,163.45,172.60,162.90,171.20,254500,169.44
2015-04-10,161.75,164.50,161.70,162.40,53500,160.73
2015-04-09,163.85,165.35,160.55,161.45,64800,159.79
2015-04-08,165.85,167.40,162.50,162.95,80000,161.28
2015-04-07,164.00,166.25,161.00,164.65,79300,162.96
2015-04-06,162.95,166.00,162.30,163.45,53700,161.77
2015-04-03,161.45,161.45,161.45,161.45,000,159.79
2015-04-02,161.45,161.45,161.45,161.45,000,159.79
2015-04-01,164.55,166.85,161.00,161.45,100000,159.79
