Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,448.40,459.00,445.00,454.10,3700,454.10
2015-07-16,442.50,455.00,442.00,453.00,4700,453.00
2015-07-15,450.00,455.00,442.00,442.15,2600,442.15
2015-07-14,450.00,457.00,442.00,444.35,2600,444.35
2015-07-13,466.20,466.50,448.00,452.30,4600,452.30
2015-07-10,462.50,470.40,452.00,466.25,6200,466.25
2015-07-09,444.00,466.70,444.00,457.90,10100,457.90
2015-07-08,455.00,463.55,445.00,446.30,3500,446.30
2015-07-07,445.05,464.85,435.00,454.45,9500,454.45
2015-07-06,422.80,452.30,422.80,441.95,8400,441.95
2015-07-03,417.00,446.60,416.90,432.00,10800,432.00
2015-07-02,425.40,432.00,415.00,417.70,28000,417.70
2015-07-01,410.00,437.00,409.00,423.70,25900,423.70
2015-06-30,399.20,419.50,396.75,412.70,21000,412.70
2015-06-29,397.55,400.00,395.05,398.15,48700,398.15
2015-06-26,402.95,406.85,395.00,399.65,15400,399.65
2015-06-25,384.05,401.70,383.00,389.80,58000,389.80
2015-06-24,385.00,388.90,381.50,384.90,6100,384.90
2015-06-23,381.70,389.80,377.10,383.55,3200,383.55
2015-06-22,378.55,384.15,377.20,381.25,1600,381.25
2015-06-19,377.90,383.00,375.00,375.90,4900,375.90
2015-06-18,385.00,385.95,375.05,380.40,3100,380.40
2015-06-17,388.70,388.70,379.75,381.15,10500,381.15
2015-06-16,388.65,390.40,380.00,383.90,10200,383.90
2015-06-15,398.80,399.95,383.70,388.65,13000,388.65
2015-06-12,389.00,408.05,384.30,398.95,22600,398.95
2015-06-11,401.85,403.40,388.10,392.10,3400,392.10
2015-06-10,393.20,411.65,391.15,403.45,15800,403.45
2015-06-09,393.40,405.70,392.00,396.95,16600,396.95
2015-06-08,385.00,395.00,385.00,391.00,13300,391.00
2015-06-05,389.25,395.80,383.80,386.60,8800,386.60
2015-06-04,392.10,401.00,387.00,393.45,4000,393.45
2015-06-03,387.55,400.90,380.00,389.25,29100,389.25
2015-06-02,396.55,402.70,345.55,369.50,48900,369.50
2015-06-01,398.35,404.75,374.80,397.10,681500,397.10
2015-05-29,399.30,399.80,390.00,393.00,2500,393.00
2015-05-28,405.20,414.95,395.00,395.00,10500,395.00
2015-05-27,395.00,404.50,395.00,400.20,4500,400.20
2015-05-26,392.00,403.00,392.00,396.55,116300,396.55
2015-05-25,394.30,396.90,380.50,396.20,1100,396.20
2015-05-22,397.40,400.40,392.00,392.40,1900,392.40
2015-05-21,397.00,401.00,390.00,395.05,3000,395.05
2015-05-20,398.75,400.00,390.55,394.45,1800,394.45
2015-05-19,392.35,398.00,389.00,392.60,5200,392.60
2015-05-18,366.50,392.00,366.00,386.60,5300,386.60
2015-05-15,366.00,371.90,363.50,363.90,6900,363.90
2015-05-14,374.00,375.35,362.40,365.00,3100,365.00
2015-05-13,385.00,387.80,374.00,375.50,5200,375.50
2015-05-12,389.00,390.90,378.10,384.60,2500,384.60
2015-05-11,402.50,406.00,386.20,389.60,3500,389.60
2015-05-08,394.25,407.45,394.25,399.45,7100,399.45
2015-05-07,395.00,399.60,386.00,388.00,2300,388.00
2015-05-06,397.70,401.00,385.50,389.40,6200,389.40
2015-05-05,404.25,409.00,394.10,395.00,2800,395.00
2015-05-04,400.80,410.30,399.45,407.70,2600,407.70
2015-05-01,394.40,394.40,394.40,394.40,000,394.40
2015-04-30,399.85,401.00,390.00,394.40,2000,394.40
2015-04-29,390.60,409.35,385.95,394.85,3100,394.85
2015-04-28,397.00,400.05,382.00,390.80,9000,390.80
2015-04-27,405.00,405.00,400.00,401.00,2200,401.00
2015-04-24,416.85,416.85,400.05,405.45,1600,405.45
2015-04-23,401.10,418.00,401.10,414.10,7000,414.10
2015-04-22,385.60,404.00,385.60,399.85,3700,399.85
2015-04-21,393.00,397.15,381.55,385.25,9700,385.25
2015-04-20,400.15,401.15,390.80,393.70,3600,393.70
2015-04-17,400.10,403.90,400.00,400.60,2800,400.60
2015-04-16,401.15,410.50,395.25,400.70,1800,400.70
2015-04-15,405.15,411.90,400.00,402.45,5400,402.45
2015-04-14,407.30,407.30,407.30,407.30,000,407.30
2015-04-13,407.05,414.00,405.05,407.30,8500,407.30
2015-04-10,405.00,412.00,403.30,409.25,4900,409.25
2015-04-09,405.05,419.05,403.15,404.60,6000,404.60
2015-04-08,410.85,417.05,402.80,405.40,6400,405.40
2015-04-07,417.55,417.55,407.20,409.10,5300,409.10
2015-04-06,402.00,421.50,401.60,410.55,6100,410.55
2015-04-03,398.00,398.00,398.00,398.00,000,398.00
2015-04-02,398.00,398.00,398.00,398.00,000,398.00
2015-04-01,395.25,402.60,395.20,398.00,3200,398.00
2015-03-31,403.60,404.85,395.10,398.30,4100,398.30
2015-03-30,405.00,405.00,400.00,403.90,600,403.90
2015-03-27,404.80,407.05,395.05,397.75,9800,397.75
2015-03-26,410.75,418.85,404.15,406.95,6800,406.95
2015-03-25,422.50,422.50,401.00,404.45,2700,404.45
2015-03-24,406.00,419.75,405.00,410.05,16700,410.05
2015-03-23,434.90,434.90,403.00,404.65,3000,404.65
2015-03-20,439.00,439.00,416.95,421.05,6000,421.05
2015-03-19,430.00,436.60,425.00,433.85,5600,433.85
2015-03-18,430.50,438.35,422.50,427.85,4300,427.85
2015-03-17,424.05,435.90,421.85,428.85,7400,428.85
2015-03-16,420.80,428.60,418.00,425.00,9600,425.00
2015-03-13,431.40,431.40,418.00,426.15,6200,426.15
2015-03-12,410.00,432.80,409.85,426.15,32900,426.15
2015-03-11,404.90,420.15,388.20,401.75,139200,401.75
2015-03-10,422.50,422.50,401.30,403.80,5600,403.80
2015-03-09,427.60,444.40,417.00,422.10,12700,422.10
2015-03-06,430.70,430.70,430.70,430.70,000,430.70
2015-03-05,430.00,437.25,426.70,430.70,5700,430.70
