Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1.95,2.01,1.86,1.99,93000,1.99
2015-07-16,1.95,1.95,1.90,1.95,15300,1.95
2015-07-15,1.86,1.86,1.86,1.86,6300,1.86
2015-07-14,1.78,1.78,1.78,1.78,8700,1.78
2015-07-13,1.70,1.70,1.70,1.70,11000,1.70
2015-07-10,1.62,1.62,1.62,1.62,7600,1.62
2015-07-09,1.55,1.55,1.55,1.55,3100,1.55
2015-07-08,1.48,1.48,1.48,1.48,2000,1.48
2015-07-07,1.41,1.41,1.41,1.41,400,1.41
2015-07-06,1.29,1.35,1.25,1.35,7200,1.35
2015-07-03,1.23,1.29,1.23,1.29,800,1.29
2015-07-02,1.25,1.25,1.23,1.23,3200,1.23
2015-07-01,1.29,1.29,1.29,1.29,000,1.29
2015-06-30,1.35,1.35,1.29,1.29,34200,1.29
2015-06-29,1.37,1.37,1.35,1.35,3700,1.35
2015-06-26,1.42,1.49,1.42,1.42,22400,1.42
2015-06-25,1.57,1.57,1.49,1.49,100800,1.49
2015-06-24,1.55,1.56,1.52,1.56,900,1.56
2015-06-23,1.57,1.57,1.57,1.57,000,1.57
2015-06-22,1.57,1.57,1.57,1.57,400,1.57
2015-06-19,1.65,1.65,1.65,1.65,3400,1.65
2015-06-18,1.83,1.83,1.71,1.73,9300,1.73
2015-06-17,1.72,1.80,1.72,1.80,8300,1.80
2015-06-16,1.81,1.81,1.81,1.81,000,1.81
2015-06-15,1.81,1.85,1.81,1.81,10100,1.81
2015-06-12,1.90,1.90,1.90,1.90,000,1.90
2015-06-11,1.90,1.90,1.90,1.90,000,1.90
2015-06-10,1.81,1.99,1.81,1.90,13100,1.90
2015-06-09,1.90,1.90,1.90,1.90,500,1.90
2015-06-08,1.83,1.99,1.83,1.99,3400,1.99
2015-06-05,1.91,2.00,1.90,1.91,18900,1.91
2015-06-04,2.00,2.00,1.90,1.99,17400,1.99
2015-06-03,2.05,2.05,2.00,2.00,26400,2.00
2015-06-02,2.06,2.10,2.06,2.10,6900,2.10
2015-06-01,2.12,2.12,2.10,2.10,7000,2.10
2015-05-29,2.00,2.10,2.00,2.10,19000,2.10
2015-05-28,1.99,2.14,1.99,2.01,54300,2.01
2015-05-27,2.02,2.10,2.00,2.09,15500,2.09
2015-05-26,2.05,2.11,2.03,2.05,34200,2.05
2015-05-25,2.15,2.15,2.04,2.07,18000,2.07
2015-05-22,2.08,2.15,2.08,2.12,17100,2.12
2015-05-21,2.18,2.18,2.18,2.18,14600,2.18
2015-05-20,2.17,2.35,2.15,2.29,87400,2.29
2015-05-19,2.10,2.24,2.09,2.24,23400,2.24
2015-05-18,2.10,2.20,2.01,2.20,4000,2.20
2015-05-15,1.93,2.10,1.93,2.10,30700,2.10
2015-05-14,2.00,2.01,1.95,2.00,19100,2.00
2015-05-13,2.08,2.08,2.01,2.01,3500,2.01
2015-05-12,2.14,2.15,2.08,2.08,9000,2.08
2015-05-11,2.30,2.30,2.17,2.18,10700,2.18
2015-05-08,2.28,2.29,2.28,2.28,17500,2.28
2015-05-07,2.64,2.64,2.40,2.40,13700,2.40
2015-05-06,2.53,2.78,2.52,2.52,16600,2.52
2015-05-05,2.70,2.83,2.61,2.65,42800,2.65
2015-05-04,2.75,2.75,2.50,2.73,139200,2.73
2015-05-01,2.62,2.62,2.62,2.62,000,2.62
2015-04-30,2.62,2.62,2.62,2.62,6500,2.62
2015-04-29,2.50,2.50,2.50,2.50,14900,2.50
2015-04-28,2.38,2.39,2.35,2.39,570700,2.39
2015-04-27,2.40,2.40,2.28,2.28,25000,2.28
2015-04-24,2.42,2.42,2.20,2.39,217800,2.39
2015-04-23,2.31,2.31,2.31,2.31,67700,2.31
2015-04-22,2.00,2.20,2.00,2.20,85500,2.20
2015-04-21,2.27,2.27,2.07,2.10,407600,2.10
2015-04-20,2.17,2.17,2.17,2.17,67600,2.17
2015-04-17,2.07,2.07,2.07,2.07,26900,2.07
2015-04-16,1.98,1.98,1.95,1.98,90700,1.98
2015-04-15,1.89,1.89,1.89,1.89,4700,1.89
2015-04-14,1.80,1.80,1.80,1.80,000,1.80
2015-04-13,1.80,1.80,1.80,1.80,6300,1.80
2015-04-10,1.72,1.72,1.72,1.72,31400,1.72
2015-04-09,1.62,1.64,1.62,1.64,2500,1.64
2015-04-08,1.57,1.57,1.57,1.57,400,1.57
2015-04-07,1.55,1.55,1.50,1.50,16400,1.50
2015-04-06,1.48,1.48,1.48,1.48,5500,1.48
2015-04-03,1.41,1.41,1.41,1.41,000,1.41
2015-04-02,1.41,1.41,1.41,1.41,000,1.41
