Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,57.25,57.50,55.55,55.90,10300,54.90
2015-07-16,57.15,60.30,56.00,56.75,110300,55.73
2015-07-15,58.90,62.50,58.70,60.55,45000,59.47
2015-07-14,60.00,61.00,57.00,58.20,10700,57.16
2015-07-13,58.00,60.25,57.60,59.60,21400,58.53
2015-07-10,58.70,59.35,56.00,56.55,14500,55.54
2015-07-09,60.30,60.80,57.30,57.95,21900,56.91
2015-07-08,54.40,60.00,54.40,58.95,60500,57.90
2015-07-07,52.50,61.00,52.25,56.00,60300,55.00
2015-07-06,50.30,53.00,49.00,52.20,28900,51.27
2015-07-03,51.25,52.50,50.50,50.65,2600,49.74
2015-07-02,51.30,52.00,50.40,51.00,2100,50.09
2015-07-01,50.80,53.00,50.80,51.15,16200,50.23
2015-06-30,49.50,50.00,48.00,49.60,18100,48.71
2015-06-29,48.00,49.50,47.90,48.40,1400,47.53
2015-06-26,49.50,50.25,48.85,49.00,8700,48.12
2015-06-25,49.40,51.00,47.35,50.65,2100,49.74
2015-06-24,50.70,50.90,50.00,50.65,7700,49.74
2015-06-23,49.10,50.65,48.30,49.85,3400,48.96
2015-06-22,52.50,52.90,48.50,49.65,13300,48.76
2015-06-19,52.40,53.35,51.70,51.90,3500,50.97
2015-06-18,52.50,53.80,51.50,52.40,2900,51.46
2015-06-17,52.40,53.00,52.20,52.45,1300,51.51
2015-06-16,53.75,53.75,50.55,52.45,10500,51.51
2015-06-15,47.95,53.55,47.50,51.80,22600,50.87
2015-06-12,46.50,47.10,46.00,46.80,900,45.96
2015-06-11,47.20,47.85,46.00,46.65,3100,45.82
2015-06-10,47.35,48.40,46.90,47.20,2600,46.36
2015-06-09,47.15,47.50,46.90,47.30,3200,46.45
2015-06-08,48.60,48.60,47.10,47.20,4200,46.36
2015-06-05,50.05,50.05,47.95,47.95,3000,47.09
2015-06-04,48.95,48.95,47.00,48.50,2700,47.63
2015-06-03,49.25,51.85,45.00,47.75,25200,46.90
2015-06-02,53.15,54.50,49.55,50.25,8500,49.35
2015-06-01,51.15,54.50,50.90,53.00,24000,52.05
2015-05-29,48.75,51.25,47.10,50.10,17300,49.20
2015-05-28,49.05,49.05,47.10,47.70,4500,46.85
2015-05-27,49.25,49.25,48.25,48.30,2900,47.44
2015-05-26,51.05,51.05,49.40,49.45,2700,48.57
2015-05-25,50.20,51.15,50.00,50.50,4800,49.60
2015-05-22,49.50,49.50,48.40,48.60,2200,47.73
2015-05-21,48.55,48.90,48.20,48.55,1100,47.68
2015-05-20,49.45,49.90,48.55,48.70,4500,47.83
2015-05-19,49.90,50.30,49.10,49.40,8700,48.52
2015-05-18,49.00,50.95,47.60,48.85,15400,47.98
2015-05-15,50.45,50.45,48.45,48.55,12200,47.68
2015-05-14,52.50,53.30,49.35,49.75,23800,48.86
2015-05-13,54.40,54.95,53.75,54.65,4600,53.67
2015-05-12,53.90,55.60,52.80,53.35,16600,52.40
2015-05-11,54.70,55.50,54.00,54.80,7400,53.82
2015-05-08,54.30,54.75,53.20,53.60,6900,52.64
2015-05-07,52.45,54.20,52.20,52.55,6400,51.61
2015-05-06,56.20,56.20,53.00,53.20,10900,52.25
2015-05-05,58.30,58.80,55.50,55.75,20700,54.75
2015-05-04,54.00,58.60,54.00,57.35,23300,56.32
2015-05-01,53.25,53.25,53.25,53.25,000,52.30
2015-04-30,52.00,53.55,52.00,53.25,4400,52.30
2015-04-29,53.60,53.90,52.25,52.50,5000,51.56
2015-04-28,53.00,55.10,51.90,53.40,9200,52.44
2015-04-27,56.00,56.50,52.50,52.85,10000,51.90
2015-04-24,58.40,58.50,55.00,55.60,16000,54.61
2015-04-23,58.20,58.80,56.85,57.35,9500,56.32
2015-04-22,58.10,58.50,55.15,56.20,31500,55.19
2015-04-21,57.05,60.00,56.50,56.95,22300,55.93
2015-04-20,60.00,62.00,58.00,58.95,31200,57.90
2015-04-17,58.40,61.55,57.95,59.25,59900,58.19
2015-04-16,57.40,59.25,55.00,57.55,28000,56.52
2015-04-15,59.50,62.30,56.20,57.75,108200,56.72
2015-04-14,57.75,57.75,57.75,57.75,000,56.72
2015-04-13,51.80,59.70,51.75,57.75,98100,56.72
2015-04-10,52.40,53.65,50.10,51.70,19100,50.78
2015-04-09,52.85,53.50,51.55,51.90,17000,50.97
2015-04-08,53.50,54.00,51.25,51.55,40400,50.63
2015-04-07,49.20,54.30,48.35,53.05,97700,52.10
2015-04-06,46.50,49.10,46.50,48.00,17900,47.14
2015-04-03,46.25,46.25,46.25,46.25,000,45.42
2015-04-02,46.25,46.25,46.25,46.25,000,45.42
2015-04-01,44.00,46.50,44.00,46.25,8000,45.42
2015-03-31,44.70,44.70,42.80,42.80,6800,42.03
2015-03-30,43.25,44.10,42.35,43.70,3800,42.92
2015-03-27,42.00,43.20,41.55,42.45,3600,41.69
2015-03-26,42.00,43.80,41.05,43.35,5100,42.57
2015-03-25,43.75,43.75,42.50,42.70,9900,41.94
2015-03-24,42.20,44.00,42.20,42.80,3000,42.03
2015-03-23,45.50,47.00,43.45,44.15,8300,43.36
2015-03-20,41.25,45.85,41.25,44.35,10200,43.56
2015-03-19,43.30,43.30,42.00,42.20,3600,41.45
2015-03-18,43.10,43.45,42.55,42.90,1700,42.13
2015-03-17,43.10,44.05,42.80,43.30,4700,42.53
2015-03-16,44.00,44.70,43.10,44.15,2700,43.36
2015-03-13,45.40,47.60,42.00,43.60,8100,42.82
2015-03-12,41.10,46.00,41.05,44.40,18700,43.61
2015-03-11,41.00,41.90,40.60,41.15,1800,40.41
2015-03-10,41.65,42.40,40.00,40.30,4700,39.58
2015-03-09,41.00,41.50,40.60,40.80,3900,40.07
2015-03-06,41.50,41.50,41.50,41.50,000,40.76
2015-03-05,42.50,42.80,41.35,41.50,1600,40.76
2015-03-04,43.15,43.20,41.55,41.60,8000,40.86
2015-03-03,42.40,42.90,42.00,42.15,11900,41.40
2015-03-02,42.00,42.60,41.10,42.20,1900,41.45
2015-02-27,41.15,43.50,39.60,43.10,11600,42.33
2015-02-26,40.20,41.05,40.20,40.80,4700,40.07
2015-02-25,42.00,42.30,40.60,40.75,3200,40.02
2015-02-24,42.20,42.20,41.00,41.20,3400,40.46
2015-02-23,43.00,43.30,42.10,42.20,1100,41.45
2015-02-20,41.25,43.50,41.25,42.15,7300,41.40
2015-02-19,43.00,43.00,41.30,41.70,3700,40.95
2015-02-18,43.35,44.00,42.15,42.55,2200,41.79
2015-02-17,42.75,42.75,42.75,42.75,000,41.99
2015-02-16,42.80,42.85,42.70,42.75,1100,41.99
2015-02-13,42.10,43.45,41.80,42.85,14900,42.08
2015-02-12,43.75,43.90,43.05,43.30,3200,42.53
2015-02-11,42.60,44.00,42.50,43.55,2700,42.77
2015-02-10,44.50,45.15,41.55,42.10,6500,41.35
2015-02-09,43.90,44.50,42.50,43.95,4000,43.16
2015-02-06,44.00,44.00,42.00,42.40,8600,41.64
2015-02-05,45.90,45.90,43.50,44.15,5000,43.36
2015-02-04,44.60,45.95,44.00,44.30,5500,43.51
2015-02-03,46.50,46.50,43.15,44.60,5100,43.80
2015-02-02,45.50,47.40,44.55,46.10,5100,45.28
2015-01-30,45.15,45.45,42.50,44.00,4900,43.21
2015-01-29,46.85,46.95,43.50,45.20,8300,44.39
2015-01-28,47.50,47.50,45.05,45.55,9400,44.74
2015-01-27,49.90,50.00,47.50,47.55,9600,46.70
2015-01-26,48.90,48.90,48.90,48.90,000,48.03
2015-01-23,51.00,51.00,48.50,48.90,24300,48.03
2015-01-22,52.00,52.80,49.25,50.15,58900,49.25
2015-01-21,46.60,49.00,46.60,47.95,15300,47.09
2015-01-20,48.65,48.65,46.20,46.55,13600,45.72
2015-01-19,45.00,49.05,44.50,47.50,17500,46.65
2015-01-16,42.25,45.75,41.60,44.35,25500,43.56
2015-01-15,41.35,43.50,40.40,42.30,30100,41.54
2015-01-14,41.05,41.45,41.05,41.10,2000,40.36
2015-01-13,41.00,41.70,41.00,41.40,4200,40.66
2015-01-12,40.50,41.50,40.20,40.50,3000,39.78
2015-01-09,41.20,41.75,40.10,40.40,4800,39.68
2015-01-08,39.95,42.00,39.20,41.75,4800,41.00
2015-01-07,38.70,40.05,38.35,39.10,11300,38.40
2015-01-06,40.50,41.00,39.05,39.05,8600,38.35
2015-01-05,40.10,41.50,40.00,41.10,3600,40.36
2015-01-02,42.70,42.70,40.20,40.80,17000,40.07
2015-01-01,41.45,42.00,40.90,41.75,3100,41.00
2014-12-31,40.45,41.00,39.05,40.90,5600,40.17
2014-12-30,38.65,41.40,38.65,39.65,6900,38.94
2014-12-29,39.60,40.90,38.10,39.10,5700,38.40
2014-12-26,36.95,41.65,36.40,38.70,15500,38.01
2014-12-25,36.20,36.20,36.20,36.20,000,35.55
2014-12-24,36.30,37.00,35.05,36.20,11800,35.55
2014-12-23,37.45,37.50,35.30,35.65,6200,35.01
2014-12-22,39.65,39.65,36.20,37.00,13200,36.34
2014-12-19,37.45,38.35,37.05,37.55,13500,36.88
2014-12-18,37.00,39.50,35.30,37.20,26400,36.53
2014-12-17,36.80,38.25,36.00,36.95,6700,36.29
2014-12-16,41.40,41.40,37.00,37.05,19300,36.39
2014-12-15,39.70,41.40,38.50,39.05,11500,38.35
2014-12-12,42.00,42.00,39.55,40.35,15600,39.63
2014-12-11,41.50,42.35,41.00,41.75,6500,41.00
2014-12-10,41.40,42.75,41.00,41.80,4600,41.05
2014-12-09,42.90,42.90,41.00,41.15,11700,40.41
2014-12-08,42.70,43.50,42.65,43.40,4800,42.62
2014-12-05,42.25,44.00,42.00,43.60,7200,42.82
2014-12-04,44.00,44.00,41.55,42.00,16600,41.25
2014-12-03,42.25,44.65,42.25,43.25,11100,42.48
2014-12-02,42.60,43.00,42.30,42.75,1700,41.99
2014-12-01,40.85,44.00,40.25,42.80,10700,42.03
2014-11-28,41.80,43.00,41.00,41.30,11400,40.56
2014-11-27,43.20,43.50,41.50,42.30,5900,41.54
2014-11-26,42.95,44.05,42.00,43.15,12900,42.38
2014-11-25,43.85,43.85,41.80,42.60,12800,41.84
2014-11-24,45.20,45.20,43.60,43.90,15300,43.11
2014-11-21,45.90,46.60,44.15,45.05,28700,44.24
2014-11-20,45.40,45.85,44.60,44.80,13200,44.00
2014-11-19,46.25,48.35,45.60,45.85,24400,45.03
2014-11-18,44.50,46.60,44.50,45.80,18400,44.98
2014-11-17,46.70,46.70,44.00,44.40,10300,43.61
2014-11-14,45.55,46.70,44.50,45.35,36900,44.54
2014-11-13,47.10,47.10,44.55,45.35,32800,44.54
2014-11-12,49.45,49.45,46.35,47.30,114200,46.45
2014-11-11,54.25,55.45,51.30,52.55,71000,51.61
2014-11-10,53.80,56.45,52.00,54.75,75000,53.77
2014-11-07,58.05,58.40,46.10,53.10,167900,52.15
2014-11-06,57.60,57.60,57.60,57.60,000,56.57
2014-11-05,51.00,60.60,51.00,57.60,233600,56.57
2014-11-04,51.85,51.85,51.85,51.85,000,50.92
2014-11-03,52.40,53.70,51.50,51.85,10000,50.92
2014-10-31,50.05,53.40,50.05,51.25,14000,50.33
2014-10-30,51.00,51.50,48.70,51.10,9600,50.19
2014-10-29,51.15,52.40,50.10,50.50,13300,49.60
2014-10-28,49.60,53.70,49.60,51.60,44000,50.68
2014-10-27,50.40,51.35,49.20,49.95,11100,49.06
2014-10-24,50.00,50.00,50.00,50.00,000,49.11
2014-10-23,50.00,50.00,50.00,50.00,000,49.11
2014-10-22,51.00,51.50,49.40,50.00,7400,49.11
2014-10-21,51.80,52.00,50.00,50.25,11100,49.35
2014-10-20,51.00,53.10,49.80,50.55,21300,49.65
2014-10-17,52.00,53.05,49.50,50.05,25700,49.15
2014-10-16,51.45,55.00,50.00,50.85,128000,49.94
2014-10-15,51.65,51.65,51.65,51.65,000,50.73
2014-10-14,52.00,54.00,50.60,51.65,147800,50.73
2014-10-13,43.80,51.00,43.00,50.25,112400,49.35
2014-10-10,45.10,45.10,43.80,44.20,7900,43.41
2014-10-09,46.05,47.50,45.00,45.20,15000,44.39
2014-10-08,46.20,46.20,44.00,44.90,16400,44.10
2014-10-07,47.80,48.80,45.00,46.00,17700,45.18
2014-10-06,47.00,47.00,47.00,47.00,000,46.16
2014-10-03,47.00,47.00,47.00,47.00,000,46.16
2014-10-02,47.00,47.00,47.00,47.00,000,46.16
2014-10-01,48.00,48.70,46.55,47.00,61800,46.16
2014-09-30,41.05,49.45,41.05,47.70,131400,46.85
2014-09-29,39.95,42.25,39.95,41.60,11600,40.86
2014-09-26,39.70,41.60,39.50,40.30,7700,39.58
2014-09-25,41.15,41.50,39.80,39.95,11000,39.24
2014-09-24,41.00,41.70,40.50,41.20,9900,40.46
2014-09-23,42.10,43.20,40.75,40.95,37700,40.22
2014-09-22,39.00,42.25,39.00,41.75,18400,41.00
2014-09-19,42.20,42.20,39.10,39.65,10800,38.94
2014-09-18,40.35,41.80,40.15,41.05,13900,40.32
2014-09-17,40.00,40.45,38.65,39.45,10300,38.74
2014-09-16,43.85,45.00,38.50,39.15,42700,38.45
2014-09-15,39.95,46.00,39.70,43.35,116900,42.57
2014-09-12,39.95,41.00,38.85,39.55,22600,38.84
2014-09-11,39.00,39.60,38.20,38.60,9500,37.91
2014-09-10,36.00,40.30,35.50,38.65,30100,37.96
2014-09-09,36.10,36.10,35.25,35.50,7200,34.86
2014-09-08,36.40,36.80,35.60,35.90,6700,35.26
2014-09-05,36.55,37.80,36.40,36.55,6200,35.90
2014-09-04,36.65,37.20,36.45,36.95,2700,36.29
2014-09-03,37.75,38.00,37.05,37.45,1000,36.78
2014-09-02,37.70,38.20,36.75,38.15,8900,37.47
2014-09-01,36.00,37.25,36.00,36.30,3400,35.65
2014-08-29,36.50,36.50,36.50,36.50,000,35.85
2014-08-28,37.90,38.25,36.10,36.50,6600,35.85
2014-08-27,37.40,38.00,37.20,37.60,1100,36.93
2014-08-26,39.00,39.00,37.40,37.65,3500,35.99
2014-08-25,39.25,39.80,37.75,39.10,5900,36.42
2014-08-22,38.00,39.55,37.75,37.95,11000,35.35
2014-08-21,37.10,39.40,37.05,38.40,20000,35.77
2014-08-20,36.90,37.60,36.70,37.10,3800,34.56
2014-08-19,38.45,39.00,37.00,37.20,15000,34.65
2014-08-18,34.00,38.40,34.00,36.35,11000,33.86
2014-08-15,34.20,34.20,34.20,34.20,000,31.86
2014-08-14,35.25,35.45,33.90,34.20,17200,31.86
2014-08-13,39.00,39.00,35.20,35.75,6300,33.30
2014-08-12,39.80,39.80,38.25,38.50,9500,35.87
2014-08-11,38.55,39.95,38.40,39.35,6300,36.66
2014-08-08,37.65,39.75,37.00,37.60,4800,35.03
2014-08-07,39.70,40.60,38.85,39.55,31900,36.84
2014-08-06,37.00,38.50,36.00,38.15,25700,35.54
2014-08-05,36.00,36.65,35.65,35.90,11000,33.44
2014-08-04,36.00,37.10,35.60,36.00,4200,33.54
2014-08-01,36.80,37.00,35.50,36.00,3400,33.54
2014-07-31,38.40,38.40,36.55,36.95,2500,34.42
2014-07-30,37.00,37.00,35.75,36.75,3900,34.24
2014-07-29,36.30,36.30,36.30,36.30,000,33.82
2014-07-28,38.00,38.00,35.50,36.30,8300,33.82
2014-07-25,39.50,39.55,37.00,38.10,9700,35.49
2014-07-24,39.25,40.90,39.20,39.95,6100,37.22
2014-07-23,39.65,40.80,39.30,40.00,12800,37.26
2014-07-22,42.00,42.50,39.55,40.00,17400,37.26
2014-07-21,39.45,42.20,39.45,41.65,45100,38.80
2014-07-18,36.75,39.40,36.35,38.65,21300,36.01
2014-07-17,35.55,37.40,35.25,36.55,9400,34.05
2014-07-16,36.00,36.75,35.15,36.35,18500,33.86
2014-07-15,35.80,36.00,35.10,35.20,4800,32.79
2014-07-14,35.00,35.80,34.10,34.50,2300,32.14
2014-07-11,37.50,38.30,33.50,34.85,19400,32.47
2014-07-10,36.85,38.20,35.50,37.30,13900,34.75
2014-07-09,38.25,38.40,36.35,36.50,16800,34.00
2014-07-08,39.80,40.15,38.00,38.75,15100,36.10
2014-07-07,40.30,42.05,39.50,40.40,39800,37.64
2014-07-04,40.00,41.65,38.90,39.45,28500,36.75
2014-07-03,42.75,42.75,39.80,39.95,29100,37.22
2014-07-02,37.00,43.20,36.70,42.10,273800,39.22
2014-07-01,36.15,36.60,35.55,36.00,21300,33.54
2014-06-30,37.40,37.40,35.10,35.85,9600,33.40
2014-06-27,35.05,37.00,35.05,36.45,10100,33.96
2014-06-26,35.50,37.00,35.25,35.45,25800,33.02
2014-06-25,37.30,37.60,35.60,36.10,39100,33.63
2014-06-24,33.50,36.75,32.65,36.50,75100,34.00
2014-06-23,34.30,34.40,32.25,33.40,9600,31.11
2014-06-20,32.90,34.55,32.90,33.60,48300,31.30
2014-06-19,31.20,32.95,31.00,32.30,29400,30.09
2014-06-18,30.70,33.00,29.90,30.95,23100,28.83
2014-06-17,29.50,30.90,29.50,30.75,10300,28.65
2014-06-16,29.25,29.80,28.55,29.30,8700,27.30
2014-06-13,30.35,31.00,29.05,29.15,6200,27.16
2014-06-12,31.75,31.75,30.00,31.05,5900,28.93
2014-06-11,31.00,31.80,30.35,30.70,18000,28.60
2014-06-10,31.00,31.15,29.60,30.25,6500,28.18
2014-06-09,29.95,31.60,28.85,30.75,33500,28.65
2014-06-06,28.90,28.90,27.60,28.45,17800,26.50
2014-06-05,29.00,30.00,28.00,28.35,32200,26.41
2014-06-04,28.20,28.20,27.50,28.20,1100,26.27
2014-06-03,27.50,28.25,27.50,28.05,2600,26.13
2014-06-02,27.35,27.35,26.30,26.65,1600,24.83
2014-05-30,27.00,27.00,26.50,26.50,1600,24.69
2014-05-29,25.90,27.50,25.90,26.90,4400,25.06
2014-05-28,27.00,27.00,25.80,25.90,1800,24.13
2014-05-27,26.50,27.15,25.50,25.75,1900,23.99
2014-05-26,27.00,27.40,26.15,26.70,5600,24.87
2014-05-23,27.60,27.90,26.00,26.35,12900,24.55
2014-05-22,27.00,28.50,26.50,26.60,10200,24.78
2014-05-21,27.00,27.70,26.15,27.25,5800,25.39
2014-05-20,26.60,28.40,26.00,27.40,8800,25.53
2014-05-19,25.45,26.20,24.60,25.75,2200,23.99
2014-05-16,24.10,25.85,24.00,25.05,25600,23.34
2014-05-15,25.70,26.50,25.40,25.70,4600,23.94
2014-05-14,26.10,26.90,25.30,25.90,3100,24.13
2014-05-13,27.00,27.80,25.55,26.00,15300,24.22
2014-05-12,26.70,27.00,25.50,25.85,2400,24.08
2014-05-09,26.60,26.75,26.25,26.35,2000,24.55
2014-05-08,26.15,26.15,26.15,26.15,1000,24.36
2014-05-07,27.50,27.50,26.00,26.30,2500,24.50
2014-05-06,25.90,26.10,25.90,26.00,1500,24.22
2014-05-05,26.00,26.70,26.00,26.20,1800,24.41
2014-05-02,26.80,27.40,25.10,26.55,10000,24.73
2014-05-01,25.30,25.30,25.30,25.30,000,23.57
2014-04-30,26.55,26.55,25.10,25.30,3400,23.57
2014-04-29,25.75,27.80,25.70,26.25,8900,24.45
2014-04-28,26.00,26.35,25.70,26.00,6800,24.22
2014-04-25,26.40,26.40,25.30,25.90,000,24.13
2014-04-24,26.00,26.00,26.00,26.00,000,24.22
2014-04-23,26.80,26.90,25.75,26.00,3200,24.22
2014-04-22,25.65,26.80,25.60,26.65,4000,24.83
2014-04-21,25.85,26.00,25.75,25.80,2400,24.03
2014-04-18,26.65,26.65,26.65,26.65,000,24.83
2014-04-17,27.30,27.30,26.05,26.65,2400,24.83
2014-04-16,24.20,27.35,24.20,26.65,15000,24.83
2014-04-15,24.05,24.10,24.00,24.05,5500,22.40
2014-04-14,24.35,24.35,24.35,24.35,000,22.68
2014-04-11,24.00,24.85,23.55,24.35,3700,22.68
2014-04-10,23.55,24.00,23.35,23.95,4300,22.31
2014-04-09,23.80,23.85,23.15,23.75,1800,22.12
2014-04-08,24.00,24.00,24.00,24.00,000,22.36
2014-04-07,24.90,24.90,23.25,24.00,8600,22.36
2014-04-04,23.25,23.70,23.25,23.70,200,22.08
2014-04-03,25.30,25.30,23.10,23.55,1600,21.94
2014-04-02,24.10,24.40,23.20,23.65,3500,22.03
2014-04-01,26.00,26.00,23.90,23.90,2300,22.26
2014-03-31,24.50,24.95,23.95,24.05,100,22.40
2014-03-28,23.00,26.00,22.90,24.90,4900,23.20
2014-03-27,22.20,23.30,22.20,23.00,2000,21.43
2014-03-26,26.80,27.00,20.00,22.70,5400,21.15
2014-03-25,23.00,23.45,22.70,22.75,3900,21.19
2014-03-24,21.05,24.20,21.05,23.00,500,21.43
2014-03-21,23.20,23.20,23.20,23.20,200,21.61
2014-03-20,24.10,24.10,24.10,24.10,000,22.45
2014-03-19,23.10,23.90,23.00,23.25,3200,21.66
2014-03-18,23.55,23.55,23.50,23.50,400,21.89
2014-03-17,24.15,24.15,24.15,24.15,000,22.50
2014-03-14,24.50,25.25,24.00,24.15,2700,22.50
2014-03-13,23.05,23.95,23.00,23.95,13100,22.31
2014-03-12,23.45,23.45,22.65,23.15,500,21.57
2014-03-11,22.90,23.05,22.90,23.00,4400,21.43
2014-03-10,22.60,23.80,22.25,23.55,21900,21.94
2014-03-07,23.00,23.50,22.60,22.60,2900,21.05
2014-03-06,23.10,23.35,22.75,22.95,1800,21.38
2014-03-05,23.00,23.00,22.55,22.80,200,21.24
2014-03-04,22.05,23.30,22.05,23.15,200,21.57
2014-03-03,22.70,22.75,22.40,22.65,4100,21.10
2014-02-28,22.90,23.20,22.40,22.75,1700,21.19
2014-02-27,23.20,23.20,23.20,23.20,000,21.61
2014-02-26,22.85,23.45,22.80,23.20,1300,21.61
2014-02-25,22.50,23.10,22.00,23.00,7800,21.43
2014-02-24,23.30,23.30,22.75,22.75,5400,21.19
2014-02-21,22.60,23.35,22.60,23.00,2300,21.43
2014-02-20,22.55,23.45,22.55,23.25,6700,21.66
2014-02-19,22.50,23.45,22.50,23.45,6500,21.85
2014-02-18,22.85,23.35,22.50,22.60,3100,21.05
2014-02-17,23.00,23.00,22.85,22.90,100,21.33
2014-02-14,22.25,23.25,22.25,23.15,2600,21.57
2014-02-13,22.60,23.30,22.50,22.50,1100,20.96
2014-02-12,23.20,23.65,22.50,23.35,3600,21.75
2014-02-11,23.00,23.65,22.70,23.40,3200,21.80
2014-02-10,23.75,23.80,22.50,22.60,11100,21.05
2014-02-07,22.70,23.65,22.70,23.50,800,21.89
2014-02-06,23.80,23.80,23.10,23.10,1900,21.52
2014-02-05,25.50,25.50,23.30,23.45,2100,21.85
2014-02-04,23.90,24.45,23.00,23.75,1900,22.12
2014-02-03,23.10,24.00,22.25,22.30,3000,20.77
2014-01-31,24.65,24.70,22.15,22.55,4900,21.01
2014-01-30,23.70,24.90,23.50,23.50,8200,21.89
2014-01-29,25.35,26.00,25.30,25.45,3400,23.71
2014-01-28,28.00,28.00,25.05,25.10,600,23.38
2014-01-27,24.25,26.75,24.10,25.10,2900,23.38
2014-01-24,25.80,27.00,25.30,26.50,4600,24.69
2014-01-23,27.60,27.60,25.20,25.75,6000,23.99
2014-01-22,27.50,27.50,26.20,26.30,4100,24.50
2014-01-21,27.25,27.25,26.05,26.40,1300,24.59
2014-01-20,27.00,28.00,26.00,26.80,5700,24.97
2014-01-17,27.00,27.00,26.35,26.80,6300,24.97
2014-01-16,26.75,27.90,25.70,26.25,8200,24.45
2014-01-15,26.75,26.75,25.25,26.15,7400,24.36
2014-01-14,27.75,27.80,25.35,26.60,2600,24.78
2014-01-13,31.20,31.20,24.60,25.50,6700,23.76
2014-01-10,27.00,27.00,26.00,26.00,400,24.22
2014-01-09,26.00,27.00,26.00,27.00,5100,25.15
2014-01-08,25.50,25.50,25.50,25.50,700,23.76
2014-01-07,25.40,25.40,25.30,25.30,500,23.57
2014-01-06,25.10,25.30,25.10,25.30,500,23.57
2014-01-03,25.10,25.20,25.10,25.10,1900,23.38
2014-01-02,26.00,26.00,25.10,25.10,2100,23.38
2014-01-01,25.00,26.00,25.00,26.00,4500,24.22
2013-12-31,26.00,26.00,25.20,25.50,2400,23.76
2013-12-30,26.00,26.10,25.10,26.00,2500,24.22
2013-12-27,26.55,27.00,26.00,26.45,9200,24.64
