Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2.61,2.89,2.61,2.84,4500,2.84
2015-07-16,2.61,2.77,2.61,2.77,2500,2.77
2015-07-15,2.89,2.89,2.76,2.76,5100,2.76
2015-07-14,2.63,2.90,2.63,2.90,2700,2.90
2015-07-13,2.99,2.99,2.88,2.89,1200,2.89
2015-07-10,2.57,2.92,2.56,2.92,3400,2.92
2015-07-09,2.74,2.75,2.64,2.66,11000,2.66
2015-07-08,2.55,2.75,2.55,2.75,8400,2.75
2015-07-07,2.55,2.60,2.55,2.55,25600,2.55
2015-07-06,2.56,2.80,2.56,2.70,1300,2.70
2015-07-03,2.55,2.55,2.55,2.55,17600,2.55
2015-07-02,2.56,2.75,2.55,2.75,400,2.75
2015-07-01,2.85,2.86,2.62,2.62,5400,2.62
2015-06-30,2.80,2.80,2.73,2.73,2400,2.73
2015-06-29,2.63,2.87,2.63,2.87,10200,2.87
2015-06-26,2.76,2.76,2.76,2.76,800,2.76
2015-06-25,2.70,2.90,2.66,2.90,3100,2.90
2015-06-24,2.60,2.86,2.60,2.79,3200,2.79
2015-06-23,2.96,2.96,2.73,2.73,1100,2.73
2015-06-22,2.79,2.87,2.62,2.87,300,2.87
2015-06-19,2.75,2.75,2.70,2.75,4500,2.75
2015-06-18,2.55,2.62,2.38,2.62,2800,2.62
2015-06-17,2.52,2.52,2.40,2.50,5800,2.50
2015-06-16,2.52,2.52,2.52,2.52,500,2.52
2015-06-15,2.36,2.40,2.36,2.40,4500,2.40
2015-06-12,2.45,2.60,2.45,2.50,1400,2.50
2015-06-11,2.72,2.80,2.70,2.70,6700,2.70
2015-06-10,2.71,3.00,2.71,3.00,1000,3.00
2015-06-09,3.20,3.20,2.65,3.00,5300,3.00
2015-06-08,3.00,3.00,3.00,3.00,100,3.00
2015-06-05,2.70,3.12,2.70,3.00,500,3.00
2015-06-04,3.44,3.44,2.81,3.29,500,3.29
2015-06-03,2.97,3.00,2.93,2.93,5400,2.93
2015-06-02,3.44,3.44,3.44,3.44,000,3.44
2015-06-01,3.45,3.48,3.30,3.44,9100,3.44
2015-05-29,2.90,2.92,2.89,2.90,18700,2.90
2015-05-28,2.93,3.11,2.90,3.11,7900,3.11
2015-05-27,2.96,3.55,2.90,3.29,2200,3.29
2015-05-26,3.01,3.01,3.01,3.01,100,3.01
2015-05-25,3.10,3.50,3.02,3.50,1700,3.50
2015-05-22,3.00,3.63,3.00,3.50,10100,3.50
2015-05-21,3.15,3.15,3.10,3.14,1000,3.14
2015-05-20,3.10,3.15,3.10,3.15,1200,3.15
2015-05-19,3.31,3.31,3.31,3.31,000,3.31
2015-05-18,3.06,3.11,3.06,3.31,600,3.31
2015-05-15,3.03,3.35,3.03,3.35,8000,3.35
2015-05-14,3.04,3.45,3.04,3.45,3700,3.45
2015-05-13,2.90,3.56,2.90,3.56,000,3.56
2015-05-12,3.00,3.60,3.00,3.60,000,3.60
2015-05-11,3.50,3.50,3.49,3.49,100,3.49
2015-05-08,3.50,3.62,3.21,3.48,100,3.48
2015-05-07,3.68,3.68,3.50,3.50,200,3.50
2015-05-06,3.31,3.50,3.31,3.50,2900,3.50
2015-05-05,3.98,3.98,3.21,3.55,200,3.55
2015-05-04,3.69,3.69,3.40,3.53,2500,3.53
2015-05-01,3.70,3.70,3.70,3.70,000,3.70
2015-04-30,3.15,3.78,3.15,3.70,500,3.70
2015-04-29,3.30,3.50,3.30,3.50,100,3.50
2015-04-28,3.21,3.86,3.21,3.50,5400,3.50
2015-04-27,3.87,3.87,3.33,3.50,800,3.50
2015-04-24,3.74,3.95,3.52,3.82,000,3.82
2015-04-23,3.51,3.78,3.50,3.78,6500,3.78
2015-04-22,3.87,3.87,3.86,3.87,2700,3.87
2015-04-21,3.91,3.91,3.56,3.88,1500,3.88
2015-04-20,3.36,3.94,3.36,3.94,2400,3.94
2015-04-17,3.95,3.95,3.85,3.85,25000,3.85
2015-04-16,4.06,4.06,3.55,3.96,10300,3.96
2015-04-15,3.78,3.86,3.45,3.50,1200,3.50
2015-04-14,3.51,3.51,3.51,3.51,000,3.51
2015-04-13,3.70,3.75,3.51,3.51,14100,3.51
2015-04-10,3.75,3.75,3.43,3.43,4200,3.43
2015-04-09,3.64,3.75,3.55,3.56,2700,3.56
2015-04-08,3.45,3.78,3.40,3.65,5100,3.65
2015-04-07,3.24,3.67,3.24,3.64,2500,3.64
2015-04-06,3.40,3.50,3.30,3.43,2200,3.43
2015-04-03,3.39,3.39,3.39,3.39,000,3.39
2015-04-02,3.39,3.39,3.39,3.39,000,3.39
2015-04-01,3.32,3.58,3.32,3.39,2500,3.39
2015-03-31,3.90,3.97,3.30,3.36,14000,3.36
2015-03-30,3.67,3.68,2.91,3.65,10100,3.65
2015-03-27,3.31,3.31,3.05,3.07,14900,3.07
2015-03-26,2.88,3.73,2.88,3.27,8300,3.27
2015-03-25,3.58,3.58,3.30,3.35,5000,3.35
2015-03-24,3.50,3.68,3.35,3.53,800,3.53
2015-03-23,3.83,3.98,3.64,3.70,7800,3.70
2015-03-20,3.50,3.65,3.50,3.50,4400,3.50
2015-03-19,3.75,3.90,3.54,3.55,6400,3.55
2015-03-18,3.90,3.90,3.65,3.74,2300,3.74
2015-03-17,3.43,3.95,3.43,3.95,2600,3.95
2015-03-16,3.80,3.99,3.40,3.60,13500,3.60
2015-03-13,3.66,4.11,3.66,3.80,7700,3.80
2015-03-12,3.66,3.80,3.60,3.61,7500,3.61
2015-03-11,3.97,3.97,3.55,3.60,12000,3.60
2015-03-10,3.75,3.75,3.70,3.71,2200,3.71
2015-03-09,3.78,3.87,3.71,3.85,1900,3.85
2015-03-06,3.80,3.80,3.80,3.80,000,3.80
2015-03-05,3.98,3.98,3.70,3.80,3500,3.80
2015-03-04,3.99,3.99,3.80,3.91,6300,3.91
2015-03-03,3.80,3.98,3.63,3.80,3300,3.80
2015-03-02,3.80,3.80,3.77,3.77,3400,3.77
2015-02-27,3.70,3.90,3.70,3.84,5500,3.84
2015-02-26,3.85,3.91,3.70,3.72,18700,3.72
2015-02-25,4.00,4.00,3.79,3.79,8300,3.79
2015-02-24,4.00,4.17,3.91,3.94,11000,3.94
2015-02-23,3.95,4.00,3.83,3.99,10700,3.99
2015-02-20,4.00,4.03,3.80,3.95,19200,3.95
2015-02-19,3.70,4.00,3.70,3.86,20200,3.86
