Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,209.65,212.30,204.60,205.70,28200,204.20
2015-07-16,207.00,207.50,203.35,204.65,29100,203.16
2015-07-15,207.90,210.00,203.25,205.60,38800,204.10
2015-07-14,204.30,209.65,202.65,206.50,60800,204.99
2015-07-13,190.00,203.50,190.00,201.30,85800,199.83
2015-07-10,197.45,199.80,194.00,195.30,23000,193.88
2015-07-09,192.00,198.65,191.10,192.35,34600,190.95
2015-07-08,194.00,197.35,189.65,190.80,40800,189.41
2015-07-07,195.90,201.50,194.50,196.25,60000,194.82
2015-07-06,185.50,196.10,177.80,194.75,119400,193.33
2015-07-03,190.90,194.80,187.95,188.95,50200,187.57
2015-07-02,188.00,194.70,187.00,189.75,68600,188.37
2015-07-01,196.10,199.20,191.10,192.45,70300,191.05
2015-06-30,187.00,201.00,185.90,196.20,115900,194.77
2015-06-29,180.60,187.80,180.60,186.00,53800,184.64
2015-06-26,187.90,194.90,187.90,191.15,92700,189.76
2015-06-25,182.00,188.75,182.00,185.60,23500,184.25
2015-06-24,186.55,190.40,182.70,185.35,39600,184.00
2015-06-23,186.80,189.30,183.90,186.10,76200,184.74
2015-06-22,184.20,188.60,183.10,184.75,85100,183.40
2015-06-19,173.00,185.35,173.00,182.95,43000,181.62
2015-06-18,178.00,179.70,177.00,179.70,80900,178.39
2015-06-17,173.70,180.70,173.00,176.25,79300,174.96
2015-06-16,166.30,174.40,166.30,172.60,74000,171.34
2015-06-15,178.20,181.80,170.10,171.60,92100,170.35
2015-06-12,166.30,180.70,165.15,176.85,107400,175.56
2015-06-11,174.25,174.90,167.00,167.40,79400,166.18
2015-06-10,168.45,174.40,168.45,173.25,47600,171.99
2015-06-09,175.80,177.80,167.00,168.35,70200,167.12
2015-06-08,176.85,181.00,174.00,175.95,93100,174.67
2015-06-05,170.00,183.80,168.55,176.65,122500,175.36
2015-06-04,173.00,176.40,170.10,170.80,65100,169.55
2015-06-03,176.00,177.25,170.00,172.90,54500,171.64
2015-06-02,184.80,184.80,173.60,175.05,111100,173.77
2015-06-01,187.50,189.70,183.00,184.20,56100,182.86
2015-05-29,189.30,192.50,187.00,187.45,28400,186.08
2015-05-28,190.60,195.90,187.50,188.00,67900,186.63
2015-05-27,193.80,196.25,190.75,195.00,60500,193.58
2015-05-26,185.70,194.20,184.40,192.75,125800,191.34
2015-05-25,185.00,189.00,184.05,185.20,77400,183.85
2015-05-22,190.00,191.40,182.50,184.70,87900,183.35
2015-05-21,197.00,200.80,188.35,190.10,80600,188.71
2015-05-20,202.85,202.85,195.20,196.15,80400,194.72
2015-05-19,201.10,204.60,200.00,201.00,45000,199.53
2015-05-18,197.00,202.50,195.20,201.05,116700,199.58
2015-05-15,203.90,207.00,195.70,197.35,83700,195.91
2015-05-14,204.25,209.55,199.20,202.85,205800,201.37
2015-05-13,203.00,214.60,197.95,203.65,433800,202.16
2015-05-12,239.65,240.40,233.10,234.70,57000,232.99
2015-05-11,240.05,243.75,232.00,236.80,106200,235.07
2015-05-08,230.50,243.90,230.50,239.20,63200,237.46
2015-05-07,238.00,240.70,227.00,228.45,121400,226.78
2015-05-06,247.50,254.80,235.70,237.85,125000,236.12
2015-05-05,231.80,248.00,231.80,245.75,96500,243.96
2015-05-04,235.10,241.35,230.10,237.40,146900,235.67
2015-05-01,233.95,233.95,233.95,233.95,000,232.24
2015-04-30,233.25,240.00,230.60,233.95,81300,232.24
2015-04-29,235.50,242.90,231.60,238.70,117400,236.96
2015-04-28,210.15,237.80,210.15,235.35,192000,233.63
2015-04-27,218.00,218.00,208.80,214.75,100400,213.18
2015-04-24,224.50,225.10,212.70,215.65,114000,214.08
2015-04-23,221.15,228.10,221.10,224.60,80600,222.96
2015-04-22,222.80,230.05,215.50,220.90,67800,219.29
2015-04-21,223.00,228.80,220.85,225.65,99400,224.00
2015-04-20,232.00,233.25,220.75,222.85,85800,221.22
2015-04-17,239.00,242.80,231.65,233.70,108900,232.00
2015-04-16,240.00,243.00,235.30,238.70,102800,236.96
2015-04-15,234.00,249.20,234.00,241.00,145600,239.24
2015-04-14,236.45,236.45,236.45,236.45,000,234.73
2015-04-13,242.00,244.60,234.00,236.45,94800,234.73
2015-04-10,233.75,243.80,232.00,240.85,149900,239.09
2015-04-09,228.65,234.00,228.00,232.25,212800,230.56
2015-04-08,221.40,231.85,221.40,227.00,136800,225.34
2015-04-07,228.50,228.50,220.50,223.50,51800,221.87
2015-04-06,228.00,228.00,221.10,224.95,80700,223.31
2015-04-03,226.30,226.30,226.30,226.30,000,224.65
2015-04-02,226.30,226.30,226.30,226.30,000,224.65
2015-04-01,218.00,227.75,215.20,226.30,91300,224.65
2015-03-31,221.85,221.85,212.75,216.30,86600,214.72
2015-03-30,206.60,218.70,206.60,217.10,127400,215.52
2015-03-27,202.95,209.30,202.45,208.40,58000,206.88
2015-03-26,203.00,208.45,200.00,201.55,97900,200.08
2015-03-25,208.00,213.45,205.00,206.85,99700,205.34
2015-03-24,214.30,216.90,209.00,210.60,101000,209.06
2015-03-23,213.05,217.25,210.00,215.25,59800,213.68
2015-03-20,217.80,220.60,210.60,212.90,120700,211.35
2015-03-19,218.70,228.70,216.60,219.40,180000,217.80
2015-03-18,225.00,225.15,219.10,220.95,109800,219.34
2015-03-17,224.80,229.35,223.50,224.65,68900,223.01
2015-03-16,221.40,226.60,221.10,223.00,105200,221.37
2015-03-13,232.50,235.50,222.50,223.60,132600,221.97
2015-03-12,231.70,236.35,230.10,231.65,90700,229.96
2015-03-11,230.50,232.60,228.00,228.90,109400,227.23
2015-03-10,234.05,237.00,228.05,228.90,86600,227.23
2015-03-09,233.00,239.55,228.00,234.90,112000,233.19
2015-03-06,232.45,232.45,232.45,232.45,000,230.75
2015-03-05,238.00,238.00,228.00,232.45,207100,230.75
2015-03-04,235.00,237.70,228.75,230.00,130600,228.32
2015-03-03,235.00,239.00,234.20,236.65,56500,234.92
2015-03-02,234.25,243.75,232.10,235.30,92000,233.58
2015-02-27,234.75,241.45,233.00,234.30,114900,232.59
2015-02-26,238.50,241.25,230.70,233.30,131100,231.60
2015-02-25,244.50,248.10,238.00,239.45,55700,237.70
2015-02-24,245.00,248.35,238.10,243.25,109800,241.48
2015-02-23,247.05,257.50,245.00,246.50,124700,244.70
2015-02-20,255.35,261.85,245.60,250.00,264100,248.18
2015-02-19,238.70,255.80,231.85,251.20,246100,249.37
2015-02-18,239.70,244.00,236.00,236.80,76500,235.07
2015-02-17,238.70,238.70,238.70,238.70,000,236.96
2015-02-16,238.00,243.80,237.00,238.70,83200,236.96
2015-02-13,241.60,243.20,233.25,234.60,179000,232.89
