Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2.88,2.88,2.88,2.88,000,2.88
2015-07-16,2.88,2.88,2.88,2.88,000,2.88
2015-07-15,2.88,2.88,2.88,2.88,000,2.88
2015-07-14,2.88,2.88,2.88,2.88,000,2.88
2015-07-13,2.88,2.88,2.88,2.88,000,2.88
2015-07-10,2.88,2.88,2.88,2.88,000,2.88
2015-07-09,2.88,2.88,2.88,2.88,000,2.88
2015-07-08,2.88,2.88,2.88,2.88,000,2.88
2015-07-07,2.88,2.88,2.88,2.88,000,2.88
2015-07-06,2.88,2.88,2.88,2.88,000,2.88
2015-07-03,2.88,2.88,2.88,2.88,000,2.88
2015-07-02,2.88,2.88,2.88,2.88,000,2.88
2015-07-01,2.88,2.88,2.88,2.88,000,2.88
2015-06-30,2.88,2.88,2.88,2.88,000,2.88
2015-06-29,2.88,2.88,2.88,2.88,000,2.88
2015-06-26,2.88,2.88,2.88,2.88,000,2.88
2015-06-25,2.88,2.88,2.88,2.88,000,2.88
2015-06-24,2.88,2.88,2.88,2.88,000,2.88
2015-06-23,2.88,2.88,2.88,2.88,000,2.88
2015-06-22,2.88,2.88,2.88,2.88,000,2.88
2015-06-19,2.88,2.88,2.88,2.88,000,2.88
2015-06-18,2.88,2.88,2.88,2.88,000,2.88
2015-06-17,2.88,2.88,2.88,2.88,000,2.88
2015-06-16,2.88,2.88,2.88,2.88,000,2.88
2015-06-15,2.88,2.88,2.88,2.88,000,2.88
2015-06-12,2.88,2.88,2.88,2.88,000,2.88
2015-06-11,2.88,2.88,2.88,2.88,000,2.88
2015-06-10,2.88,2.88,2.88,2.88,000,2.88
2015-06-09,2.88,2.88,2.88,2.88,000,2.88
2015-06-08,2.88,2.88,2.88,2.88,000,2.88
2015-06-05,2.88,2.88,2.88,2.88,000,2.88
2015-06-04,2.88,2.88,2.88,2.88,000,2.88
2015-06-03,2.88,2.88,2.88,2.88,000,2.88
2015-06-02,2.88,2.88,2.88,2.88,000,2.88
2015-06-01,2.88,2.88,2.88,2.88,000,2.88
2015-05-29,2.88,2.88,2.88,2.88,000,2.88
2015-05-28,2.88,2.88,2.88,2.88,000,2.88
2015-05-27,2.88,2.88,2.88,2.88,000,2.88
2015-05-26,2.88,2.88,2.88,2.88,000,2.88
2015-05-25,2.88,2.88,2.88,2.88,000,2.88
2015-05-22,2.88,2.88,2.88,2.88,000,2.88
2015-05-21,2.88,2.88,2.88,2.88,000,2.88
2015-05-20,2.88,2.88,2.88,2.88,000,2.88
2015-05-19,2.88,2.88,2.88,2.88,000,2.88
2015-05-18,2.88,2.88,2.88,2.88,000,2.88
2015-05-15,2.88,2.88,2.88,2.88,000,2.88
2015-05-14,2.88,2.88,2.88,2.88,000,2.88
2015-05-13,2.88,2.88,2.88,2.88,000,2.88
2015-05-12,2.88,2.88,2.88,2.88,000,2.88
2015-05-11,2.88,2.88,2.88,2.88,000,2.88
2015-05-08,2.88,2.88,2.88,2.88,000,2.88
2015-05-07,2.88,2.88,2.88,2.88,000,2.88
2015-05-06,2.88,2.88,2.88,2.88,000,2.88
2015-05-05,2.88,2.88,2.88,2.88,000,2.88
2015-05-04,2.88,2.88,2.88,2.88,000,2.88
2015-05-01,2.88,2.88,2.88,2.88,000,2.88
2015-04-30,2.88,2.88,2.88,2.88,000,2.88
2015-04-29,2.88,2.88,2.88,2.88,000,2.88
2015-04-28,2.88,2.88,2.88,2.88,000,2.88
2015-04-27,2.88,2.88,2.88,2.88,000,2.88
2015-04-24,2.88,2.88,2.88,2.88,000,2.88
2015-04-23,2.88,2.88,2.88,2.88,000,2.88
2015-04-22,2.88,2.88,2.88,2.88,000,2.88
2015-04-21,2.88,2.88,2.88,2.88,000,2.88
2015-04-20,2.88,2.88,2.88,2.88,000,2.88
2015-04-17,2.88,2.88,2.88,2.88,000,2.88
2015-04-16,2.88,2.88,2.88,2.88,000,2.88
2015-04-15,2.88,2.88,2.88,2.88,000,2.88
2015-04-14,2.88,2.88,2.88,2.88,000,2.88
2015-04-13,2.88,2.88,2.88,2.88,000,2.88
2015-04-10,2.88,2.88,2.88,2.88,000,2.88
2015-04-09,2.88,2.88,2.88,2.88,000,2.88
2015-04-08,2.88,2.88,2.88,2.88,000,2.88
2015-04-07,2.88,2.88,2.88,2.88,000,2.88
2015-04-06,2.88,2.88,2.88,2.88,000,2.88
2015-04-03,2.88,2.88,2.88,2.88,000,2.88
2015-04-02,2.88,2.88,2.88,2.88,000,2.88
2015-04-01,2.88,2.88,2.88,2.88,000,2.88
2015-03-31,2.88,2.88,2.88,2.88,000,2.88
2015-03-30,2.88,2.88,2.88,2.88,000,2.88
2015-03-27,2.88,2.88,2.88,2.88,000,2.88
2015-03-26,2.88,2.88,2.88,2.88,000,2.88
2015-03-25,2.88,2.88,2.88,2.88,000,2.88
2015-03-24,2.88,2.88,2.88,2.88,000,2.88
2015-03-23,2.88,2.88,2.88,2.88,000,2.88
2015-03-20,2.88,2.88,2.88,2.88,000,2.88
2015-03-19,2.88,2.88,2.88,2.88,000,2.88
2015-03-18,2.88,2.88,2.88,2.88,000,2.88
2015-03-17,2.88,2.88,2.88,2.88,000,2.88
2015-03-16,2.88,2.88,2.88,2.88,000,2.88
2015-03-13,2.88,2.88,2.88,2.88,000,2.88
2015-03-12,2.88,2.88,2.88,2.88,000,2.88
2015-03-11,2.88,2.88,2.88,2.88,000,2.88
2015-03-10,2.88,2.88,2.88,2.88,000,2.88
2015-03-09,2.88,2.88,2.88,2.88,000,2.88
2015-03-06,2.88,2.88,2.88,2.88,000,2.88
2015-03-05,2.88,2.88,2.88,2.88,000,2.88
2015-03-04,2.88,2.88,2.88,2.88,000,2.88
2015-03-03,2.88,2.88,2.88,2.88,000,2.88
2015-03-02,2.88,2.88,2.88,2.88,000,2.88
2015-02-27,2.88,2.88,2.88,2.88,000,2.88
2015-02-26,2.88,2.88,2.88,2.88,000,2.88
2015-02-25,2.88,2.88,2.88,2.88,000,2.88
2015-02-24,2.88,2.88,2.88,2.88,000,2.88
2015-02-23,2.88,2.88,2.88,2.88,000,2.88
2015-02-20,2.88,2.88,2.88,2.88,000,2.88
2015-02-19,2.88,2.88,2.88,2.88,000,2.88
2015-02-18,2.88,2.88,2.88,2.88,000,2.88
2015-02-17,2.88,2.88,2.88,2.88,000,2.88
2015-02-16,2.88,2.88,2.88,2.88,000,2.88
2015-02-13,2.88,2.88,2.88,2.88,000,2.88
2015-02-12,2.88,2.88,2.88,2.88,000,2.88
2015-02-11,2.88,2.88,2.88,2.88,000,2.88
2015-02-10,2.88,2.88,2.88,2.88,000,2.88
2015-02-09,2.88,2.88,2.88,2.88,000,2.88
2015-02-06,2.88,2.88,2.88,2.88,000,2.88
2015-02-05,2.88,2.88,2.88,2.88,000,2.88
2015-02-04,2.88,2.88,2.88,2.88,000,2.88
2015-02-03,2.88,2.88,2.88,2.88,000,2.88
2015-02-02,2.88,2.88,2.88,2.88,000,2.88
2015-01-30,2.88,2.88,2.88,2.88,000,2.88
2015-01-29,2.88,2.88,2.88,2.88,000,2.88
2015-01-28,2.88,2.88,2.88,2.88,000,2.88
2015-01-27,2.88,2.88,2.88,2.88,000,2.88
2015-01-26,2.88,2.88,2.88,2.88,000,2.88
2015-01-23,2.88,2.88,2.88,2.88,000,2.88
2015-01-22,2.88,2.88,2.88,2.88,000,2.88
2015-01-21,2.88,2.88,2.88,2.88,000,2.88
2015-01-20,2.88,2.88,2.88,2.88,000,2.88
2015-01-19,2.88,2.88,2.88,2.88,000,2.88
2015-01-16,2.88,2.88,2.88,2.88,000,2.88
2015-01-15,2.88,2.88,2.88,2.88,000,2.88
2015-01-14,2.88,2.88,2.88,2.88,000,2.88
2015-01-13,2.88,2.88,2.88,2.88,000,2.88
2015-01-12,2.88,2.88,2.88,2.88,000,2.88
2015-01-09,2.88,2.88,2.88,2.88,000,2.88
2015-01-08,2.88,2.88,2.88,2.88,000,2.88
2015-01-07,2.88,2.88,2.88,2.88,000,2.88
2015-01-06,2.88,2.88,2.88,2.88,000,2.88
2015-01-05,2.88,2.88,2.88,2.88,000,2.88
2015-01-02,2.88,2.88,2.88,2.88,000,2.88
2015-01-01,2.88,2.88,2.88,2.88,2500,2.88
2014-12-31,3.03,3.03,3.03,3.03,31600,3.03
2014-12-30,3.18,3.18,3.18,3.18,7000,3.18
2014-12-29,3.34,3.34,3.34,3.34,9800,3.34
2014-12-26,3.51,3.51,3.51,3.51,10600,3.51
2014-12-25,3.69,3.69,3.69,3.69,000,3.69
2014-12-24,3.66,3.71,3.66,3.69,3500,3.69
2014-12-23,3.85,4.25,3.85,3.85,5700,3.85
2014-12-22,4.03,4.05,4.03,4.05,2000,4.05
2014-12-19,3.85,4.25,3.85,4.24,10900,4.24
2014-12-18,3.80,4.20,3.80,4.05,11400,4.05
2014-12-17,4.12,4.12,4.00,4.00,1100,4.00
2014-12-16,4.12,4.12,4.12,4.12,300,4.12
2014-12-15,4.33,4.33,4.33,4.33,1600,4.33
2014-12-12,4.54,4.55,4.54,4.55,12400,4.55
2014-12-11,4.60,4.77,4.56,4.77,24000,4.77
2014-12-10,4.69,4.69,4.30,4.55,61500,4.55
2014-12-09,4.47,4.47,4.11,4.47,27500,4.47
2014-12-08,4.26,4.26,4.26,4.26,3100,4.26
2014-12-05,4.06,4.06,4.06,4.06,5100,4.06
2014-12-04,3.87,3.87,3.87,3.87,14600,3.87
2014-12-03,3.45,3.69,3.42,3.69,16200,3.69
2014-12-02,3.65,3.65,3.52,3.52,7300,3.52
2014-12-01,3.75,3.85,3.60,3.60,10200,3.60
