Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1032.80,1032.80,1003.00,1014.45,6400,1014.45
2015-07-16,1025.00,1030.00,1012.90,1020.00,11100,1020.00
2015-07-15,1019.55,1025.00,1001.10,1013.35,9200,1013.35
2015-07-14,997.50,1024.00,991.45,1008.45,21500,1008.45
2015-07-13,997.70,1008.00,978.00,997.50,15600,997.50
2015-07-10,982.55,997.60,970.25,983.65,27200,983.65
2015-07-09,1035.00,1035.00,976.00,979.65,49600,979.65
2015-07-08,1012.80,1040.00,1003.00,1009.55,38400,1009.55
2015-07-07,1037.90,1062.00,1001.30,1020.00,111500,1020.00
2015-07-06,1034.90,1037.20,995.70,1025.15,33300,1025.15
2015-07-03,940.00,1042.15,936.00,1018.60,78000,1018.60
2015-07-02,932.15,953.40,928.05,936.15,28000,936.15
2015-07-01,944.00,944.00,915.35,922.70,21900,922.70
2015-06-30,908.80,946.20,880.00,932.45,39600,932.45
2015-06-29,909.90,909.90,858.05,880.40,13500,880.40
2015-06-26,910.00,910.00,893.80,896.60,4400,896.60
2015-06-25,884.35,912.85,884.35,905.90,12500,905.90
2015-06-24,905.90,914.00,893.00,901.85,7900,901.85
2015-06-23,919.90,919.90,890.10,897.55,12200,897.55
2015-06-22,895.00,915.60,882.00,910.40,16000,910.40
2015-06-19,909.80,913.95,888.75,894.90,15000,894.90
2015-06-18,908.80,908.80,0.01,902.40,16100,902.40
2015-06-17,896.80,905.00,884.00,893.40,19900,893.40
2015-06-16,890.20,897.50,852.95,878.20,27900,878.20
2015-06-15,881.10,908.00,881.10,893.45,150800,893.45
2015-06-12,884.00,895.90,880.55,892.10,10700,892.10
2015-06-11,923.00,930.80,889.85,892.45,10400,892.45
2015-06-10,886.25,919.40,886.25,909.05,6400,909.05
2015-06-09,885.20,914.80,885.20,898.50,3800,898.50
2015-06-08,924.70,932.80,894.25,900.30,6800,900.30
2015-06-05,950.00,950.00,919.60,923.40,5700,923.40
2015-06-04,925.55,938.40,904.00,916.60,11800,916.60
2015-06-03,960.00,960.00,883.35,921.95,23100,921.95
2015-06-02,969.70,969.70,931.65,938.30,14700,938.30
2015-06-01,969.90,969.90,935.25,953.30,14900,953.30
2015-05-29,969.40,973.00,948.00,953.35,18000,953.35
2015-05-28,962.05,965.40,923.95,953.60,14200,953.60
2015-05-27,987.70,987.70,954.80,963.35,6500,963.35
2015-05-26,965.00,993.00,965.00,984.40,15700,984.40
2015-05-25,1023.80,1023.80,975.45,986.20,19300,986.20
2015-05-22,1025.40,1025.40,992.00,995.85,12100,995.85
2015-05-21,1010.00,1029.00,1006.95,1010.45,33800,1010.45
2015-05-20,997.00,1013.90,970.00,1004.75,24000,1004.75
2015-05-19,965.30,980.35,956.60,965.10,13800,965.10
2015-05-18,951.00,970.00,951.00,967.35,27000,967.35
2015-05-15,939.00,955.15,935.95,951.85,18200,951.85
2015-05-14,910.00,943.30,908.00,932.60,29000,932.60
2015-05-13,922.60,932.95,893.95,908.70,29500,908.70
2015-05-12,969.80,969.80,908.00,920.65,17700,920.65
2015-05-11,925.00,951.40,925.00,943.30,10400,943.30
2015-05-08,940.00,969.50,916.20,929.35,28600,929.35
2015-05-07,988.00,988.00,914.90,923.80,21100,923.80
2015-05-06,1000.00,1007.60,939.40,957.05,31700,957.05
