Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,114.50,121.65,114.50,118.75,65400,118.75
2015-07-16,113.00,117.60,112.80,113.95,36200,113.95
2015-07-15,112.00,116.00,110.55,112.30,31400,112.30
2015-07-14,111.30,114.50,109.00,111.60,28700,111.60
2015-07-13,106.45,113.00,106.45,109.70,49200,109.70
2015-07-10,105.00,108.55,105.00,107.10,10000,107.10
2015-07-09,104.50,106.90,104.05,105.65,9900,105.65
2015-07-08,105.05,108.00,104.05,105.05,21300,105.05
2015-07-07,104.80,111.00,104.00,108.00,63600,108.00
2015-07-06,100.05,104.50,99.25,103.75,14800,103.75
2015-07-03,104.70,105.00,100.20,101.20,20100,101.20
2015-07-02,106.40,106.70,102.20,103.30,25600,103.30
2015-07-01,97.05,106.00,97.05,103.95,76200,103.95
2015-06-30,96.10,98.00,96.00,96.90,13400,96.90
2015-06-29,97.30,97.40,95.10,95.90,13300,95.90
2015-06-26,100.60,102.80,98.40,99.10,34200,99.10
2015-06-25,101.60,103.00,99.50,99.80,10100,99.80
2015-06-24,102.00,105.70,100.70,101.60,45300,101.60
2015-06-23,101.90,105.00,99.20,101.90,45100,101.90
2015-06-22,103.90,104.90,100.70,102.00,63400,102.00
2015-06-19,96.10,101.80,95.50,99.80,63700,99.80
2015-06-18,95.90,95.80,94.80,95.80,32800,95.80
2015-06-17,96.00,98.30,94.10,95.00,14100,95.00
2015-06-16,96.50,99.40,94.00,95.40,43600,95.40
2015-06-15,91.90,102.10,91.90,96.60,161300,96.60
2015-06-12,89.20,89.90,87.20,87.80,3400,87.80
2015-06-11,90.40,91.50,88.30,89.40,15700,89.40
2015-06-10,87.00,90.00,86.50,89.30,2200,89.30
2015-06-09,87.00,88.30,85.70,86.00,14400,86.00
2015-06-08,90.00,90.00,86.50,86.90,12400,86.90
2015-06-05,90.50,92.00,89.50,90.00,9600,90.00
2015-06-04,90.70,93.00,89.70,90.60,14400,90.60
2015-06-03,94.30,94.90,89.50,90.30,21700,90.30
2015-06-02,101.00,101.00,92.80,94.10,38900,94.10
2015-06-01,103.20,103.60,100.30,100.50,12100,100.50
2015-05-29,105.00,109.90,100.50,101.40,27700,101.40
2015-05-28,106.00,107.00,102.30,103.00,7800,103.00
2015-05-27,104.00,106.00,103.10,103.70,7100,103.70
2015-05-26,106.90,106.90,103.20,103.70,8500,103.70
2015-05-25,107.00,107.00,105.50,105.90,4200,105.90
2015-05-22,107.80,109.40,106.00,106.40,6900,106.40
2015-05-21,106.90,108.90,105.60,107.80,7000,107.80
2015-05-20,110.50,111.30,105.60,106.30,14600,106.30
2015-05-19,108.40,111.40,107.70,110.30,25100,110.30
2015-05-18,109.90,111.00,105.10,106.90,11000,106.90
2015-05-15,102.50,109.70,102.50,107.60,6800,107.60
2015-05-14,103.30,105.50,101.20,104.70,7000,104.70
2015-05-13,103.50,104.70,101.00,103.30,4300,103.30
2015-05-12,109.00,109.90,102.50,103.00,8500,103.00
2015-05-11,105.10,106.80,104.50,106.10,8200,106.10
2015-05-08,104.40,106.30,103.90,104.30,5500,104.30
2015-05-07,105.20,107.30,101.10,101.80,10800,101.80
2015-05-06,109.00,109.90,105.10,105.60,12300,105.60
2015-05-05,113.00,113.50,110.20,111.40,10800,111.40
2015-05-04,109.80,111.50,108.00,110.20,9200,110.20
2015-05-01,108.20,108.20,108.20,108.20,000,108.20
2015-04-30,108.90,109.80,106.20,108.20,11800,108.20
2015-04-29,105.00,109.50,103.00,107.10,14400,107.10
2015-04-28,102.00,106.90,101.80,104.30,14800,104.30
2015-04-27,109.20,109.20,102.30,103.20,20600,103.20
2015-04-24,113.70,115.00,108.50,109.20,14300,109.20
2015-04-23,117.00,118.30,113.00,113.80,9800,113.80
2015-04-22,115.50,119.90,112.10,114.70,27100,114.70
2015-04-21,118.20,118.60,113.10,113.80,17900,113.80
2015-04-20,115.50,123.50,115.00,115.80,42100,115.80
2015-04-17,119.00,119.00,114.00,115.00,14700,115.00
2015-04-16,122.50,122.50,117.10,117.90,17300,117.90
2015-04-15,116.50,126.00,115.00,120.00,88200,120.00
2015-04-14,116.00,116.00,116.00,116.00,000,116.00
2015-04-13,116.10,117.60,115.00,116.00,14300,116.00
2015-04-10,116.90,116.90,113.00,113.80,18300,113.80
2015-04-09,116.60,118.90,115.10,115.90,23800,115.90
2015-04-08,117.00,119.80,111.40,113.70,45800,113.70
2015-04-07,118.60,119.00,113.80,114.50,11800,114.50
2015-04-06,118.00,118.00,112.00,115.80,23800,115.80
2015-04-03,114.30,114.30,114.30,114.30,000,114.30
2015-04-02,114.30,114.30,114.30,114.30,000,114.30
2015-04-01,112.25,115.70,109.80,114.30,27000,114.30
2015-03-31,113.60,114.40,109.10,110.30,10900,110.30
2015-03-30,109.90,112.00,108.10,111.30,27700,111.30
2015-03-27,103.70,107.30,100.00,104.50,57400,104.50
2015-03-26,104.50,109.60,103.00,103.70,27600,103.70
2015-03-25,100.00,114.00,100.00,107.00,91200,107.00
2015-03-24,95.80,104.90,95.30,99.60,34800,99.60
2015-03-23,103.50,103.50,95.60,96.70,19900,96.70
2015-03-20,108.60,108.60,101.00,102.50,20100,102.50
2015-03-19,112.50,112.80,106.50,107.70,11500,107.70
2015-03-18,115.00,117.00,109.00,110.60,65300,110.60
2015-03-17,105.00,112.50,105.00,110.50,26100,110.50
2015-03-16,112.00,112.40,104.60,105.70,15900,105.70
2015-03-13,117.70,117.70,111.10,111.50,25500,111.50
2015-03-12,117.20,117.90,114.90,115.80,8800,115.80
2015-03-11,115.20,120.30,115.00,117.40,19000,117.40
2015-03-10,117.60,118.70,114.90,115.40,6100,115.40
2015-03-09,120.00,120.00,116.60,117.20,4600,117.20
2015-03-06,118.20,118.20,118.20,118.20,000,118.20
2015-03-05,119.20,121.00,116.50,118.20,19900,118.20
2015-03-04,121.00,124.00,117.10,118.80,13300,118.80
2015-03-03,122.50,123.60,120.00,120.70,7000,120.70
2015-03-02,118.70,123.30,116.20,122.10,22200,122.10
2015-02-27,122.70,125.50,119.40,122.10,12100,122.10
2015-02-26,124.90,126.50,122.40,123.20,11300,123.20
2015-02-25,122.60,126.70,121.60,122.80,22800,122.80
2015-02-24,125.90,125.90,121.20,121.80,11000,121.80
2015-02-23,128.40,128.70,123.00,123.70,11700,123.70
2015-02-20,126.10,130.00,123.30,125.60,36400,125.60
2015-02-19,125.80,126.10,122.60,124.20,9500,124.20
2015-02-18,125.90,126.90,125.00,125.20,16000,125.20
2015-02-17,125.80,125.80,125.80,125.80,000,125.80
2015-02-16,130.00,132.00,125.10,125.80,17400,125.80
2015-02-13,128.40,131.50,127.70,129.20,30700,129.20
2015-02-12,127.30,129.55,124.00,126.55,33500,126.55
2015-02-11,123.00,130.00,121.30,125.50,42300,125.50
2015-02-10,139.30,139.30,119.25,124.75,93600,124.75
2015-02-09,137.20,142.00,135.25,138.85,30300,138.85
2015-02-06,146.35,147.45,138.10,139.30,24000,139.30
2015-02-05,145.75,153.00,145.00,145.85,34500,145.85
2015-02-04,145.75,149.85,145.50,146.50,21500,146.50
2015-02-03,149.70,152.00,146.00,147.00,34600,147.00
2015-02-02,149.85,153.90,147.95,148.75,24900,148.75
2015-01-30,148.90,153.30,143.50,149.10,57200,149.10
2015-01-29,141.95,154.40,141.95,147.05,49400,147.05
2015-01-28,143.75,145.95,140.15,141.10,27900,141.10
2015-01-27,143.55,150.50,141.90,142.75,28600,142.75
2015-01-26,147.90,147.90,147.90,147.90,000,147.90
2015-01-23,153.00,154.25,146.25,147.90,23100,147.90
2015-01-22,152.40,155.70,150.00,151.80,27000,151.80
2015-01-21,155.00,160.00,150.00,151.30,33900,151.30
2015-01-20,156.10,160.95,152.00,153.65,52800,153.65
2015-01-19,160.00,163.25,153.00,156.05,59600,156.05
2015-01-16,156.00,166.00,153.95,158.10,312300,158.10
2015-01-15,135.30,160.95,135.30,155.00,480700,155.00
2015-01-14,136.30,139.00,133.00,134.15,15300,134.15
2015-01-13,138.70,141.65,136.35,137.00,15100,137.00
2015-01-12,135.90,140.45,134.00,139.10,28300,139.10
2015-01-09,137.00,138.90,134.20,135.15,9300,135.15
2015-01-08,134.95,139.30,134.50,135.50,18000,135.50
2015-01-07,133.75,136.50,129.00,133.00,21000,133.00
2015-01-06,140.00,140.00,132.40,134.05,20200,134.05
2015-01-05,140.00,143.90,138.50,140.80,49900,140.80
2015-01-02,139.00,142.80,137.15,139.05,37700,139.05
2015-01-01,138.40,141.00,138.00,138.10,17500,138.10
2014-12-31,138.00,140.80,136.55,137.30,22300,137.30
2014-12-30,137.00,140.95,136.20,137.20,34300,137.20
2014-12-29,136.00,141.00,136.00,137.05,28500,137.05
2014-12-26,139.90,144.80,135.00,136.60,80300,136.60
2014-12-25,137.40,137.40,137.40,137.40,000,137.40
2014-12-24,142.95,145.50,136.50,137.40,69900,137.40
2014-12-23,142.15,145.95,136.00,138.60,107800,138.60
2014-12-22,125.00,144.90,125.00,141.05,191000,141.05
2014-12-19,129.95,129.95,123.35,125.05,14000,125.05
2014-12-18,115.00,125.10,115.00,124.70,36800,124.70
2014-12-17,129.80,129.80,107.40,114.25,34700,114.25
2014-12-16,118.15,120.00,115.05,115.70,16500,115.70
2014-12-15,128.00,128.40,116.90,121.65,27100,121.65
2014-12-12,132.50,133.50,128.30,128.75,11800,128.75
2014-12-11,132.60,133.00,128.30,128.95,9400,128.95
2014-12-10,133.00,135.00,131.25,132.50,10100,132.50
2014-12-09,135.75,137.40,131.00,131.75,8300,131.75
2014-12-08,137.40,142.80,135.05,135.85,26900,135.85
2014-12-05,140.60,145.10,135.05,137.50,50500,137.50
2014-12-04,139.00,141.90,136.45,139.25,18900,139.25
2014-12-03,136.00,142.80,136.00,139.25,48600,139.25
2014-12-02,132.20,139.90,132.20,135.55,25700,135.55
2014-12-01,138.15,138.15,131.55,133.50,17600,133.50
2014-11-28,142.90,143.70,136.20,137.10,38400,137.10
2014-11-27,140.15,144.70,139.40,142.10,85300,142.10
2014-11-26,134.90,141.40,132.10,136.65,65200,136.65
2014-11-25,135.50,142.90,131.00,133.85,77200,133.85
2014-11-24,146.00,146.00,134.00,135.20,31800,135.20
2014-11-21,151.90,152.00,139.75,141.00,107600,141.00
2014-11-20,139.20,151.45,138.45,151.45,363800,151.45
2014-11-19,137.10,142.95,135.70,137.70,116200,137.70
2014-11-18,132.00,140.65,130.00,135.85,119000,135.85
2014-11-17,127.00,133.25,125.15,130.55,89500,130.55
2014-11-14,128.55,134.80,123.20,127.05,125800,127.05
2014-11-13,118.00,128.35,115.40,128.35,260300,128.35
2014-11-12,125.05,125.05,115.20,116.70,236300,116.70
2014-11-11,108.90,120.35,108.15,120.35,707500,120.35
2014-11-10,97.80,100.30,93.00,100.30,63900,100.30
2014-11-07,86.00,86.65,82.70,83.60,10700,83.60
2014-11-06,85.70,85.70,85.70,85.70,000,85.70
2014-11-05,86.30,87.90,85.05,85.70,22700,85.70
2014-11-04,84.50,84.50,84.50,84.50,000,84.50
2014-11-03,85.00,85.85,84.25,84.50,7500,84.50
2014-10-31,87.55,87.55,83.60,84.15,9400,84.15
2014-10-30,84.10,86.10,83.40,83.90,10500,83.90
2014-10-29,85.40,85.60,84.05,84.90,10900,84.90
2014-10-28,81.00,85.00,79.90,84.70,34200,84.70
2014-10-27,81.75,82.70,80.65,81.00,2600,81.00
2014-10-24,79.85,79.85,79.85,79.85,000,79.85
2014-10-23,79.85,79.85,79.85,79.85,000,79.85
2014-10-22,78.75,80.20,78.00,79.85,2900,79.85
2014-10-21,78.00,78.80,76.75,77.90,4200,77.90
2014-10-20,79.60,79.75,76.25,77.70,2600,77.70
2014-10-17,78.75,78.80,76.85,77.65,2400,77.65
2014-10-16,80.20,81.50,76.20,77.00,11400,77.00
2014-10-15,81.05,81.05,81.05,81.05,000,81.05
2014-10-14,81.95,82.65,80.70,81.05,5900,81.05
2014-10-13,80.95,82.00,79.55,80.95,4100,80.95
2014-10-10,82.70,82.70,80.25,80.80,4100,80.80
2014-10-09,82.00,84.00,81.60,83.40,5700,83.40
2014-10-08,80.05,81.00,79.35,79.90,2100,79.90
2014-10-07,83.90,85.00,80.05,80.30,7900,80.30
2014-10-06,83.10,83.10,83.10,83.10,000,83.10
2014-10-03,83.10,83.10,83.10,83.10,000,83.10
2014-10-02,83.10,83.10,83.10,83.10,000,83.10
2014-10-01,84.75,86.00,82.25,83.10,6100,83.10
2014-09-30,84.10,86.60,83.70,84.00,9100,84.00
2014-09-29,83.75,84.95,82.80,83.25,4600,83.25
2014-09-26,82.00,82.70,79.00,81.85,16300,81.85
2014-09-25,86.00,86.70,81.50,82.30,7400,82.30
2014-09-24,89.10,89.25,83.85,85.45,10700,85.45
2014-09-23,94.65,95.00,86.85,87.30,19500,86.30
2014-09-22,94.00,97.00,92.95,94.35,38500,93.269
2014-09-19,90.00,94.00,89.00,90.85,17700,89.809
2014-09-18,87.05,91.30,87.05,90.10,8800,89.068
2014-09-17,88.00,89.70,85.80,87.40,10500,86.399
2014-09-16,95.70,96.25,85.40,86.65,24000,85.657
2014-09-15,95.50,97.40,93.00,94.20,41900,93.121
2014-09-12,92.45,99.55,91.90,95.35,155600,94.258
2014-09-11,91.00,94.50,90.00,91.70,29500,90.65
2014-09-10,87.90,92.60,87.90,89.90,42900,88.87
2014-09-09,91.45,93.60,87.50,88.55,37300,87.536
2014-09-08,85.00,92.45,84.00,90.60,110500,89.562
2014-09-05,83.25,86.45,83.10,83.75,17200,82.791
2014-09-04,85.00,85.00,81.05,82.90,15200,81.95
2014-09-03,88.00,89.05,83.65,84.30,53800,83.334
2014-09-02,83.75,88.50,80.30,86.85,84200,85.855
2014-09-01,81.50,83.50,80.50,80.95,21100,80.023
2014-08-29,81.30,81.30,81.30,81.30,000,80.369
2014-08-28,82.20,82.90,80.55,81.30,11700,80.369
2014-08-27,80.30,83.60,79.70,81.05,29600,80.122
2014-08-26,81.65,81.65,78.20,79.15,14400,78.243
2014-08-25,81.45,83.20,79.95,80.30,55300,79.38
2014-08-22,75.60,80.00,74.30,79.05,52900,78.145
2014-08-21,72.00,75.75,72.00,74.05,16400,73.202
2014-08-20,71.85,72.00,71.00,71.90,6200,71.076
2014-08-19,70.20,73.00,70.20,71.85,10500,71.027
2014-08-18,70.80,72.95,70.50,71.15,9100,70.335
2014-08-15,70.05,70.05,70.05,70.05,000,69.248
2014-08-14,71.45,71.45,68.60,70.05,14400,69.248
2014-08-13,72.75,73.00,68.00,68.80,8600,68.012
2014-08-12,75.60,76.70,73.00,73.20,6000,72.362
2014-08-11,73.90,74.80,72.50,72.85,6200,72.016
2014-08-08,73.70,74.30,72.00,72.50,6500,71.67
2014-08-07,77.55,78.25,75.05,75.60,11600,74.734
2014-08-06,82.00,82.15,77.00,77.50,68200,76.612
2014-08-05,74.00,82.00,74.00,80.30,122200,79.38
2014-08-04,74.00,75.70,73.05,73.75,10400,72.905
2014-08-01,72.00,77.35,70.30,72.95,33800,72.114
2014-07-31,74.50,74.90,71.30,71.65,24100,70.829
2014-07-30,69.00,72.50,67.15,72.20,15500,71.373
2014-07-29,68.75,68.75,68.75,68.75,000,67.962
2014-07-28,70.85,70.85,68.60,68.75,2600,67.962
2014-07-25,67.10,72.85,67.10,68.50,5100,67.715
2014-07-24,71.75,72.45,71.35,71.40,2000,70.582
2014-07-23,73.00,73.00,71.25,72.00,2300,71.175
2014-07-22,73.00,73.70,72.10,72.40,3800,71.571
2014-07-21,73.75,73.75,72.10,72.95,2700,72.114
2014-07-18,73.00,73.80,70.70,72.10,8100,71.274
2014-07-17,70.15,71.85,69.00,71.20,5000,70.384
2014-07-16,68.60,70.80,68.60,70.00,3800,69.198
2014-07-15,68.30,70.00,67.00,68.70,11300,67.913
2014-07-14,70.60,70.60,67.20,67.50,3500,66.727
2014-07-11,70.00,72.55,68.85,69.30,3800,68.506
2014-07-10,72.10,73.00,70.65,72.15,3600,71.324
2014-07-09,72.30,73.15,70.55,73.00,12100,72.164
2014-07-08,75.50,76.05,72.00,72.25,11200,71.422
2014-07-07,78.70,78.75,75.70,76.20,7100,75.327
2014-07-04,78.00,78.30,77.05,77.45,7800,76.563
2014-07-03,78.20,78.50,77.00,77.50,4700,76.612
2014-07-02,79.00,81.00,79.00,79.20,27500,78.293
2014-07-01,79.90,81.00,78.10,79.10,31200,78.194
2014-06-30,79.00,80.40,77.60,79.80,46200,78.886
2014-06-27,82.55,83.00,78.50,78.90,132200,77.996
2014-06-26,75.25,80.75,75.25,79.30,61700,78.392
2014-06-25,70.00,74.60,69.35,73.80,23600,72.955
2014-06-24,71.20,71.20,69.35,70.30,4700,69.495
2014-06-23,72.00,72.00,67.75,68.30,19400,67.518
2014-06-20,72.05,72.05,68.75,69.25,4600,68.457
2014-06-19,73.50,74.00,68.35,71.30,6900,70.483
2014-06-18,73.90,74.80,70.00,73.00,21100,72.164
2014-06-17,72.00,75.20,71.80,73.25,33700,72.411
2014-06-16,66.95,71.00,65.25,69.50,11600,68.704
2014-06-13,72.15,74.80,68.50,68.75,9400,67.962
2014-06-12,74.70,75.00,71.65,72.45,10400,71.62
2014-06-11,77.90,79.50,73.65,74.30,27300,73.449
2014-06-10,76.35,81.80,76.25,77.65,68900,76.761
2014-06-09,70.75,76.45,70.75,74.20,28400,73.35
2014-06-06,72.50,73.55,70.00,70.75,27400,69.94
2014-06-05,68.95,73.50,67.05,71.10,58100,70.286
2014-06-04,65.95,68.30,65.30,66.60,22000,65.837
2014-06-03,62.00,65.00,62.00,64.15,12600,63.415
2014-06-02,61.45,61.90,58.00,60.90,5000,60.202
2014-05-30,60.95,60.95,58.60,58.60,10300,57.929
2014-05-29,60.25,61.00,60.00,60.00,1800,59.313
2014-05-28,62.25,62.25,60.25,61.00,3200,60.301
2014-05-27,61.15,62.00,58.40,60.25,8700,59.56
2014-05-26,64.95,66.50,59.40,60.80,24200,60.104
2014-05-23,64.05,67.00,63.10,63.80,19100,63.069
2014-05-22,63.20,65.50,62.00,63.25,17800,62.525
2014-05-21,61.25,65.15,59.20,62.45,26800,61.735
2014-05-20,56.00,63.85,56.00,61.40,61800,60.697
2014-05-19,53.00,56.00,53.00,55.45,9800,54.815
2014-05-16,52.40,54.00,50.85,52.15,6900,51.553
2014-05-15,53.05,53.05,51.85,52.40,5900,51.80
2014-05-14,54.90,55.00,50.25,53.60,8500,52.986
2014-05-13,53.00,53.90,52.80,52.95,11400,52.343
2014-05-12,55.00,55.50,52.00,52.35,7200,51.75
2014-05-09,55.85,55.85,54.15,54.20,3700,53.579
2014-05-08,55.95,56.00,54.00,54.45,3200,53.826
2014-05-07,55.80,55.80,54.20,54.75,3100,54.123
2014-05-06,56.10,56.10,54.10,54.10,1300,53.48
2014-05-05,56.75,57.00,55.45,55.90,4000,55.26
2014-05-02,58.50,58.95,57.10,57.25,32100,56.594
2014-05-01,55.30,55.30,55.30,55.30,000,54.667
2014-04-30,54.60,57.00,54.40,55.30,7000,54.667
2014-04-29,55.30,56.20,53.90,54.70,4500,54.073
2014-04-28,55.95,55.95,54.50,54.70,4700,54.073
2014-04-25,56.10,57.00,55.00,55.35,1000,54.716
2014-04-24,56.05,56.05,56.05,56.05,000,55.408
2014-04-23,59.00,59.40,55.00,56.05,3100,55.408
2014-04-22,57.70,58.45,55.70,56.80,13200,56.149
2014-04-21,54.20,56.90,54.05,56.30,6900,55.655
2014-04-18,54.65,54.65,54.65,54.65,000,54.024
2014-04-17,53.90,57.00,53.50,54.65,6100,54.024
2014-04-16,54.25,54.85,53.00,53.15,4600,52.541
2014-04-15,55.00,55.00,53.60,54.00,6500,53.381
2014-04-14,55.70,55.70,55.70,55.70,000,55.062
2014-04-11,54.00,57.00,54.00,55.70,4600,55.062
2014-04-10,55.60,56.00,53.55,54.85,9000,54.222
2014-04-09,59.00,59.00,54.50,55.80,23800,55.161
2014-04-08,57.20,57.20,57.20,57.20,000,56.545
2014-04-07,52.85,57.35,50.20,57.20,60200,56.545
2014-04-04,50.00,52.90,50.00,52.15,9100,51.553
2014-04-03,48.50,52.00,48.50,49.85,11300,49.279
2014-04-02,48.35,49.80,47.50,48.05,10700,47.50
2014-04-01,47.85,48.00,47.75,47.75,800,47.203
2014-03-31,48.20,49.00,47.80,48.10,3600,47.549
2014-03-28,46.10,49.90,46.10,48.50,3900,47.944
2014-03-27,46.00,47.00,46.00,46.75,3800,46.214
2014-03-26,46.00,47.00,46.00,46.50,9500,45.967
2014-03-25,45.95,46.50,45.40,45.60,1900,45.078
2014-03-24,46.00,46.80,45.50,45.95,2200,45.424
2014-03-21,45.80,47.85,45.80,46.35,4800,45.819
2014-03-20,48.00,48.00,45.10,45.80,2700,45.275
2014-03-19,45.30,47.95,45.30,47.30,16800,46.758
2014-03-18,43.55,44.95,43.55,44.95,1300,44.435
2014-03-17,43.80,43.80,43.80,43.80,000,43.298
2014-03-14,42.50,45.00,42.50,43.80,1700,43.298
2014-03-13,44.95,45.65,44.95,45.10,3800,44.583
2014-03-12,44.00,45.40,44.00,44.80,1900,44.287
2014-03-11,44.05,44.75,44.00,44.30,3500,43.793
2014-03-10,43.25,44.95,43.20,44.50,1500,43.99
2014-03-07,44.80,44.80,43.25,43.55,2500,43.051
2014-03-06,43.50,43.95,43.00,43.45,6900,42.952
2014-03-05,43.45,43.45,42.60,43.00,1400,42.507
2014-03-04,43.50,43.50,42.60,42.75,1800,42.26
2014-03-03,43.55,43.90,43.00,43.40,1200,42.903
2014-02-28,42.50,45.25,42.50,43.50,800,43.002
2014-02-27,44.00,44.00,44.00,44.00,000,43.496
2014-02-26,45.45,45.45,44.00,44.00,1400,43.496
2014-02-25,43.30,44.45,43.25,43.55,2700,43.051
2014-02-24,44.70,44.70,42.00,42.40,2500,41.914
2014-02-21,41.60,43.30,41.60,43.00,2700,42.507
