Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,3186.70,3244.00,3175.05,3216.65,11100,3207.65
2015-07-16,3201.20,3215.00,3161.50,3173.60,12000,3164.72
2015-07-15,3138.00,3225.00,3138.00,3200.85,18900,3191.89
2015-07-14,3160.00,3163.85,3125.00,3136.40,21700,3127.62
2015-07-13,3150.00,3179.50,3122.15,3163.90,11000,3155.05
2015-07-10,3110.00,3147.45,3095.00,3134.65,9200,3125.88
2015-07-09,3116.95,3141.65,3081.00,3103.75,7500,3095.07
2015-07-08,3170.00,3170.00,3082.20,3116.95,10400,3108.23
2015-07-07,3103.25,3184.00,3103.00,3174.45,11300,3165.57
2015-07-06,3070.00,3120.00,3040.10,3101.05,12200,3092.37
2015-07-03,3060.00,3077.25,3028.85,3061.95,11100,3053.38
2015-07-02,3060.00,3067.00,3033.00,3058.25,9000,3049.69
2015-07-01,3000.00,3059.10,2976.10,3051.10,20200,3042.56
2015-06-30,2912.20,3000.00,2908.20,2991.40,19700,2983.03
2015-06-29,2900.00,2930.00,2839.30,2907.70,13800,2899.56
2015-06-26,2840.00,2920.00,2840.00,2915.50,18000,2907.34
2015-06-25,2844.00,2879.00,2835.05,2862.95,17800,2854.94
2015-06-24,2925.00,2970.00,2830.00,2844.80,31200,2836.84
2015-06-23,2830.00,2904.85,2809.75,2891.10,13500,2883.01
2015-06-22,2808.55,2843.60,2790.05,2800.75,46100,2792.91
2015-06-19,2800.00,2815.00,2795.05,2802.55,6900,2794.71
2015-06-18,2781.15,2818.05,0.01,2798.10,16100,2790.27
2015-06-17,2743.00,2815.00,2738.05,2789.50,14800,2781.70
2015-06-16,2712.00,2749.50,2693.50,2742.60,8800,2734.93
2015-06-15,2745.50,2750.00,2705.00,2715.65,10100,2708.05
2015-06-12,2706.00,2765.60,2682.90,2743.35,17800,2735.67
2015-06-11,2810.00,2826.50,2695.65,2705.95,15600,2698.38
2015-06-10,2812.35,2842.95,2800.50,2804.80,11400,2796.95
2015-06-09,2808.00,2843.65,2791.00,2811.80,9000,2803.93
2015-06-08,2807.70,2833.00,2783.55,2823.35,5800,2815.45
2015-06-05,2851.75,2905.50,2782.55,2818.40,13100,2810.51
2015-06-04,2830.60,2881.00,2825.80,2867.15,13800,2859.13
2015-06-03,2901.00,2912.10,2820.10,2830.20,12300,2822.28
2015-06-02,2995.50,3013.60,2891.20,2902.40,10500,2894.28
2015-06-01,2951.00,3019.00,2951.00,2992.90,8900,2984.53
2015-05-29,2917.00,2990.80,2917.00,2988.00,11900,2979.64
2015-05-28,2898.00,2939.50,2857.80,2923.15,8900,2914.97
