Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,14.11,14.39,14.01,14.14,13100,14.14
2015-07-16,14.35,14.95,14.10,14.23,26900,14.23
2015-07-15,14.59,14.60,14.15,14.37,48200,14.37
2015-07-14,14.35,14.55,14.14,14.31,35800,14.31
2015-07-13,14.65,14.70,13.90,14.33,29700,14.33
2015-07-10,14.60,14.85,14.15,14.29,39200,14.29
2015-07-09,14.55,15.18,14.53,14.60,74700,14.60
2015-07-08,14.95,15.50,14.30,14.82,74800,14.82
2015-07-07,14.90,16.40,14.83,15.00,662600,15.00
2015-07-06,13.19,13.77,13.10,13.67,34400,13.67
2015-07-03,13.80,13.95,13.22,13.32,83900,13.32
2015-07-02,13.74,13.74,13.05,13.30,37400,13.30
2015-07-01,13.77,14.10,13.25,13.46,49200,13.46
2015-06-30,13.05,13.55,12.90,13.40,68900,13.40
2015-06-29,12.65,12.95,12.65,12.80,15700,12.80
2015-06-26,13.40,13.45,13.00,13.25,31400,13.25
2015-06-25,13.90,13.90,13.20,13.50,26600,13.50
2015-06-24,14.90,14.90,13.75,14.00,11700,14.00
2015-06-23,14.05,14.80,14.05,14.30,50200,14.30
2015-06-22,13.90,14.15,13.60,14.10,28200,14.10
2015-06-19,13.80,13.85,13.10,13.35,21800,13.35
2015-06-18,14.05,14.05,13.60,13.70,15300,13.70
2015-06-17,13.90,14.20,13.25,13.80,72500,13.80
2015-06-16,14.55,14.90,13.20,13.65,226700,13.65
2015-06-15,11.60,13.50,11.60,13.50,126500,13.50
2015-06-12,12.00,12.00,11.20,11.25,25100,11.25
2015-06-11,12.20,12.20,11.70,11.85,19900,11.85
2015-06-10,12.25,12.45,11.90,12.05,35100,12.05
2015-06-09,13.00,13.10,11.90,12.05,42500,12.05
2015-06-08,13.40,13.40,12.95,13.15,16100,13.15
2015-06-05,13.00,13.50,12.70,13.20,11400,13.20
2015-06-04,13.75,13.75,13.10,13.35,22600,13.35
2015-06-03,14.65,14.80,12.30,13.45,51700,13.45
2015-06-02,15.70,15.80,14.90,15.05,15900,15.05
2015-06-01,15.50,15.80,15.50,15.70,5400,15.70
2015-05-29,15.75,16.20,15.55,15.70,49600,15.70
2015-05-28,16.30,16.40,15.90,16.00,12300,16.00
2015-05-27,16.45,16.65,15.80,16.45,16400,16.45
2015-05-26,16.10,16.20,15.95,16.00,4100,16.00
2015-05-25,16.10,16.35,16.00,16.20,4600,16.20
2015-05-22,15.75,16.00,15.75,15.90,19500,15.90
2015-05-21,16.20,16.25,15.85,15.85,6700,15.85
2015-05-20,16.00,16.50,16.00,16.15,6700,16.15
2015-05-19,16.00,16.50,15.45,16.20,30100,16.20
2015-05-18,16.10,16.55,16.10,16.35,7300,16.35
2015-05-15,16.55,16.65,16.10,16.25,10300,16.25
2015-05-14,16.20,16.50,15.85,16.40,17900,16.40
2015-05-13,16.45,16.50,15.95,16.05,9300,16.05
2015-05-12,16.50,16.60,16.00,16.10,12700,16.10
2015-05-11,16.65,16.75,16.15,16.45,11700,16.45
2015-05-08,16.50,16.70,16.30,16.45,21600,16.45
2015-05-07,16.40,16.80,13.50,16.10,29000,16.10
2015-05-06,17.50,17.50,16.45,16.60,22100,16.60
2015-05-05,17.50,17.60,17.15,17.25,21800,17.25
2015-05-04,17.00,17.55,17.00,17.40,21200,17.40
2015-05-01,17.05,17.05,17.05,17.05,000,17.05
2015-04-30,16.85,17.50,16.70,17.05,11700,17.05
2015-04-29,17.45,17.45,17.00,17.15,23400,17.15
2015-04-28,16.50,17.20,16.35,17.00,29400,17.00
2015-04-27,17.30,17.30,16.50,16.90,34100,16.90
2015-04-24,17.85,18.00,17.25,17.45,29300,17.45
2015-04-23,18.10,18.35,17.85,18.00,5900,18.00
2015-04-22,18.45,18.50,17.50,17.85,23000,17.85
2015-04-21,18.00,18.40,17.45,18.00,20900,18.00
2015-04-20,19.40,19.40,17.90,18.05,28200,18.05
2015-04-17,18.80,19.30,18.50,18.90,16700,18.90
2015-04-16,19.90,20.00,18.95,19.10,39200,19.10
2015-04-15,20.60,20.80,19.60,19.85,37900,19.85
2015-04-14,20.45,20.45,20.45,20.45,000,20.45
2015-04-13,19.40,20.50,19.40,20.45,50600,20.45
2015-04-10,19.20,19.80,19.00,19.55,63300,19.55
2015-04-09,19.60,19.90,19.15,19.45,52400,19.45
2015-04-08,19.10,19.90,19.00,19.50,74900,19.50
2015-04-07,18.25,19.00,18.15,18.90,100300,18.90
2015-04-06,17.55,18.75,17.40,18.35,88100,18.35
2015-04-03,17.40,17.40,17.40,17.40,000,17.40
2015-04-02,17.40,17.40,17.40,17.40,000,17.40
2015-04-01,16.40,17.60,16.40,17.40,64100,17.40
2015-03-31,17.25,17.65,15.95,16.15,205400,16.15
2015-03-30,17.00,17.90,16.90,17.05,118300,17.05
2015-03-27,17.45,17.50,16.70,16.85,52400,16.85
2015-03-26,17.80,17.80,17.00,17.20,108200,17.20
2015-03-25,18.15,18.35,17.40,17.65,52400,17.65
2015-03-24,18.00,18.40,17.95,18.05,47600,18.05
2015-03-23,19.10,19.10,17.70,17.85,65300,17.85
2015-03-20,20.00,20.00,18.65,18.85,68700,18.85
2015-03-19,20.50,21.20,20.10,20.25,39600,20.25
2015-03-18,21.20,21.45,20.45,20.55,51100,20.55
2015-03-17,21.60,21.90,21.10,21.20,62100,21.20
2015-03-16,21.85,21.85,20.90,21.35,42600,21.35
2015-03-13,23.50,23.50,21.75,21.85,72000,21.85
2015-03-12,22.65,23.30,22.65,22.95,38800,22.95
2015-03-11,23.25,23.50,22.70,22.85,41300,22.85
