Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,41.40,41.40,38.00,39.00,2500,39.00
2015-07-16,38.00,42.80,38.00,40.05,3600,40.05
2015-07-15,36.30,39.40,36.10,39.00,1700,39.00
2015-07-14,34.25,34.35,34.25,34.35,200,34.35
2015-07-13,34.50,34.95,33.50,33.50,1500,33.50
2015-07-10,35.45,35.45,34.55,35.00,1700,35.00
2015-07-09,36.00,36.00,36.00,36.00,300,36.00
2015-07-08,36.60,36.60,36.60,36.60,000,36.60
2015-07-07,34.05,36.60,34.05,36.60,400,36.60
2015-07-06,33.35,36.75,33.35,36.50,200,36.50
2015-07-03,34.00,36.85,33.05,36.85,100,36.85
2015-07-02,34.00,37.00,34.00,37.00,200,37.00
2015-07-01,34.70,34.95,33.70,34.95,1100,34.95
2015-06-30,33.05,34.80,33.05,34.80,200,34.80
2015-06-29,36.05,36.05,34.90,34.90,1000,34.90
2015-06-26,33.00,35.25,33.00,35.00,000,35.00
2015-06-25,34.40,34.40,34.40,34.40,000,34.40
2015-06-24,34.75,34.75,33.10,33.20,1000,33.20
2015-06-23,33.90,33.90,33.90,33.90,000,33.90
2015-06-22,32.35,33.90,32.35,33.90,000,33.90
2015-06-19,33.00,33.00,33.00,33.00,000,33.00
2015-06-18,34.00,35.35,32.00,33.00,100,33.00
2015-06-17,33.00,33.00,31.40,32.60,1100,32.60
2015-06-16,34.70,34.70,34.70,34.70,000,34.70
2015-06-15,32.85,32.85,32.85,32.85,000,32.85
2015-06-12,32.05,33.50,31.80,32.85,800,32.85
2015-06-11,35.00,35.30,32.50,34.80,1000,34.80
2015-06-10,34.05,36.75,33.50,33.60,1700,33.60
2015-06-09,28.05,35.80,27.80,34.00,7400,34.00
2015-06-08,34.00,34.00,32.85,32.85,000,32.85
2015-06-05,31.60,31.60,31.60,31.60,200,31.60
2015-06-04,32.00,32.00,31.10,31.60,400,31.60
2015-06-03,34.25,34.25,31.05,33.15,1100,33.15
2015-06-02,37.00,37.00,37.00,37.00,000,37.00
2015-06-01,37.25,37.25,35.10,36.90,200,36.90
2015-05-29,37.25,37.25,37.25,37.25,000,37.25
2015-05-28,37.60,37.60,33.65,37.25,300,37.25
2015-05-27,34.10,35.25,34.00,34.80,2300,34.80
2015-05-26,37.40,37.40,37.40,37.40,000,37.40
2015-05-25,37.40,37.40,37.40,37.40,000,37.40
2015-05-22,38.70,38.70,36.00,37.40,200,37.40
2015-05-21,37.00,39.00,36.30,36.35,400,36.35
2015-05-20,38.55,38.55,36.00,36.55,3000,36.55
2015-05-19,36.00,36.00,33.25,33.70,200,33.70
2015-05-18,34.60,34.60,34.55,34.55,100,34.55
2015-05-15,38.40,38.40,38.40,38.40,300,38.40
2015-05-14,33.70,33.70,33.70,33.70,000,33.70
2015-05-13,33.80,33.80,33.60,33.70,200,33.70
2015-05-12,36.00,36.00,34.05,35.70,800,35.70
2015-05-11,34.60,35.60,34.60,35.50,400,35.50
2015-05-08,35.00,35.55,34.90,35.55,900,35.55
2015-05-07,36.10,36.10,31.10,33.10,800,33.10
2015-05-06,37.95,39.00,36.00,36.10,1000,36.10
2015-05-05,35.25,40.25,35.25,37.00,2700,37.00
2015-05-04,40.65,40.65,40.65,40.65,000,40.65
2015-05-01,37.60,37.60,37.60,37.60,000,37.60
2015-04-30,34.30,37.90,34.30,37.60,800,37.60
2015-04-29,37.05,37.05,36.90,37.00,500,37.00
2015-04-28,35.75,36.10,35.75,36.10,800,36.10
2015-04-27,35.20,39.95,35.20,36.30,900,36.30
2015-04-24,41.25,41.25,41.25,41.25,000,41.25
2015-04-23,41.25,41.25,41.25,41.25,000,41.25
2015-04-22,41.25,41.25,41.25,41.25,000,41.25
2015-04-21,41.60,41.60,38.25,41.25,000,41.25
2015-04-20,38.50,38.50,38.50,38.50,000,38.50
2015-04-17,39.00,40.00,38.30,38.50,6200,38.50
2015-04-16,37.05,38.95,37.05,38.25,500,38.25
2015-04-15,39.00,41.00,38.75,39.05,700,39.05
2015-04-14,37.55,37.55,37.55,37.55,000,37.55
2015-04-13,38.45,38.45,37.00,37.55,100,37.55
2015-04-10,38.10,39.70,38.10,39.65,5100,39.65
2015-04-09,37.85,39.00,36.00,37.00,1200,37.00
2015-04-08,42.00,42.00,38.60,38.60,100,38.60
2015-04-07,45.50,45.50,38.05,39.00,700,39.00
2015-04-06,38.05,40.40,38.00,38.10,300,38.10
2015-04-03,38.80,38.80,38.80,38.80,000,38.80
2015-04-02,38.80,38.80,38.80,38.80,000,38.80
2015-04-01,39.90,39.90,38.00,38.80,700,38.80
2015-03-31,31.55,39.95,31.55,37.95,1400,37.95
2015-03-30,39.85,39.85,36.00,38.95,27500,38.95
2015-03-27,32.10,43.50,32.10,36.20,4600,36.20
