Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,36.85,39.30,36.50,37.70,99400,37.70
2015-07-16,36.90,37.45,36.75,37.05,31600,37.05
2015-07-15,37.00,37.40,36.45,36.55,33200,36.55
2015-07-14,36.40,37.00,36.30,36.60,19700,36.60
2015-07-13,37.20,37.50,36.10,36.55,33700,36.55
2015-07-10,37.65,38.00,36.75,36.95,50100,36.95
2015-07-09,36.90,37.70,36.00,36.95,51100,36.95
2015-07-08,36.65,38.10,35.80,37.00,259400,37.00
2015-07-07,35.95,36.00,35.25,35.50,37700,35.50
2015-07-06,34.55,35.50,34.00,35.20,30500,35.20
2015-07-03,35.50,35.90,34.95,35.10,19600,35.10
2015-07-02,35.40,36.20,35.15,35.40,25600,35.40
2015-07-01,34.35,35.80,34.35,35.15,32600,35.15
2015-06-30,33.65,34.30,33.40,34.05,18600,34.05
2015-06-29,33.10,33.65,32.80,33.35,21500,33.35
2015-06-26,34.25,35.00,34.15,34.30,31900,34.30
2015-06-25,34.90,35.20,34.10,34.55,43400,34.55
2015-06-24,35.40,35.45,34.20,34.55,36100,34.55
2015-06-23,34.60,35.80,34.35,35.10,42600,35.10
2015-06-22,35.00,35.40,33.70,34.50,59600,34.50
2015-06-19,35.80,36.40,33.20,34.10,81800,34.10
2015-06-18,35.70,35.70,34.25,35.10,56500,35.10
2015-06-17,34.20,36.50,33.30,34.75,275600,34.75
2015-06-16,35.60,36.00,31.45,33.25,150900,33.25
2015-06-15,38.60,38.70,35.00,35.30,126200,35.30
2015-06-12,42.00,42.35,37.55,38.55,120000,38.55
2015-06-11,43.90,44.40,42.20,42.55,8300,42.55
2015-06-10,43.30,44.50,43.00,43.50,20000,43.50
2015-06-09,44.60,45.00,43.20,43.40,15200,43.40
2015-06-08,45.80,47.55,45.00,45.70,80100,45.70
2015-06-05,41.95,46.80,41.10,43.55,30200,43.55
2015-06-04,41.15,43.45,41.15,42.95,18000,42.95
2015-06-03,43.00,44.20,40.80,41.55,24600,41.55
2015-06-02,46.00,46.60,43.60,43.80,35800,43.80
2015-06-01,48.00,48.00,46.10,46.25,39300,46.25
2015-05-29,48.00,48.70,47.70,48.15,12900,48.15
2015-05-28,48.95,49.35,48.00,48.00,15600,48.00
2015-05-27,49.00,50.00,47.90,48.95,15800,48.95
2015-05-26,50.20,50.60,49.00,49.45,15000,49.45
2015-05-25,52.25,52.25,50.10,50.40,32200,50.40
2015-05-22,54.60,55.40,52.10,52.65,292000,52.65
2015-05-21,48.15,54.50,47.90,54.00,226900,54.00
2015-05-20,48.15,49.95,47.10,47.75,57900,47.75
2015-05-19,49.10,50.00,48.75,49.50,34100,49.50
2015-05-18,48.90,48.90,47.70,48.15,5600,48.15
2015-05-15,48.00,49.50,47.80,48.05,16100,48.05
2015-05-14,47.85,48.25,47.50,48.20,6700,48.20
2015-05-13,47.60,48.10,47.05,47.25,8600,47.25
2015-05-12,48.40,48.40,47.20,47.40,6300,47.40
2015-05-11,47.90,49.90,47.90,48.75,29900,48.75
2015-05-08,47.90,48.00,46.55,47.10,10000,47.10
2015-05-07,47.50,48.00,46.00,46.75,14800,46.75
2015-05-06,50.15,51.00,47.60,47.95,38600,47.95
2015-05-05,49.90,51.70,49.60,50.95,50700,50.95
2015-05-04,48.90,50.70,48.90,49.80,22500,49.80
2015-05-01,48.35,48.35,48.35,48.35,000,48.35
2015-04-30,48.30,49.40,48.15,48.35,25800,48.35
2015-04-29,49.25,50.30,49.00,49.25,18600,49.25
2015-04-28,49.05,49.90,48.00,49.25,24400,49.25
2015-04-27,52.00,52.00,48.30,49.05,41800,49.05
2015-04-24,54.80,54.80,51.50,52.10,189200,52.10
2015-04-23,49.75,53.40,49.75,52.80,87900,52.80
2015-04-22,50.60,50.60,48.75,49.55,9800,49.55
2015-04-21,50.65,52.00,49.70,49.90,28400,49.90
2015-04-20,53.00,53.00,50.15,50.45,47900,50.45
2015-04-17,50.60,52.50,50.00,50.40,52700,50.40
2015-04-16,53.00,53.00,50.20,50.50,37600,50.50
2015-04-15,54.70,54.70,51.50,52.05,36100,52.05
2015-04-14,53.65,53.65,53.65,53.65,000,53.65
2015-04-13,54.00,54.65,53.05,53.65,66100,53.65
2015-04-10,52.85,53.30,51.05,52.55,53800,52.55
2015-04-09,51.60,52.50,50.70,51.05,52800,51.05
2015-04-08,52.35,53.00,50.80,51.45,52500,51.45
2015-04-07,50.95,52.40,50.00,51.35,91900,51.35
2015-04-06,49.30,51.00,48.65,50.15,75000,50.15
2015-04-03,49.00,49.00,49.00,49.00,000,49.00
2015-04-02,49.00,49.00,49.00,49.00,000,49.00
2015-04-01,45.80,50.20,45.45,49.00,60800,49.00
2015-03-31,44.35,46.50,44.35,45.40,41400,45.40
2015-03-30,44.00,45.80,43.00,44.85,55800,44.85
2015-03-27,46.00,47.10,40.65,41.75,101900,41.75
2015-03-26,45.00,47.00,44.50,45.95,91200,45.95
2015-03-25,48.50,48.75,45.25,45.60,48000,45.60
2015-03-24,50.55,50.75,47.50,47.95,55200,47.95
2015-03-23,53.00,53.55,50.30,50.70,32700,50.70
2015-03-20,55.00,56.80,52.80,53.50,69900,53.50
2015-03-19,56.90,58.30,55.25,55.75,30600,55.75
2015-03-18,57.50,57.75,56.50,56.75,28300,56.75
2015-03-17,59.10,59.15,56.00,56.60,53300,56.60
2015-03-16,61.50,61.55,57.00,58.10,78600,58.10
2015-03-13,64.80,65.00,61.25,61.80,66100,61.80
2015-03-12,65.55,67.40,64.00,64.45,537900,64.45
2015-03-11,60.50,68.00,58.90,63.10,379500,63.10
2015-03-10,60.75,60.90,59.30,59.70,8000,59.70
2015-03-09,61.80,61.80,59.50,60.05,25300,60.05
2015-03-06,61.00,61.00,61.00,61.00,000,61.00
2015-03-05,61.30,63.00,60.85,61.00,35100,61.00
2015-03-04,65.50,65.50,61.00,61.20,38700,61.20
2015-03-03,62.40,65.40,62.40,63.20,40400,63.20
2015-03-02,62.55,63.15,62.00,62.35,14100,62.35
2015-02-27,62.05,63.75,62.00,63.35,31500,63.35
2015-02-26,62.10,62.40,61.20,61.80,20000,61.80
2015-02-25,62.85,63.10,62.00,62.30,17800,62.30
2015-02-24,63.50,63.95,62.10,62.20,9500,62.20
2015-02-23,64.05,65.60,62.80,63.40,27400,63.40
2015-02-20,65.85,65.85,63.35,63.90,28400,63.90
2015-02-19,62.50,66.70,62.50,65.60,100700,65.60
2015-02-18,63.00,64.75,61.55,62.75,20800,62.75
2015-02-17,62.35,62.35,62.35,62.35,000,62.35
2015-02-16,63.15,63.15,62.10,62.35,10400,62.35
2015-02-13,61.85,63.50,61.25,62.15,19700,62.15
2015-02-12,62.50,63.35,61.35,62.20,43400,62.20
2015-02-11,60.80,62.60,60.65,61.95,38600,61.95
2015-02-10,60.70,62.00,60.25,60.60,34600,60.60
2015-02-09,62.60,62.60,60.30,60.65,25100,60.65
2015-02-06,64.75,65.50,61.35,63.65,87400,63.65
2015-02-05,65.30,66.10,64.40,64.65,30800,64.65
2015-02-04,66.10,66.10,64.05,64.55,19800,64.55
2015-02-03,64.60,67.45,64.25,65.90,45200,65.90
2015-02-02,66.85,66.85,64.50,64.85,15600,64.85
2015-01-30,65.10,66.60,64.45,65.05,19100,65.05
2015-01-29,65.70,65.70,64.20,64.60,24500,64.60
2015-01-28,65.70,67.25,65.10,65.30,25200,65.30
2015-01-27,67.05,67.75,65.75,66.20,21000,66.20
2015-01-26,67.80,67.80,67.80,67.80,000,67.80
2015-01-23,69.80,70.10,67.15,67.80,22600,67.80
2015-01-22,71.00,71.00,67.55,68.30,45800,68.30
2015-01-21,74.90,74.90,70.25,70.90,237500,70.90
2015-01-20,63.75,71.60,63.40,70.95,226400,70.95
2015-01-19,64.00,64.00,62.75,63.20,5100,63.20
2015-01-16,63.30,64.50,62.80,62.95,11700,62.95
2015-01-15,63.70,64.25,62.40,63.80,8500,63.80
2015-01-14,64.00,64.10,62.70,63.05,7400,63.05
2015-01-13,64.00,64.90,62.80,63.95,18300,63.95
2015-01-12,63.75,65.05,63.10,63.75,10700,63.75
2015-01-09,64.80,64.85,62.10,63.75,17100,63.75
2015-01-08,64.05,64.75,63.65,63.95,11100,63.95
2015-01-07,63.70,64.40,62.90,63.25,10900,63.25
2015-01-06,66.10,66.10,63.35,63.65,16900,63.65
2015-01-05,66.65,67.70,65.60,66.10,14000,66.10
2015-01-02,66.75,67.75,65.60,66.10,23200,66.10
2015-01-01,64.60,67.50,64.60,66.20,18700,66.20
2014-12-31,65.05,65.35,63.70,64.80,16100,64.80
2014-12-30,64.90,65.50,64.75,65.05,7200,65.05
2014-12-29,64.45,65.80,64.20,64.75,19400,64.75
2014-12-26,64.55,64.85,63.45,63.75,9700,63.75
2014-12-25,64.20,64.20,64.20,64.20,000,64.20
2014-12-24,63.60,64.90,63.30,64.20,12600,64.20
2014-12-23,64.25,65.30,63.10,63.75,20700,63.75
2014-12-22,65.50,65.60,63.50,64.20,17700,64.20
2014-12-19,65.50,67.50,64.00,64.85,25100,64.85
2014-12-18,64.00,66.30,64.00,64.85,28200,64.85
2014-12-17,63.45,64.40,61.30,62.65,18700,62.65
2014-12-16,66.50,66.60,62.60,63.10,29800,63.10
2014-12-15,67.10,68.55,65.50,66.00,37600,66.00
2014-12-12,69.80,70.00,67.80,68.30,33500,68.30
2014-12-11,70.00,70.50,68.35,68.70,12500,68.70
2014-12-10,69.65,71.80,69.40,69.85,34600,69.85
2014-12-09,70.00,71.10,69.50,69.80,26700,69.80
2014-12-08,73.00,73.65,70.05,70.75,29900,70.75
2014-12-05,73.00,74.00,72.60,73.15,29900,73.15
2014-12-04,75.65,77.45,72.10,72.40,126600,72.40
2014-12-03,69.45,76.75,68.70,75.65,133200,75.65
2014-12-02,69.05,69.95,67.65,68.00,22200,68.00
2014-12-01,71.00,71.00,69.00,69.25,17700,69.25
2014-11-28,70.65,72.00,69.80,70.30,25600,70.30
2014-11-27,71.00,71.50,70.10,70.40,19500,70.40
2014-11-26,69.45,71.85,69.00,71.00,42000,71.00
2014-11-25,73.80,73.80,69.20,69.85,56000,69.85
2014-11-24,71.00,74.10,69.90,72.60,156900,72.60
2014-11-21,69.50,70.45,69.00,69.10,15400,69.10
2014-11-20,70.10,70.30,68.10,68.85,9300,68.85
2014-11-19,72.55,72.55,69.55,69.85,55400,69.85
2014-11-18,71.60,72.90,71.25,71.50,35300,71.50
2014-11-17,71.80,72.50,70.95,71.35,27400,71.35
2014-11-14,72.00,73.60,71.50,71.75,31900,71.75
2014-11-13,72.80,73.50,71.45,71.65,51500,71.65
2014-11-12,72.80,73.15,72.00,72.30,24900,72.30
2014-11-11,74.40,74.40,71.60,72.15,45000,72.15
2014-11-10,73.95,74.25,72.60,73.00,10800,73.00
2014-11-07,74.00,74.90,73.30,73.60,19900,73.60
2014-11-06,74.15,74.15,74.15,74.15,000,74.15
2014-11-05,75.15,75.80,74.00,74.15,31800,74.15
2014-11-04,74.75,74.75,74.75,74.75,000,74.75
2014-11-03,74.95,76.00,74.30,74.75,38400,74.75
2014-10-31,72.95,75.30,72.95,73.65,31200,73.65
2014-10-30,74.00,75.50,72.65,73.20,69200,73.20
2014-10-29,71.00,75.40,70.60,73.60,88200,73.60
2014-10-28,70.40,71.50,70.10,70.75,19900,70.75
2014-10-27,71.85,72.00,69.00,69.45,16000,69.45
2014-10-24,70.95,70.95,70.95,70.95,000,70.95
2014-10-23,70.95,70.95,70.95,70.95,000,70.95
2014-10-22,71.70,71.90,70.70,70.95,9700,70.95
2014-10-21,71.00,72.25,69.30,70.10,46100,70.10
2014-10-20,70.80,71.25,70.00,70.30,23700,70.30
2014-10-17,68.60,69.90,68.20,68.95,19700,68.95
2014-10-16,71.05,72.45,67.20,67.95,35700,67.95
2014-10-15,71.70,71.70,71.70,71.70,000,71.70
2014-10-14,72.35,72.60,71.15,71.70,19200,71.70
2014-10-13,69.95,72.15,69.95,71.85,21300,71.85
2014-10-10,71.50,72.50,70.10,70.55,21200,70.55
2014-10-09,72.40,73.55,72.40,72.80,18500,72.80
2014-10-08,72.05,72.75,70.80,71.25,25000,71.25
2014-10-07,73.90,75.00,70.75,71.35,33000,71.35
2014-10-06,73.25,73.25,73.25,73.25,000,73.25
2014-10-03,73.25,73.25,73.25,73.25,000,73.25
2014-10-02,73.25,73.25,73.25,73.25,000,73.25
2014-10-01,73.40,74.60,72.75,73.25,23000,73.25
2014-09-30,73.00,75.65,72.65,74.25,23200,74.25
2014-09-29,73.80,75.35,71.85,73.00,33400,73.00
2014-09-26,72.00,74.50,71.45,73.20,39300,73.20
2014-09-25,75.70,76.25,72.00,72.85,44900,72.85
2014-09-24,77.80,77.90,73.95,74.35,53900,74.35
2014-09-23,80.10,81.45,77.25,77.80,81700,77.80
2014-09-22,79.50,81.90,78.70,79.75,51500,79.75
2014-09-19,82.00,83.25,79.30,79.95,80400,79.95
2014-09-18,80.90,83.40,80.00,81.35,179200,81.35
2014-09-17,84.40,85.50,80.20,81.00,582600,81.00
2014-09-16,77.00,81.50,76.70,80.45,200800,80.45
2014-09-15,78.70,80.25,76.10,77.05,99300,77.05
2014-09-12,77.95,81.00,77.00,78.75,110200,78.75
2014-09-11,79.35,79.35,77.05,77.45,36300,77.45
2014-09-10,73.95,79.20,73.95,77.70,107200,77.70
2014-09-09,74.50,77.00,74.00,74.75,32200,74.75
2014-09-08,74.70,75.20,73.50,73.95,26300,73.95
2014-09-05,74.75,75.00,72.70,73.90,62600,73.90
2014-09-04,75.25,75.30,73.70,73.95,15500,73.95
2014-09-03,75.80,77.10,75.20,75.35,25900,75.35
2014-09-02,75.80,76.75,74.80,75.15,22700,75.15
2014-09-01,74.95,76.65,73.85,75.10,49300,75.10
2014-08-29,76.50,76.50,76.50,76.50,000,76.50
2014-08-28,73.85,79.75,73.35,76.50,76600,76.50
2014-08-27,75.40,75.45,73.15,73.60,18300,73.60
2014-08-26,75.50,75.50,73.75,74.15,30300,74.15
2014-08-25,79.00,79.60,75.00,75.75,27900,75.75
2014-08-22,80.50,81.05,78.50,78.85,31700,78.85
2014-08-21,82.00,83.25,79.10,80.00,92000,80.00
2014-08-20,81.00,84.45,78.70,81.40,109500,81.40
2014-08-19,81.50,82.40,80.30,81.10,174800,81.10
2014-08-18,73.00,79.50,72.75,78.65,68400,78.65
2014-08-15,72.85,72.85,72.85,72.85,000,72.85
2014-08-14,73.20,74.50,72.15,72.85,28800,72.85
2014-08-13,75.90,76.10,72.10,72.90,20200,72.90
2014-08-12,76.90,77.30,75.20,75.95,16300,75.95
2014-08-11,76.00,77.80,75.20,75.75,32000,75.75
2014-08-08,74.90,75.50,72.75,73.25,25800,73.25
2014-08-07,77.75,78.80,76.00,76.35,23600,76.35
2014-08-06,76.50,77.90,76.00,76.70,18700,76.70
2014-08-05,77.00,77.35,75.50,76.85,19900,76.85
2014-08-04,75.70,77.35,75.10,76.80,21500,76.80
2014-08-01,76.00,78.00,74.20,74.55,56900,74.55
2014-07-31,76.50,77.90,75.70,75.95,25800,75.95
2014-07-30,76.75,77.40,75.00,75.95,31000,75.95
2014-07-29,76.75,76.75,76.75,76.75,000,76.75
2014-07-28,79.25,79.60,76.00,76.75,41200,76.75
2014-07-25,83.70,83.85,78.55,79.05,83500,79.05
2014-07-24,80.50,85.00,79.00,82.95,219000,82.95
2014-07-23,80.80,82.70,79.40,79.85,72700,79.85
2014-07-22,79.80,81.85,79.00,79.50,52500,79.50
2014-07-21,80.00,82.40,78.25,78.95,50000,78.95
2014-07-18,81.00,83.40,79.15,79.95,116000,79.95
2014-07-17,75.95,83.80,75.85,83.15,209400,83.15
2014-07-16,74.00,75.80,74.00,75.35,22000,75.35
2014-07-15,73.50,74.50,72.80,73.90,24700,73.90
2014-07-14,73.25,73.80,71.00,72.20,31300,72.20
2014-07-11,75.60,77.80,71.70,72.25,46600,72.25
2014-07-10,75.50,78.15,72.20,75.90,91100,75.90
2014-07-09,78.00,79.65,73.15,75.30,82700,75.30
2014-07-08,86.50,87.80,71.70,77.00,95500,77.00
2014-07-07,86.35,87.50,84.80,85.65,88600,85.65
2014-07-04,87.00,90.00,85.90,86.50,246800,86.50
2014-07-03,87.30,88.95,85.95,86.45,32000,86.45
2014-07-02,89.50,91.75,86.60,87.30,547000,87.30
2014-07-01,80.95,86.65,80.60,85.85,169700,85.85
2014-06-30,80.70,81.00,79.25,79.70,16700,79.70
2014-06-27,80.70,81.15,78.30,79.15,48200,79.15
2014-06-26,82.00,83.65,80.10,80.55,45100,80.55
2014-06-25,78.80,84.20,77.75,81.00,144000,81.00
