Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,48.90,48.90,48.90,48.90,000,48.90
2015-07-16,48.00,48.90,48.00,48.90,400,48.90
2015-07-15,49.50,49.50,49.50,49.50,000,49.50
2015-07-14,48.00,49.50,48.00,49.50,100,49.50
2015-07-13,50.10,51.80,48.00,48.85,300,48.85
2015-07-10,48.80,48.80,48.30,48.35,700,48.35
2015-07-09,51.00,51.00,48.75,50.30,300,50.30
2015-07-08,49.55,49.55,48.75,49.15,300,49.15
2015-07-07,49.95,51.70,49.30,50.05,2000,50.05
2015-07-06,49.25,50.00,49.25,50.00,200,50.00
2015-07-03,52.30,52.30,48.00,48.70,1700,48.70
2015-07-02,47.00,55.55,47.00,52.25,19800,52.25
2015-07-01,39.90,47.20,39.90,47.20,16600,47.20
2015-06-30,39.90,39.90,38.50,39.35,1700,39.35
2015-06-29,42.00,42.00,37.20,38.00,5800,38.00
2015-06-26,40.10,40.50,39.85,40.00,1100,40.00
2015-06-25,39.40,41.00,38.00,40.20,600,40.20
2015-06-24,39.00,39.00,37.60,37.80,200,37.80
2015-06-23,35.00,37.00,34.20,36.75,200,36.75
2015-06-22,36.40,36.40,34.00,34.20,000,34.20
2015-06-19,35.00,36.20,35.00,35.00,000,35.00
2015-06-18,36.30,36.30,35.50,35.90,000,35.90
2015-06-17,38.30,38.30,34.00,36.80,1600,36.80
2015-06-16,37.00,39.00,36.80,37.60,000,37.60
2015-06-15,35.90,36.30,35.45,36.30,000,36.30
2015-06-12,37.40,37.40,35.10,35.75,600,35.75
2015-06-11,37.40,37.40,34.00,35.95,3000,35.95
2015-06-10,41.00,41.50,36.65,37.75,20500,37.75
2015-06-09,36.90,37.80,36.90,37.30,000,37.30
2015-06-08,37.00,37.70,35.25,36.60,800,36.60
2015-06-05,39.85,39.85,37.05,38.20,800,38.20
2015-06-04,38.60,38.60,38.60,38.60,000,38.60
2015-06-03,39.10,39.10,36.40,38.60,100,38.60
2015-06-02,40.00,40.00,40.00,40.00,000,40.00
2015-06-01,40.70,40.70,40.50,40.50,000,40.50
2015-05-29,41.20,41.20,40.95,40.95,000,40.95
2015-05-28,41.45,41.45,41.45,41.45,000,41.45
2015-05-27,41.45,41.45,41.45,41.45,000,41.45
2015-05-26,39.10,41.05,39.10,40.45,100,40.45
2015-05-25,40.70,41.20,40.20,41.20,000,41.20
2015-05-22,41.50,41.50,40.05,40.20,400,40.20
2015-05-21,39.60,43.90,39.60,42.05,000,42.05
2015-05-20,42.35,42.35,42.35,42.35,000,42.35
2015-05-19,40.10,42.50,38.75,42.35,600,42.35
2015-05-18,40.00,40.10,39.00,39.55,300,39.55
2015-05-15,41.00,41.00,39.90,39.90,000,39.90
2015-05-14,41.00,41.00,39.30,40.60,100,40.60
2015-05-13,39.70,41.40,37.30,38.20,300,38.20
2015-05-12,41.50,41.50,41.50,41.50,000,41.50
2015-05-11,40.50,41.50,38.65,41.50,000,41.50
2015-05-08,40.00,40.00,40.00,40.00,000,40.00
2015-05-07,40.05,40.80,39.20,39.25,3000,39.25
2015-05-06,39.70,39.70,39.70,39.70,000,39.70
2015-05-05,39.85,44.40,39.50,40.25,2000,40.25
2015-05-04,40.15,40.15,40.15,40.15,000,40.15
2015-05-01,40.15,40.15,40.15,40.15,000,40.15
2015-04-30,41.30,41.30,39.40,40.15,600,40.15
2015-04-29,41.00,41.00,39.70,39.70,000,39.70
2015-04-28,41.25,42.00,41.00,41.00,600,41.00
2015-04-27,42.00,42.70,40.00,40.95,200,40.95
2015-04-24,42.75,44.80,42.00,44.80,100,44.80
2015-04-23,47.00,47.00,43.00,43.25,000,43.25
2015-04-22,47.50,47.50,42.75,42.75,2000,42.75
2015-04-21,44.00,44.05,44.00,44.00,200,44.00
2015-04-20,43.65,45.50,43.55,45.00,300,45.00
2015-04-17,45.50,45.50,44.90,44.90,000,44.90
2015-04-16,47.00,47.00,47.00,47.00,000,47.00
2015-04-15,46.00,47.50,45.95,47.00,400,47.00
2015-04-14,47.40,47.40,47.40,47.40,000,47.40
2015-04-13,43.40,48.00,43.40,47.40,500,47.40
2015-04-10,41.80,44.10,41.80,42.85,000,42.85
2015-04-09,41.70,41.70,41.70,41.70,000,41.70
2015-04-08,42.05,42.55,41.05,41.70,4800,41.70
2015-04-07,40.60,42.75,40.00,42.10,400,42.10
2015-04-06,40.40,41.90,38.00,41.00,700,41.00
2015-04-03,40.70,40.70,40.70,40.70,000,40.70
2015-04-02,40.70,40.70,40.70,40.70,000,40.70
2015-04-01,42.30,42.30,36.30,40.70,1000,40.70
2015-03-31,38.10,38.10,38.10,38.10,000,38.10
2015-03-30,37.30,42.40,37.25,38.10,600,38.10
2015-03-27,39.25,40.50,36.25,37.30,10100,37.30
2015-03-26,40.50,41.35,38.10,39.00,100,39.00
2015-03-25,40.20,41.70,39.00,41.45,000,41.45
2015-03-24,42.15,42.40,40.00,40.00,8200,40.00
2015-03-23,42.20,43.40,40.20,40.25,20800,40.25
2015-03-20,43.15,44.30,42.50,42.95,15400,42.95
2015-03-19,44.05,45.05,43.80,44.00,10300,44.00
2015-03-18,43.50,44.20,43.50,44.00,10000,44.00
2015-03-17,44.75,44.95,44.20,44.50,10000,44.50
2015-03-16,45.50,45.50,44.05,44.15,10800,44.15
2015-03-13,45.30,45.30,44.10,44.10,10700,44.10
2015-03-12,45.20,46.50,43.90,44.50,11200,44.50
2015-03-11,45.00,46.50,43.60,43.80,10100,43.80
2015-03-10,44.95,44.95,44.50,44.80,000,44.80
2015-03-09,44.90,44.90,44.40,44.40,000,44.40
2015-03-06,44.50,44.50,44.50,44.50,000,44.50
2015-03-05,47.80,47.80,44.10,44.50,200,44.50
2015-03-04,45.20,45.90,44.10,45.90,000,45.90
2015-03-03,44.85,46.30,44.85,45.85,000,45.85
2015-03-02,44.90,47.00,43.80,47.00,400,47.00
2015-02-27,45.00,45.00,45.00,45.00,000,45.00
