Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2.30,2.30,2.30,2.30,300,2.30
2015-07-16,2.36,2.36,2.36,2.36,50000,2.36
2015-07-15,2.48,2.48,2.48,2.48,000,2.48
2015-07-14,2.56,2.59,2.47,2.48,10000,2.48
2015-07-13,2.60,2.60,2.60,2.60,400,2.60
2015-07-10,2.60,2.60,2.60,2.60,1200,2.60
2015-07-09,2.73,2.73,2.73,2.73,000,2.73
2015-07-08,2.73,2.73,2.73,2.73,000,2.73
2015-07-07,2.47,2.73,2.47,2.73,3200,2.73
2015-07-06,2.60,2.60,2.60,2.60,1900,2.60
2015-07-03,2.65,2.65,2.60,2.60,2300,2.60
2015-07-02,2.45,2.62,2.45,2.62,3500,2.62
2015-07-01,2.50,2.50,2.50,2.50,000,2.50
2015-06-30,2.50,2.50,2.50,2.50,000,2.50
2015-06-29,2.50,2.50,2.50,2.50,000,2.50
2015-06-26,2.50,2.50,2.50,2.50,1500,2.50
2015-06-25,2.20,2.41,2.20,2.39,3100,2.39
2015-06-24,2.30,2.30,2.30,2.30,200,2.30
2015-06-23,2.40,2.40,2.40,2.40,600,2.40
2015-06-22,2.47,2.49,2.47,2.49,1200,2.49
2015-06-19,2.51,2.60,2.51,2.60,12700,2.60
2015-06-18,2.40,2.64,2.40,2.64,5800,2.64
2015-06-17,2.52,2.52,2.52,2.52,10500,2.52
2015-06-16,2.65,2.65,2.65,2.65,500,2.65
2015-06-15,2.78,2.78,2.78,2.78,000,2.78
2015-06-12,2.65,2.65,2.65,2.65,300,2.65
2015-06-11,2.75,2.75,2.75,2.75,000,2.75
2015-06-10,2.75,2.75,2.75,2.75,000,2.75
2015-06-09,2.75,2.75,2.75,2.75,000,2.75
2015-06-08,2.58,2.75,2.57,2.75,600,2.75
2015-06-05,2.66,2.70,2.66,2.70,700,2.70
2015-06-04,2.80,2.80,2.80,2.80,000,2.80
2015-06-03,2.80,2.80,2.80,2.80,000,2.80
2015-06-02,2.40,2.40,2.40,2.40,200,2.40
2015-06-01,2.80,2.80,2.80,2.80,000,2.80
2015-05-29,2.31,2.80,2.31,2.80,900,2.80
2015-05-28,2.62,2.84,2.62,2.84,1400,2.84
2015-05-27,3.18,3.18,3.18,3.18,000,3.18
2015-05-26,2.76,2.76,2.76,2.76,20700,2.76
2015-05-25,3.44,3.44,3.44,3.44,000,3.44
2015-05-22,3.44,3.44,3.44,3.44,000,3.44
2015-05-21,3.44,3.44,3.44,3.44,000,3.44
2015-05-20,3.44,3.44,3.44,3.44,000,3.44
2015-05-19,2.78,3.44,2.78,3.44,300,3.44
2015-05-18,3.48,3.48,3.48,3.47,1000,3.47
2015-05-15,2.43,3.23,2.43,3.23,3100,3.23
2015-05-14,2.50,2.78,2.50,2.78,7600,2.78
2015-05-13,2.31,2.32,2.31,2.32,29900,2.32
2015-05-12,2.88,2.88,2.88,2.88,000,2.88
2015-05-11,2.88,2.88,2.88,2.88,000,2.88
2015-05-08,2.88,2.88,2.88,2.88,000,2.88
2015-05-07,2.88,2.88,2.88,2.88,000,2.88
2015-05-06,2.88,2.88,2.88,2.88,400,2.88
2015-05-05,2.88,2.88,2.88,2.88,3600,2.88
2015-05-04,3.60,3.60,3.60,3.60,000,3.60
2015-05-01,3.60,3.60,3.60,3.60,000,3.60
2015-04-30,3.60,3.60,3.60,3.60,000,3.60
2015-04-29,2.96,3.60,2.96,3.60,55500,3.60
2015-04-28,3.70,3.70,3.70,3.70,000,3.70
2015-04-27,2.65,3.45,2.65,3.45,200,3.45
2015-04-24,3.15,3.15,3.05,3.05,1800,3.05
2015-04-23,2.75,2.75,2.75,2.75,400,2.75
2015-04-22,3.20,3.20,3.20,3.20,000,3.20
2015-04-21,3.20,3.20,3.20,3.20,000,3.20
2015-04-20,3.20,3.20,3.20,3.20,300,3.20
2015-04-17,3.00,3.00,3.00,3.00,000,3.00
2015-04-16,3.20,3.40,3.00,3.00,6300,3.00
2015-04-15,2.90,3.00,2.90,3.00,2000,3.00
2015-04-14,3.39,3.39,3.39,3.39,000,3.39
2015-04-13,2.40,3.39,2.40,3.39,300,3.39
2015-04-10,2.90,2.90,2.90,2.90,000,2.90
2015-04-09,2.85,2.99,2.85,2.90,10600,2.90
2015-04-08,2.80,3.37,2.80,3.30,3300,3.30
2015-04-07,3.40,3.40,3.40,3.40,000,3.40
2015-04-06,2.89,3.00,2.83,3.00,10800,3.00
2015-04-03,2.89,2.89,2.89,2.89,000,2.89
2015-04-02,2.89,2.89,2.89,2.89,000,2.89
2015-04-01,3.10,3.10,2.89,2.89,3100,2.89
2015-03-31,3.27,3.27,2.82,2.82,1100,2.82
2015-03-30,2.98,2.98,2.90,2.98,1500,2.98
2015-03-27,2.70,2.75,2.70,2.71,7000,2.71
2015-03-26,2.81,2.81,2.80,2.80,13100,2.80
2015-03-25,3.00,3.00,2.80,2.80,500,2.80
2015-03-24,3.00,3.05,3.00,3.00,2100,3.00
2015-03-23,3.10,3.34,3.10,3.33,500,3.33
2015-03-20,2.81,3.05,2.80,3.05,2000,3.05
2015-03-19,3.22,3.22,2.80,2.86,700,2.86
2015-03-18,2.72,2.95,2.72,2.93,1900,2.93
2015-03-17,3.03,3.03,2.74,2.74,8700,2.74
2015-03-16,3.28,3.30,3.02,3.04,1100,3.04
2015-03-13,3.00,3.24,3.00,3.24,4100,3.24
2015-03-12,2.84,3.35,2.84,3.00,1900,3.00
2015-03-11,3.05,3.05,3.05,3.05,1200,3.05
