Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,926.55,962.30,920.00,942.35,2300,937.85
2015-07-16,918.00,926.00,917.45,921.55,1400,917.15
2015-07-15,919.00,921.10,913.00,917.35,500,912.97
2015-07-14,914.30,925.00,899.30,908.65,300,904.31
2015-07-13,901.00,918.00,890.00,911.20,500,906.85
2015-07-10,916.25,921.35,898.85,913.80,600,909.44
2015-07-09,909.90,923.60,874.05,912.30,1000,907.94
2015-07-08,898.75,908.10,874.35,898.80,2400,894.51
2015-07-07,890.75,914.65,880.00,898.95,1100,894.66
2015-07-06,869.70,891.35,869.70,879.55,600,875.35
2015-07-03,896.45,901.30,884.70,889.00,500,884.75
2015-07-02,901.25,901.25,891.25,895.95,100,891.67
2015-07-01,905.00,906.55,897.00,901.00,1000,896.70
2015-06-30,904.90,924.95,891.50,897.10,900,892.82
2015-06-29,901.40,901.40,890.00,891.10,100,886.84
2015-06-26,925.10,925.10,913.10,914.20,700,909.83
2015-06-25,925.00,938.70,918.85,923.80,200,919.39
2015-06-24,925.80,951.00,913.55,925.90,900,921.48
2015-06-23,924.65,924.65,912.50,916.90,400,912.52
2015-06-22,913.05,927.00,908.55,923.10,600,918.69
2015-06-19,891.40,912.00,891.40,908.55,300,904.21
2015-06-18,895.55,905.00,890.45,892.00,900,887.74
2015-06-17,895.00,895.00,886.55,888.10,100,883.86
2015-06-16,889.00,891.05,885.50,887.05,200,882.81
2015-06-15,875.15,891.95,872.00,890.10,500,885.85
2015-06-12,874.10,885.00,867.25,883.45,900,879.23
2015-06-11,885.30,892.00,868.00,881.50,1200,877.29
2015-06-10,879.70,887.95,864.65,883.30,1400,879.08
2015-06-09,876.75,881.40,868.25,875.35,600,871.17
2015-06-08,891.00,891.00,865.40,876.00,400,871.82
2015-06-05,870.00,880.35,862.95,871.65,138700,867.49
2015-06-04,910.00,910.15,856.55,872.40,3000,868.23
2015-06-03,924.65,924.65,911.05,915.65,1500,911.28
2015-06-02,923.75,928.95,916.00,919.05,700,914.66
2015-06-01,936.75,938.35,927.00,927.00,400,922.57
2015-05-29,925.00,940.00,925.00,937.10,1400,932.63
2015-05-28,920.15,930.00,920.15,925.40,400,920.98
2015-05-27,924.15,927.10,914.20,920.50,500,916.10
2015-05-26,925.05,931.00,925.00,927.25,200,922.82
2015-05-25,930.90,934.85,928.20,932.45,100,928.00
2015-05-22,928.00,938.00,921.05,930.90,200,926.45
2015-05-21,937.45,937.45,929.00,929.65,200,925.21
2015-05-20,943.35,943.35,924.75,931.55,900,927.10
2015-05-19,929.10,940.00,929.10,935.40,2600,930.93
2015-05-18,930.75,940.95,927.25,931.60,1100,927.15
2015-05-15,927.10,938.60,922.00,928.00,500,923.57
2015-05-14,932.15,939.15,926.05,926.05,500,921.63
2015-05-13,948.95,948.95,930.00,934.75,2200,930.29
2015-05-12,937.40,940.00,930.00,933.95,8900,929.49
2015-05-11,942.20,964.55,937.00,941.35,8300,936.85
2015-05-08,927.10,950.00,927.05,942.30,1700,937.80
2015-05-07,943.20,947.20,924.55,927.20,1900,922.77
