Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,17.20,17.65,16.75,17.32,247300,17.32
2015-07-16,16.75,16.75,16.01,16.41,13100,16.41
2015-07-15,15.01,16.80,15.00,16.46,59800,16.46
2015-07-14,15.00,15.48,14.40,14.83,20000,14.83
2015-07-13,15.30,15.95,14.59,15.10,21500,15.10
2015-07-10,16.07,16.20,15.40,15.85,13800,15.85
2015-07-09,15.25,16.20,15.10,15.84,12100,15.84
2015-07-08,15.25,15.74,14.85,15.31,8400,15.31
2015-07-07,15.00,16.00,14.95,15.65,20900,15.65
2015-07-06,14.99,15.50,14.30,15.17,11900,15.17
2015-07-03,14.62,15.70,14.62,15.13,7000,15.13
2015-07-02,14.00,15.15,14.00,14.98,19900,14.98
2015-07-01,14.80,14.80,13.70,14.16,5400,14.16
2015-06-30,13.30,13.72,13.30,13.52,5100,13.52
2015-06-29,13.63,13.63,13.23,13.55,4900,13.55
2015-06-26,14.10,14.50,13.80,13.86,7900,13.86
2015-06-25,14.00,14.77,14.00,14.20,4400,14.20
2015-06-24,14.50,15.29,14.15,14.40,16700,14.40
2015-06-23,14.00,14.40,14.00,14.28,4100,14.28
2015-06-22,14.24,14.25,14.00,14.09,2200,14.09
2015-06-19,13.50,14.20,13.50,14.00,3200,14.00
2015-06-18,13.50,13.74,13.50,13.74,10100,13.74
2015-06-17,13.20,13.69,13.20,13.34,2400,13.34
2015-06-16,13.15,13.22,13.06,13.10,800,13.10
2015-06-15,13.58,13.58,13.13,13.15,3500,13.15
2015-06-12,13.33,13.34,12.90,13.07,10800,13.07
2015-06-11,13.60,13.74,13.26,13.38,11500,13.38
2015-06-10,13.40,13.80,13.40,13.62,9200,13.62
2015-06-09,13.88,13.88,13.12,13.51,11600,13.51
2015-06-08,13.65,13.99,13.37,13.75,17700,13.75
2015-06-05,13.40,13.80,13.40,13.40,14200,13.40
2015-06-04,14.55,14.55,13.35,13.43,11600,13.43
2015-06-03,14.99,15.15,13.00,13.60,28500,13.60
2015-06-02,15.25,15.25,14.70,14.78,4600,14.78
2015-06-01,14.15,15.40,14.15,15.10,7300,15.10
2015-05-29,14.65,15.00,14.65,14.65,37200,14.65
2015-05-28,14.65,14.95,14.50,14.55,8100,14.55
2015-05-27,14.70,15.05,14.40,14.55,10300,14.55
2015-05-26,14.95,14.95,14.30,14.70,29200,14.70
2015-05-25,14.85,15.10,14.60,14.65,12200,14.65
2015-05-22,15.00,15.55,14.80,14.90,14700,14.90
2015-05-21,15.05,15.65,14.80,15.15,7400,15.15
2015-05-20,14.85,15.45,14.85,15.40,13600,15.40
2015-05-19,14.80,15.10,14.70,14.90,24100,14.90
2015-05-18,15.00,15.00,14.40,14.50,65500,14.50
2015-05-15,15.40,15.40,14.75,14.80,49800,14.80
2015-05-14,15.00,15.35,14.80,14.85,28400,14.85
2015-05-13,15.05,15.45,15.00,15.15,11200,15.15
2015-05-12,15.25,15.45,15.00,15.05,8000,15.05
2015-05-11,15.00,16.25,15.00,15.55,3700,15.55
2015-05-08,15.55,15.90,15.40,15.45,17800,15.45
2015-05-07,15.65,15.95,15.30,15.45,8000,15.45
2015-05-06,16.50,16.70,15.60,15.65,19700,15.65
2015-05-05,16.00,16.40,15.95,16.20,4800,16.20
2015-05-04,15.65,16.25,15.65,16.05,7100,16.05
2015-05-01,15.65,15.65,15.65,15.65,000,15.65
2015-04-30,15.80,15.90,15.65,15.65,5000,15.65
2015-04-29,15.65,16.00,15.60,15.80,4900,15.80
2015-04-28,15.50,16.05,15.50,15.95,4800,15.95
2015-04-27,16.05,16.05,15.70,15.75,11300,15.75
2015-04-24,16.10,16.35,15.90,16.05,14000,16.05
2015-04-23,16.40,16.65,16.20,16.25,4200,16.25
2015-04-22,16.35,16.70,16.00,16.20,16400,16.20
2015-04-21,16.85,16.85,16.45,16.50,7300,16.50
2015-04-20,17.10,17.10,16.00,16.40,46300,16.40
2015-04-17,17.25,17.50,17.00,17.20,14900,17.20
2015-04-16,17.75,17.75,17.20,17.45,11900,17.45
2015-04-15,18.00,18.30,17.70,17.85,14600,17.85
2015-04-14,18.05,18.05,18.05,18.05,000,18.05
2015-04-13,17.55,18.30,17.55,18.05,19900,18.05
2015-04-10,17.80,17.90,17.30,17.75,15500,17.75
2015-04-09,18.55,18.70,17.60,17.85,34400,17.85
2015-04-08,19.25,19.25,18.05,18.30,60300,18.30
2015-04-07,18.50,19.80,18.10,18.85,340100,18.85
2015-04-06,15.20,18.35,15.20,17.95,128900,17.95
2015-04-03,15.35,15.35,15.35,15.35,000,15.35
2015-04-02,15.35,15.35,15.35,15.35,000,15.35
2015-04-01,15.50,15.60,15.15,15.35,10100,15.35
2015-03-31,14.95,15.50,14.95,15.30,18000,15.30
2015-03-30,14.65,15.25,14.30,15.15,22100,15.15
2015-03-27,15.55,15.55,14.30,14.60,72300,14.60
2015-03-26,15.60,15.60,14.60,14.75,15900,14.75
2015-03-25,15.75,15.80,14.70,14.95,34800,14.95
2015-03-24,15.10,15.35,14.80,14.90,17600,14.90
2015-03-23,15.15,15.55,15.05,15.05,9000,15.05
2015-03-20,15.65,15.65,15.20,15.30,16600,15.30
