Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,9.22,9.42,8.69,8.83,44300,8.83
2015-07-16,9.00,9.90,8.75,8.88,43200,8.88
2015-07-15,8.73,9.03,8.73,9.00,21100,9.00
2015-07-14,8.83,9.90,8.55,8.66,93100,8.66
2015-07-13,7.71,8.90,7.71,8.62,38700,8.62
2015-07-10,7.58,8.86,7.47,7.55,155600,7.55
2015-07-09,7.65,7.72,7.50,7.52,3000,7.52
2015-07-08,7.60,7.68,7.33,7.36,5100,7.36
2015-07-07,7.66,8.27,7.50,7.50,68000,7.50
2015-07-06,7.64,8.39,7.50,7.88,123800,7.88
2015-07-03,6.55,7.62,6.55,7.62,139900,7.62
2015-07-02,6.41,6.41,6.35,6.35,3600,6.35
2015-07-01,6.40,6.45,6.40,6.45,9000,6.45
2015-06-30,6.40,6.40,6.35,6.35,2100,6.35
2015-06-29,6.43,6.45,6.35,6.35,1800,6.35
2015-06-26,6.40,6.50,6.35,6.35,2400,6.35
2015-06-25,6.50,6.50,6.31,6.31,5700,6.31
2015-06-24,6.50,6.50,6.40,6.40,2000,6.40
2015-06-23,6.40,6.54,6.35,6.50,2300,6.50
2015-06-22,6.45,6.45,6.40,6.41,153700,6.41
2015-06-19,6.50,6.54,6.40,6.54,1300,6.54
2015-06-18,6.40,6.60,6.30,6.53,8900,6.53
2015-06-17,6.40,6.40,6.25,6.25,4500,6.25
2015-06-16,6.40,6.60,6.25,6.40,25700,6.40
2015-06-15,6.40,6.45,6.35,6.43,49800,6.43
2015-06-12,6.40,6.40,6.35,6.35,1600,6.35
2015-06-11,6.58,6.59,6.20,6.40,18400,6.40
2015-06-10,6.50,6.50,6.40,6.40,52600,6.40
2015-06-09,6.40,6.60,6.30,6.36,63300,6.36
2015-06-08,6.40,6.40,6.35,6.37,4600,6.37
2015-06-05,6.40,6.60,6.36,6.36,138800,6.36
2015-06-04,6.40,6.70,6.35,6.35,73000,6.35
2015-06-03,6.50,6.50,6.37,6.39,218700,6.39
2015-06-02,6.68,6.69,6.55,6.60,16600,6.60
2015-06-01,6.36,6.69,6.36,6.59,33900,6.59
2015-05-29,6.40,6.54,6.40,6.50,521200,6.50
2015-05-28,6.44,6.44,6.40,6.40,4500,6.40
2015-05-27,6.41,6.41,6.40,6.40,1700,6.40
2015-05-26,6.40,6.40,6.35,6.40,3100,6.40
2015-05-25,6.58,6.58,6.16,6.40,21000,6.40
