Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,96.70,97.05,95.30,95.70,46900,95.70
2015-07-16,95.60,96.80,95.15,95.85,30300,95.85
2015-07-15,96.00,96.85,95.20,95.65,27800,95.65
2015-07-14,95.70,97.00,95.20,95.70,38700,95.70
2015-07-13,95.50,95.90,94.80,95.65,29000,95.65
2015-07-10,96.20,96.75,94.30,94.60,37300,94.60
2015-07-09,96.00,97.30,95.20,95.65,63300,94.65
2015-07-08,97.80,99.40,95.00,95.55,78400,94.55
2015-07-07,99.45,101.70,97.20,97.90,413600,96.88
2015-07-06,93.60,99.40,93.15,98.20,175600,97.17
2015-07-03,95.30,95.30,94.00,94.10,14400,93.12
2015-07-02,95.75,95.75,94.50,94.70,9900,93.71
2015-07-01,95.30,95.95,94.80,94.90,19600,93.91
2015-06-30,93.90,95.45,93.90,94.90,11600,93.91
2015-06-29,94.50,95.25,94.05,94.75,13900,93.76
2015-06-26,97.20,97.55,96.00,96.45,11000,95.44
2015-06-25,98.00,98.60,96.80,97.20,26200,96.18
2015-06-24,96.90,102.00,96.35,97.95,118100,96.93
2015-06-23,95.15,97.65,95.15,96.00,18100,95.00
2015-06-22,96.00,97.30,95.80,96.20,20300,95.19
2015-06-19,97.00,97.75,95.60,95.75,14400,94.75
2015-06-18,95.95,96.90,95.10,96.90,60300,95.89
2015-06-17,95.55,96.70,94.20,95.30,25700,94.30
2015-06-16,94.60,95.65,94.05,94.95,15800,93.96
2015-06-15,96.40,96.85,94.30,95.05,10200,94.06
2015-06-12,94.80,97.00,94.25,96.40,27300,95.39
2015-06-11,95.65,95.65,94.50,94.95,32200,93.96
2015-06-10,95.70,97.00,95.00,95.15,38000,94.16
2015-06-09,95.95,96.00,94.70,94.90,7500,93.91
2015-06-08,96.10,96.60,94.80,95.55,12400,94.55
2015-06-05,94.75,97.15,94.55,96.05,13800,95.05
2015-06-04,97.00,97.00,94.50,95.10,17800,94.11
2015-06-03,97.00,97.20,94.25,96.35,15300,95.34
2015-06-02,98.00,98.40,96.55,97.45,16000,96.43
2015-06-01,98.50,99.00,97.85,98.00,11200,96.98
2015-05-29,96.70,98.90,96.55,98.00,43200,96.98
2015-05-28,95.85,97.95,94.00,97.70,32500,96.68
2015-05-27,95.30,95.80,94.15,95.40,13800,94.40
2015-05-26,96.90,97.00,94.80,95.10,9800,94.11
2015-05-25,96.30,96.85,95.30,95.60,7700,94.60
2015-05-22,96.30,97.50,96.00,96.35,8800,95.34
2015-05-21,97.10,97.10,95.50,96.40,12700,95.39
2015-05-20,97.90,98.00,96.35,96.95,17100,95.94
2015-05-19,96.00,98.20,95.20,96.45,40000,95.44
2015-05-18,97.10,97.90,96.25,96.80,21200,95.79
2015-05-15,96.00,98.00,94.00,96.55,98500,95.54
2015-05-14,96.80,98.40,92.75,95.20,115500,94.20
2015-05-13,96.00,97.20,95.20,96.80,20700,95.79
2015-05-12,97.30,97.30,93.70,95.25,27200,94.25
2015-05-11,97.10,98.00,94.35,97.05,32800,96.04
2015-05-08,96.00,97.00,95.00,96.25,21900,95.24
2015-05-07,99.00,100.30,92.65,93.95,62100,92.97
2015-05-06,102.60,102.60,99.10,99.40,33700,98.36
2015-05-05,102.10,105.85,102.10,103.65,85300,102.57
2015-05-04,98.00,100.90,98.00,100.20,35800,99.15
2015-05-01,97.55,97.55,97.55,97.55,000,96.53
2015-04-30,98.40,99.80,97.05,97.55,35500,96.53
2015-04-29,101.00,101.00,97.10,98.10,25300,97.07
2015-04-28,95.95,98.60,95.05,98.05,42400,97.02
2015-04-27,99.20,99.80,91.65,95.00,65400,94.01
2015-04-24,103.60,103.60,98.00,98.50,49400,97.47
2015-04-23,104.00,106.00,102.60,103.35,72100,102.27
2015-04-22,104.40,104.95,100.00,101.80,40100,100.74
2015-04-21,107.10,107.70,101.05,103.35,47700,102.27
2015-04-20,106.45,108.60,105.40,106.65,84800,105.53
2015-04-17,109.20,109.45,106.25,106.65,72800,105.53
2015-04-16,110.00,112.45,107.05,107.95,305800,106.82
2015-04-15,106.90,110.35,104.90,108.15,226100,107.02
2015-04-14,106.35,106.35,106.35,106.35,000,105.24
2015-04-13,104.20,108.80,102.85,106.35,137200,105.24
2015-04-10,102.10,103.45,101.60,102.85,50200,101.77
2015-04-09,103.40,103.40,99.10,101.40,79100,100.34
2015-04-08,98.70,100.30,96.90,99.65,61900,98.61
2015-04-07,95.50,98.70,94.75,96.70,47600,95.69
2015-04-06,95.50,96.25,94.10,95.25,20600,94.25
2015-04-03,95.40,95.40,95.40,95.40,000,94.40
2015-04-02,95.40,95.40,95.40,95.40,000,94.40
2015-04-01,92.80,96.00,92.75,95.40,30700,94.40
2015-03-31,93.00,94.00,91.55,93.20,33300,92.23
2015-03-30,93.00,93.00,90.80,91.95,50300,90.99
2015-03-27,89.90,91.60,88.90,90.30,47800,89.36
2015-03-26,93.00,93.00,88.65,89.60,53400,88.66
2015-03-25,94.35,94.50,92.50,93.05,35000,92.08
2015-03-24,93.40,95.00,89.80,94.30,76400,93.31
2015-03-23,96.00,96.60,92.40,93.85,57800,92.87
2015-03-20,99.10,99.50,94.05,94.75,201500,93.76
2015-03-19,97.40,99.25,95.35,98.10,169200,97.07
2015-03-18,97.40,97.40,95.55,96.55,47000,95.54
2015-03-17,96.30,97.95,95.20,96.65,45200,95.64
2015-03-16,98.10,98.80,94.10,96.50,112100,95.49
2015-03-13,100.00,100.10,97.60,98.10,50600,97.07
2015-03-12,100.25,101.45,98.90,99.30,59600,98.26
2015-03-11,100.95,101.50,98.50,100.05,74400,99.00
2015-03-10,101.00,101.40,99.50,100.15,46200,99.10
2015-03-09,102.35,102.85,99.35,100.10,59100,99.05
2015-03-06,103.05,103.05,103.05,103.05,000,101.97
2015-03-05,103.90,104.70,102.05,103.05,70000,101.97
2015-03-04,108.40,108.40,103.00,104.35,91700,103.26
2015-03-03,104.50,108.15,104.20,107.30,106500,106.18
2015-03-02,103.85,106.00,101.75,105.15,99100,104.05
2015-02-27,101.00,102.00,100.15,100.95,60700,99.89
2015-02-26,104.50,104.50,99.20,100.10,128900,99.05
2015-02-25,107.40,107.45,102.60,103.40,67000,102.32
2015-02-24,108.85,108.85,106.20,106.85,84700,105.73
2015-02-23,106.50,108.15,104.10,107.75,97800,106.62
2015-02-20,105.00,107.30,103.85,106.20,171200,105.09
2015-02-19,101.40,105.90,100.05,104.00,193600,102.91
2015-02-18,101.65,101.65,100.00,100.60,61500,99.55
2015-02-17,100.45,100.45,100.45,100.45,000,99.40
2015-02-16,100.25,101.80,100.00,100.45,47400,99.40
2015-02-13,101.10,101.90,99.75,100.40,50900,99.35
2015-02-12,100.90,101.65,99.50,100.10,48000,99.05
2015-02-11,99.90,100.80,99.40,100.35,46500,99.30
2015-02-10,99.00,102.25,98.00,99.90,73100,98.86
2015-02-09,100.05,100.70,98.15,98.90,63500,97.87
2015-02-06,102.00,102.95,99.30,100.25,60800,99.20
2015-02-05,105.00,105.90,101.00,101.85,97100,100.79
2015-02-04,106.15,106.15,103.70,104.70,73000,103.61
2015-02-03,105.90,107.50,104.25,104.70,97300,103.61
2015-02-02,105.00,107.25,104.50,104.90,110100,103.80
2015-01-30,115.15,115.85,102.80,104.30,306100,103.21
2015-01-29,126.45,127.60,113.00,114.80,538200,113.60
2015-01-28,117.15,129.60,116.95,125.70,410500,124.39
2015-01-27,118.30,118.45,116.60,117.10,48600,115.88
2015-01-26,118.00,118.00,118.00,118.00,000,116.77
2015-01-23,117.25,120.90,116.45,118.00,135600,116.77
2015-01-22,120.00,122.65,116.25,118.45,134500,117.21
2015-01-21,117.00,119.95,116.00,118.60,64600,117.36
2015-01-20,117.00,120.60,116.60,117.15,100600,115.93
2015-01-19,114.00,118.30,114.00,117.20,61700,115.97
