Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,709.50,726.20,709.15,715.10,9100,715.10
2015-07-16,699.40,714.00,696.85,700.80,5300,700.80
2015-07-15,712.80,719.90,692.05,697.45,6600,697.45
2015-07-14,730.00,735.00,708.80,714.75,13300,714.75
2015-07-13,709.00,744.00,709.00,727.00,41500,727.00
2015-07-10,699.50,714.25,695.10,709.00,3400,709.00
2015-07-09,697.05,707.60,688.00,694.70,6900,694.70
2015-07-08,700.00,716.00,682.70,702.95,6500,702.95
2015-07-07,707.40,725.40,695.70,711.00,9400,711.00
2015-07-06,690.00,707.00,680.00,701.05,2700,701.05
2015-07-03,691.40,704.00,689.05,692.10,2900,692.10
2015-07-02,680.00,697.00,676.50,682.10,3700,682.10
2015-07-01,681.10,704.30,673.05,677.20,7000,677.20
2015-06-30,665.00,689.00,662.00,675.65,7100,675.65
2015-06-29,658.25,671.55,654.10,662.70,2700,662.70
2015-06-26,668.00,694.50,668.00,679.75,4700,679.75
2015-06-25,685.00,685.00,666.05,670.20,4300,670.20
2015-06-24,718.00,720.00,685.20,690.65,5600,690.65
2015-06-23,720.00,723.90,706.15,720.25,13400,720.25
2015-06-22,678.00,725.00,671.95,712.70,20900,712.70
2015-06-19,667.00,677.95,661.00,669.75,900,669.75
2015-06-18,647.55,669.90,647.55,666.95,2500,666.95
2015-06-17,645.00,659.70,645.00,650.85,8100,650.85
2015-06-16,636.70,651.00,636.70,649.85,2700,649.85
2015-06-15,647.95,649.85,635.00,636.70,2000,636.70
2015-06-12,650.00,657.95,642.20,650.75,1500,650.75
2015-06-11,670.00,680.95,651.10,652.40,3300,652.40
2015-06-10,664.00,674.00,660.75,665.70,72800,665.70
2015-06-09,651.05,663.95,645.00,659.60,7700,659.60
2015-06-08,633.00,665.00,633.00,656.35,5300,656.35
2015-06-05,625.00,640.00,621.10,631.15,3300,631.15
2015-06-04,619.95,627.00,603.95,616.65,2400,616.65
2015-06-03,640.30,646.75,605.10,610.05,7700,610.05
2015-06-02,660.00,662.70,631.10,639.20,3000,639.20
2015-06-01,637.30,665.10,632.75,656.75,4200,656.75
2015-05-29,650.00,650.00,632.00,644.00,8300,644.00
2015-05-28,658.00,658.50,624.75,640.90,7000,640.90
2015-05-27,650.00,666.10,650.00,654.80,2200,654.80
2015-05-26,667.25,673.20,640.90,646.15,8700,646.15
2015-05-25,670.00,682.00,650.10,665.85,17900,665.85
2015-05-22,671.50,675.10,660.00,665.00,202000,665.00
2015-05-21,668.60,683.00,655.00,675.15,5400,675.15
2015-05-20,659.00,718.00,640.00,663.05,38400,663.05
