Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,798.80,798.80,783.95,788.30,6500,788.30
2015-07-16,785.00,796.80,778.00,792.20,38400,792.20
2015-07-15,773.80,775.00,758.60,760.45,9400,756.45
2015-07-14,775.00,779.20,761.00,770.00,9600,765.95
2015-07-13,794.00,801.80,764.00,770.40,19200,766.348
2015-07-10,774.15,774.30,765.00,767.10,5100,763.065
2015-07-09,769.00,778.00,762.20,766.90,5300,762.866
2015-07-08,786.75,786.75,754.90,769.00,10200,764.955
2015-07-07,809.00,815.00,787.95,790.00,13600,785.845
2015-07-06,798.80,833.00,794.20,800.30,34700,796.09
2015-07-03,754.00,800.00,754.00,789.00,24500,784.85
2015-07-02,753.40,758.95,749.75,753.05,3100,749.089
2015-07-01,744.15,751.55,743.65,748.05,4300,744.115
2015-06-30,725.00,746.00,725.00,739.80,4800,735.909
2015-06-29,750.00,750.00,724.00,728.80,8200,724.966
2015-06-26,772.95,772.95,745.00,751.60,6100,747.647
2015-06-25,750.00,784.00,750.00,767.35,18200,763.314
2015-06-24,746.00,772.00,742.10,756.75,21000,752.769
2015-06-23,715.00,749.75,704.00,743.90,37600,739.987
2015-06-22,699.65,717.00,695.00,715.05,9200,711.289
2015-06-19,717.95,717.95,691.00,695.10,5900,691.444
2015-06-18,700.00,709.75,692.45,709.75,13500,706.017
2015-06-17,700.00,700.90,688.00,693.25,7100,689.603
2015-06-16,704.85,704.85,686.00,695.75,10900,692.09
2015-06-15,693.00,720.20,685.00,696.85,10400,693.185
2015-06-12,702.00,702.00,690.00,692.55,27800,688.907
2015-06-11,725.90,729.00,694.40,698.25,7600,694.577
2015-06-10,731.25,735.00,717.90,719.50,9200,715.715
2015-06-09,720.00,741.85,717.35,732.35,5500,728.498
2015-06-08,735.45,743.70,716.05,723.00,8000,719.197
2015-06-05,706.20,743.50,706.15,729.60,8400,725.762
2015-06-04,710.00,723.80,700.00,708.25,6900,704.525
2015-06-03,730.00,734.45,700.00,705.55,9900,701.839
2015-06-02,749.95,749.95,724.00,728.35,4200,724.519
2015-06-01,731.80,758.00,730.00,744.60,15100,740.683
2015-05-29,737.00,747.00,722.00,732.35,14400,728.498
2015-05-28,737.55,744.75,731.00,735.00,6900,731.134
2015-05-27,738.00,753.00,716.00,729.35,24600,725.514
2015-05-26,781.00,781.50,731.70,735.05,31200,731.184
2015-05-25,771.25,802.00,771.15,777.55,39900,773.46
2015-05-22,750.00,777.25,746.80,764.35,12700,760.329
2015-05-21,774.00,780.30,743.00,747.65,19700,743.717
2015-05-20,773.70,799.00,759.00,773.10,47800,769.033
2015-05-19,714.90,785.00,712.65,775.05,47600,770.973
2015-05-18,686.50,719.45,686.50,716.35,15300,712.582
2015-05-15,665.00,699.00,662.10,696.15,29500,692.488
2015-05-14,685.00,688.25,652.05,657.45,33800,653.992
2015-05-13,680.00,699.00,671.00,679.50,19100,675.926
2015-05-12,696.00,696.90,663.00,672.05,13700,668.515
2015-05-11,703.30,708.70,694.00,697.90,6700,694.229
2015-05-08,703.00,732.00,695.65,703.30,19800,699.601
2015-05-07,716.80,716.80,664.95,683.30,9600,679.706
2015-05-06,733.95,733.95,700.50,712.90,20600,709.15
2015-05-05,718.00,740.05,712.00,728.80,16500,724.966
2015-05-04,706.85,719.60,700.00,714.00,8600,710.244
2015-05-01,699.20,699.20,699.20,699.20,000,695.522
2015-04-30,683.95,703.00,663.00,699.20,17300,695.522
2015-04-29,645.00,685.00,629.45,679.35,37600,675.777
2015-04-28,640.00,653.00,617.20,638.75,13100,635.39
2015-04-27,681.80,682.00,628.30,641.25,29100,637.877
2015-04-24,720.00,720.00,670.00,683.90,31700,680.303
2015-04-23,740.40,748.85,712.95,719.70,12500,715.914
2015-04-22,751.40,755.90,730.00,740.40,5300,736.505
2015-04-21,745.55,759.45,741.00,746.75,3000,742.822
2015-04-20,780.00,780.00,737.05,746.45,11700,742.524
2015-04-17,795.00,800.75,784.00,785.85,4600,781.716
2015-04-16,786.90,810.55,785.00,798.55,13000,794.35
2015-04-15,784.10,793.95,776.00,780.55,7900,776.444
2015-04-14,788.70,788.70,788.70,788.70,000,784.551
2015-04-13,790.00,799.00,776.10,788.70,13400,784.551
2015-04-10,802.90,810.00,769.20,782.00,17100,777.887
2015-04-09,825.50,830.00,794.90,799.55,13900,795.344
2015-04-08,826.00,839.80,820.00,822.50,128400,818.174
2015-04-07,829.00,829.00,814.00,824.85,8200,820.511
2015-04-06,827.65,845.00,817.00,821.90,9500,817.577
2015-04-03,825.85,825.85,825.85,825.85,000,821.506
2015-04-02,825.85,825.85,825.85,825.85,000,821.506
2015-04-01,815.00,849.00,815.00,825.85,12700,821.506
2015-03-31,813.60,825.00,805.00,820.85,8900,816.532
2015-03-30,810.10,823.00,804.65,808.75,8500,804.496
2015-03-27,835.75,835.75,793.80,798.50,18700,794.30
2015-03-26,840.00,847.95,790.15,829.30,27400,824.938
2015-03-25,880.525,880.85,855.00,860.925,45100,428.198
2015-03-24,908.50,912.775,875.50,877.325,13200,436.355
2015-03-23,898.05,899.50,885.075,894.825,16500,445.059
2015-03-20,917.10,918.35,883.95,891.35,29400,443.331
2015-03-19,1910.00,1913.40,1802.50,1821.30,40900,905.86
2015-03-18,1913.10,1920.00,1854.15,1886.10,36700,938.089
2015-03-17,1807.35,1940.00,1800.00,1886.90,62300,938.487
2015-03-16,1682.05,1800.00,1682.05,1777.95,29500,884.299
2015-03-13,1670.00,1703.00,1662.00,1665.00,8100,828.121
2015-03-12,1661.30,1665.00,1628.00,1658.85,7300,825.062
2015-03-11,1658.00,1668.00,1630.05,1633.65,7900,812.528
2015-03-10,1671.40,1698.75,1626.60,1643.40,9500,817.378
2015-03-09,1736.75,1736.75,1663.00,1665.40,19400,828.32
2015-03-06,1737.40,1737.40,1737.40,1737.40,000,864.131
2015-03-05,1720.00,1752.00,1718.00,1737.40,5600,864.131
2015-03-04,1788.50,1788.50,1709.00,1717.80,8200,854.382
2015-03-03,1763.80,1800.00,1760.15,1772.00,9700,881.34
2015-03-02,1790.00,1804.85,1729.00,1768.65,18800,879.673
2015-02-27,1721.45,1820.00,1713.60,1811.70,45000,901.085
2015-02-26,1700.00,1804.70,1680.00,1723.20,48500,857.068
2015-02-25,1701.80,1709.10,1690.00,1699.50,6900,845.28
2015-02-24,1717.20,1717.20,1675.00,1682.05,4700,836.601
2015-02-23,1740.00,1747.00,1704.00,1712.15,9600,851.572
2015-02-20,1720.00,1750.00,1705.60,1710.80,24000,850.901
2015-02-19,1720.00,1749.65,1705.05,1717.00,26900,853.984
2015-02-18,1620.00,1723.90,1620.00,1703.55,43200,847.295
2015-02-17,1625.40,1625.40,1625.40,1625.40,000,808.425
2015-02-16,1619.10,1657.45,1612.65,1625.40,7800,808.425
2015-02-13,1535.10,1650.00,1530.00,1622.20,49900,806.834
2015-02-12,1490.00,1549.15,1490.00,1536.50,14500,764.209
2015-02-11,1489.00,1505.00,1481.00,1500.60,4000,746.353
2015-02-10,1470.00,1518.80,1450.00,1471.80,21400,732.029
2015-02-09,1559.00,1571.90,1464.00,1469.65,45300,730.96
2015-02-06,1552.60,1556.00,1502.25,1511.90,11000,751.974
2015-02-05,1564.95,1584.80,1550.10,1561.95,7300,776.867
2015-02-04,1573.00,1575.35,1545.00,1551.85,9700,771.844
2015-02-03,1575.00,1579.65,1540.00,1548.05,218200,769.954
2015-02-02,1611.00,1611.00,1560.00,1561.60,10100,776.693
2015-01-30,1584.45,1629.95,1569.00,1613.45,7400,802.482
2015-01-29,1599.90,1611.00,1559.75,1592.85,5200,792.236
2015-01-28,1603.90,1615.00,1589.95,1605.00,14100,798.279
2015-01-27,1608.70,1612.80,1562.25,1604.60,6700,798.08
2015-01-26,1589.20,1589.20,1589.20,1589.20,000,790.42
2015-01-23,1624.95,1624.95,1580.10,1589.20,12100,790.42
2015-01-22,1553.00,1627.30,1553.00,1609.05,13000,800.293
2015-01-21,1560.00,1573.05,1542.25,1551.65,5100,771.744
2015-01-20,1568.00,1582.00,1538.25,1555.00,4900,773.41
2015-01-19,1584.00,1589.50,1552.25,1561.00,14400,776.395
2015-01-16,1597.10,1605.45,1565.35,1583.90,4400,787.784
2015-01-15,1604.00,1612.70,1575.10,1593.95,9800,792.783
2015-01-14,1601.45,1640.40,1582.15,1588.95,19000,790.296
2015-01-13,1595.00,1605.00,1579.15,1600.20,5400,795.891
2015-01-12,1579.05,1605.00,1569.50,1589.75,8400,790.694
2015-01-09,1589.00,1608.00,1571.05,1576.35,8100,784.029
2015-01-08,1567.85,1626.65,1561.45,1571.40,41800,781.567
2015-01-07,1568.40,1574.85,1532.15,1539.85,11700,765.875
2015-01-06,1590.00,1590.00,1529.00,1546.45,27900,769.158
2015-01-05,1564.55,1625.00,1537.40,1595.30,89300,793.454
2015-01-02,1486.00,1524.90,1485.00,1505.60,12700,748.84
2015-01-01,1461.05,1504.00,1461.05,1486.25,22800,739.216
2014-12-31,1483.20,1519.65,1460.00,1474.80,8100,733.521
2014-12-30,1520.00,1530.80,1495.00,1498.15,6900,745.135
2014-12-29,1550.00,1556.00,1510.00,1518.90,5500,755.455
2014-12-26,1570.05,1590.30,1523.55,1533.85,14800,762.891
2014-12-25,1515.80,1515.80,1515.80,1515.80,000,753.913
2014-12-24,1540.00,1541.55,1509.50,1515.80,2800,753.913
2014-12-23,1516.85,1549.00,1495.80,1532.05,17300,761.996
2014-12-22,1542.00,1549.80,1515.05,1519.30,8900,755.654
2014-12-19,1495.05,1546.00,1495.00,1533.50,27500,762.717
2014-12-18,1505.10,1539.45,1460.00,1501.45,19700,746.776
2014-12-17,1397.10,1545.85,1308.50,1488.20,58300,740.186
2014-12-16,1485.00,1485.00,1359.80,1411.20,21000,701.888
2014-12-15,1526.95,1526.95,1470.05,1479.05,7500,735.635
2014-12-12,1532.00,1540.00,1518.65,1526.95,3600,759.459
2014-12-11,1512.35,1559.00,1506.20,1525.00,8200,758.489
2014-12-10,1500.00,1529.95,1492.05,1509.35,15400,750.705
2014-12-09,1540.00,1559.95,1512.50,1521.30,9500,756.649
2014-12-08,1600.00,1600.00,1530.00,1548.75,6800,770.302
2014-12-05,1596.40,1604.50,1561.55,1572.40,4400,782.065
2014-12-04,1582.50,1600.10,1572.00,1595.35,11100,793.479
2014-12-03,1583.85,1606.10,1565.00,1595.25,11900,793.429
2014-12-02,1620.00,1620.00,1580.55,1587.45,8600,789.55
2014-12-01,1636.40,1660.00,1605.80,1627.75,5000,809.594
2014-11-28,1674.00,1674.00,1634.00,1643.95,5300,817.651
2014-11-27,1697.00,1697.00,1637.00,1660.40,5700,825.833
2014-11-26,1678.20,1701.00,1645.00,1679.75,26300,835.457
2014-11-25,1627.60,1688.70,1555.50,1658.10,17000,824.689
2014-11-24,1621.00,1649.30,1610.00,1628.25,16700,809.843
2014-11-21,1580.10,1608.70,1565.00,1599.15,11800,795.369
2014-11-20,1588.90,1595.35,1571.00,1591.25,2900,791.44
2014-11-19,1603.00,1619.00,1575.05,1580.30,3700,785.994
2014-11-18,1570.05,1633.80,1570.00,1597.15,63000,794.374
2014-11-17,1585.00,1593.00,1564.20,1568.90,5200,780.324
2014-11-14,1580.00,1625.00,1560.50,1593.70,16900,792.659
2014-11-13,1585.00,1592.60,1570.00,1579.00,3800,785.347
2014-11-12,1592.00,1600.00,1578.60,1589.05,4100,790.346
2014-11-11,1560.00,1615.40,1560.00,1573.05,9800,782.388
2014-11-10,1595.00,1595.00,1501.00,1564.70,40200,778.235
2014-11-07,1601.00,1647.90,1575.85,1606.90,12600,799.224
2014-11-06,1604.05,1604.05,1604.05,1604.05,000,797.806
2014-11-05,1604.95,1610.00,1561.00,1604.05,11100,797.806
2014-11-04,1602.20,1602.20,1602.20,1602.20,000,796.886
2014-11-03,1614.00,1643.60,1598.00,1602.20,7000,796.886
