Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,5405.00,5412.90,5380.00,5396.00,200,5391.00
2015-07-16,5423.10,5449.95,5370.00,5388.50,400,5383.51
2015-07-15,5425.25,5444.95,5395.05,5429.90,200,5424.87
2015-07-14,5415.00,5467.45,5400.00,5440.85,500,5435.81
2015-07-13,5431.95,5448.00,5411.00,5434.45,300,5429.41
2015-07-10,5393.75,5420.00,5372.00,5398.90,400,5393.90
2015-07-09,5370.00,5400.00,5334.45,5372.05,10200,5367.07
2015-07-08,5340.00,5399.95,5340.00,5365.20,400,5360.23
2015-07-07,5400.00,5400.40,5360.00,5390.00,600,5385.01
2015-07-06,5380.00,5419.50,5336.85,5399.00,500,5394.00
2015-07-03,5350.00,5410.80,5350.00,5375.75,000,5370.77
2015-07-02,5440.35,5440.35,5340.00,5346.95,400,5342.00
2015-07-01,5368.55,5421.00,5336.05,5356.95,500,5351.99
2015-06-30,5314.00,5390.20,5314.00,5350.00,200,5345.04
2015-06-29,5498.00,5498.00,5247.75,5367.80,600,5362.83
2015-06-26,5383.00,5406.20,5340.80,5363.90,200,5358.93
2015-06-25,5422.05,5422.05,5350.00,5369.00,200,5364.03
2015-06-24,5440.05,5474.95,5355.25,5388.20,200,5383.21
2015-06-23,5425.95,5453.00,5390.00,5401.75,400,5396.74
2015-06-22,5409.95,5448.30,5325.00,5356.15,400,5351.19
2015-06-19,5408.90,5449.95,5365.25,5378.85,200,5373.87
2015-06-18,5450.00,5475.00,0.01,5371.15,10200,5366.17
2015-06-17,5444.15,5460.00,5395.00,5406.65,500,5401.64
2015-06-16,5420.90,5425.80,5330.00,5367.20,200,5362.23
2015-06-15,5423.20,5510.20,5355.05,5478.10,300,5473.02
2015-06-12,5476.65,5540.00,5257.55,5441.10,400,5436.06
2015-06-11,5579.00,5624.95,5425.35,5447.75,400,5442.70
2015-06-10,5577.05,5597.05,5512.00,5563.10,200,5557.95
2015-06-09,5350.10,5600.00,5340.15,5513.90,400,5508.79
2015-06-08,5350.00,5431.60,5301.00,5379.85,400,5374.87
2015-06-05,5540.30,5540.30,5342.00,5342.00,700,5337.05
2015-06-04,5498.20,5600.00,5445.05,5484.20,500,5479.12
2015-06-03,5572.00,5646.45,5505.05,5548.60,500,5543.46
2015-06-02,5650.05,5690.00,5610.00,5628.75,400,5623.53
2015-06-01,5750.00,5759.95,5649.25,5700.00,200,5694.72
2015-05-29,5600.00,5802.45,5500.00,5800.00,2100,5794.63
2015-05-28,5556.00,5635.00,5500.00,5575.05,3100,5569.88
2015-05-27,5602.95,5672.60,5570.00,5586.20,3400,5581.02
2015-05-26,5650.00,5650.00,5599.80,5625.30,400,5620.09
