Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,186.40,197.20,181.00,190.00,557000,190.00
2015-07-16,173.50,185.70,173.00,184.20,317700,184.20
2015-07-15,177.00,178.40,171.30,172.40,119700,172.40
2015-07-14,167.00,181.00,166.70,176.00,441500,176.00
2015-07-13,166.00,168.90,164.30,166.20,61000,166.20
2015-07-10,164.10,171.30,163.20,165.80,108100,165.80
2015-07-09,162.40,166.50,160.40,162.60,87400,162.60
2015-07-08,162.50,165.40,159.60,161.00,72900,161.00
2015-07-07,167.50,171.80,162.70,165.80,114100,165.80
2015-07-06,163.30,167.90,158.00,166.00,91000,166.00
2015-07-03,170.40,173.30,162.30,163.20,129100,163.20
2015-07-02,161.00,174.50,161.00,169.40,256500,169.40
2015-07-01,160.00,163.30,158.30,160.30,45000,160.30
2015-06-30,155.00,161.50,155.00,157.90,52100,157.90
2015-06-29,158.00,158.00,153.60,155.70,39300,155.70
2015-06-26,162.20,165.30,159.10,162.20,67000,162.20
2015-06-25,161.60,165.00,160.10,162.40,35000,162.40
2015-06-24,166.50,169.30,161.50,163.30,65700,163.30
2015-06-23,167.80,171.00,165.00,166.10,88600,166.10
2015-06-22,165.00,169.50,164.30,166.10,54000,166.10
2015-06-19,161.90,168.20,160.80,165.10,141800,165.10
2015-06-18,161.50,161.50,160.70,161.50,82300,161.50
2015-06-17,157.40,166.80,155.50,160.80,208500,160.80
2015-06-16,154.10,157.50,150.80,155.30,44100,155.30
2015-06-15,150.50,159.80,150.30,153.50,107700,153.50
2015-06-12,153.00,154.50,149.10,150.70,40800,150.70
2015-06-11,161.50,163.80,152.00,153.70,71700,153.70
2015-06-10,158.20,162.90,157.70,158.50,57600,158.50
2015-06-09,160.00,164.00,156.50,158.20,101400,158.20
2015-06-08,166.50,170.90,156.70,160.40,164500,160.40
2015-06-05,142.50,170.80,142.50,165.10,557700,165.10
2015-06-04,149.70,150.00,141.60,144.40,68700,144.40
2015-06-03,157.70,158.90,140.50,147.50,101800,147.50
2015-06-02,169.90,169.90,155.50,158.20,101900,158.20
2015-06-01,173.20,173.60,168.00,168.60,32100,168.60
2015-05-29,170.90,175.90,169.00,173.20,77500,173.20
2015-05-28,172.50,176.00,168.40,170.10,30300,170.10
2015-05-27,172.00,173.90,171.00,172.00,27100,172.00
2015-05-26,174.00,177.70,173.00,174.30,28700,174.30
2015-05-25,176.20,177.20,173.30,173.70,26100,173.70
2015-05-22,181.90,181.90,176.10,177.10,35600,177.10
2015-05-21,184.70,185.00,180.00,180.80,41600,180.80
2015-05-20,183.50,188.40,182.80,183.40,93600,183.40
2015-05-19,179.00,188.00,178.60,182.10,133100,182.10
2015-05-18,175.30,180.50,173.80,178.30,55400,178.30
2015-05-15,175.50,178.00,172.30,173.60,52300,173.60
2015-05-14,174.00,177.00,171.20,174.70,56700,174.70
2015-05-13,174.10,176.80,171.00,173.50,57500,173.50
2015-05-12,182.70,182.70,172.20,173.10,47800,173.10
2015-05-11,179.70,182.70,179.00,180.20,53600,180.20
2015-05-08,176.50,181.00,176.40,177.10,55400,177.10
2015-05-07,181.00,186.30,170.70,172.80,103500,172.80
2015-05-06,191.50,194.10,181.40,182.70,91900,182.70
2015-05-05,191.00,198.60,189.00,192.80,128700,192.80
2015-05-04,180.00,192.50,178.50,188.60,125300,188.60
2015-05-01,180.00,180.00,180.00,180.00,000,180.00
2015-04-30,179.70,182.40,176.60,180.00,71300,180.00
2015-04-29,176.30,184.40,173.30,180.50,122300,180.50
2015-04-28,175.00,181.00,164.40,177.30,158200,177.30
2015-04-27,190.00,191.70,174.80,176.30,93100,176.30
2015-04-24,199.30,199.30,187.80,189.30,94100,189.30
2015-04-23,201.50,204.10,197.00,198.10,93400,198.10
2015-04-22,199.40,205.10,193.50,199.50,131300,199.50
2015-04-21,202.70,205.70,194.60,198.50,123800,198.50
2015-04-20,210.20,211.40,199.00,201.80,116200,201.80
2015-04-17,199.90,218.00,194.50,210.30,464200,210.30
2015-04-16,208.70,209.20,197.80,200.30,122900,200.30
2015-04-15,213.70,214.70,206.60,207.60,116000,207.60
2015-04-14,212.80,212.80,212.80,212.80,000,212.80
2015-04-13,211.50,218.00,210.40,212.80,121600,212.80
2015-04-10,215.00,215.30,208.20,211.50,133400,211.50
2015-04-09,211.10,220.00,211.10,214.30,280300,214.30
2015-04-08,208.30,212.20,206.50,208.30,176800,208.30
2015-04-07,214.70,216.30,204.50,207.40,238900,207.40
2015-04-06,206.00,215.20,205.50,213.50,359500,213.50
2015-04-03,205.10,205.10,205.10,205.10,000,205.10
2015-04-02,205.10,205.10,205.10,205.10,000,205.10
2015-04-01,186.00,207.00,184.20,205.10,757400,205.10
2015-03-31,187.90,191.00,184.00,187.00,228000,187.00
2015-03-30,181.00,188.70,179.00,186.50,310700,186.50
2015-03-27,168.60,180.90,159.60,176.10,384500,176.10
2015-03-26,173.00,173.00,166.00,167.10,169500,167.10
2015-03-25,171.00,180.00,171.00,172.80,290700,172.80
2015-03-24,187.80,187.80,169.00,170.00,336700,170.00
2015-03-23,203.30,204.20,185.60,187.30,168800,187.30
2015-03-20,215.00,215.00,200.00,201.70,143500,201.70
2015-03-19,219.00,223.00,212.90,214.00,110900,214.00
2015-03-18,220.90,223.10,215.50,216.90,145000,216.90
2015-03-17,223.80,228.40,216.20,219.20,176800,219.20
2015-03-16,228.00,229.00,221.00,221.80,144100,221.80
2015-03-13,223.40,241.80,221.30,226.70,528700,226.70
2015-03-12,225.90,227.80,220.50,221.30,135200,221.30
2015-03-11,229.20,232.00,223.40,224.00,120300,224.00
2015-03-10,231.80,236.60,226.10,228.40,167500,228.40
2015-03-09,237.80,238.50,228.40,230.20,193200,230.20
2015-03-06,239.80,239.80,239.80,239.80,000,239.80
2015-03-05,244.50,248.50,236.00,239.80,198100,239.80
2015-03-04,250.00,258.80,240.70,244.30,262800,244.30
2015-03-03,248.90,254.00,246.10,249.00,155300,249.00
2015-03-02,256.20,256.60,246.50,247.50,236500,247.50
2015-02-27,258.40,265.00,257.70,259.20,253700,259.20
2015-02-26,255.70,265.70,249.00,256.60,492300,256.60
2015-02-25,255.90,259.90,251.70,254.50,214900,254.50
2015-02-24,263.40,266.70,250.10,254.00,312500,254.00
2015-02-23,264.90,270.00,261.20,262.40,242000,262.40
2015-02-20,269.25,272.80,260.10,261.90,336400,261.90
2015-02-19,267.00,274.90,261.00,267.60,488600,267.60
2015-02-18,252.30,274.00,252.20,265.60,695700,265.60
2015-02-17,251.90,251.90,251.90,251.90,000,251.90
2015-02-16,263.00,265.00,246.90,251.90,343600,251.90
2015-02-13,272.70,278.00,266.15,268.40,383100,268.40
2015-02-12,274.80,282.00,266.45,272.10,870500,272.10
2015-02-11,239.00,274.80,239.00,272.00,1121500,272.00
2015-02-10,228.90,244.30,226.00,236.70,284000,236.70
2015-02-09,243.45,243.45,229.00,230.65,160900,230.65
2015-02-06,256.25,258.45,240.95,244.65,247700,244.65
2015-02-05,259.45,268.00,252.50,255.40,230700,255.40
2015-02-04,270.90,274.00,256.75,258.55,279100,258.15
2015-02-03,268.05,280.00,265.60,268.30,539800,267.486
2015-02-02,254.90,271.25,254.00,265.85,409600,265.043
2015-01-30,265.00,269.55,253.55,255.85,288700,255.073
2015-01-29,254.00,273.90,252.00,263.50,805500,262.70
2015-01-28,258.30,264.50,252.00,253.35,506800,252.581
2015-01-27,244.00,271.05,242.50,259.60,1610800,258.812
2015-01-26,241.65,241.65,241.65,241.65,000,240.916
2015-01-23,211.50,247.20,209.75,241.65,1658900,240.916
2015-01-22,218.60,220.25,208.45,209.45,194700,208.814
2015-01-21,224.00,225.90,218.05,219.50,176700,218.834
2015-01-20,223.15,231.00,221.50,223.25,202200,222.572
2015-01-19,228.50,231.95,219.00,222.60,249800,221.924
2015-01-16,231.50,235.95,225.50,227.05,330900,226.361
2015-01-15,239.00,239.10,230.00,230.95,257200,230.249
2015-01-14,231.80,241.80,230.10,234.60,523700,233.888
2015-01-13,233.50,238.60,227.05,230.85,493000,230.149
2015-01-12,220.90,239.00,218.90,231.60,929600,230.897
2015-01-09,225.00,228.95,216.50,220.25,825000,219.581
2015-01-08,207.60,233.15,205.70,225.05,2261600,224.367
2015-01-07,170.00,202.90,165.95,199.90,1352000,199.293
2015-01-06,177.40,177.40,168.05,169.10,169500,168.587
2015-01-05,180.70,184.50,176.15,178.45,146800,177.908
2015-01-02,174.50,188.90,174.50,179.10,406100,178.556
2015-01-01,176.55,179.20,170.50,174.00,158100,173.472
2014-12-31,175.00,180.00,174.70,175.70,172700,175.167
2014-12-30,173.00,181.00,169.10,174.65,524800,174.12
2014-12-29,154.10,168.40,152.40,168.40,397300,167.889
2014-12-26,150.90,154.20,149.70,153.10,86600,152.635
2014-12-25,148.95,148.95,148.95,148.95,000,148.498
2014-12-24,148.00,152.80,145.30,148.95,128900,148.498
2014-12-23,155.05,155.30,146.15,147.35,107600,146.903
2014-12-22,156.95,158.05,152.50,154.70,164200,154.23
2014-12-19,148.95,161.25,148.95,153.00,281400,152.536
2014-12-18,145.00,150.00,139.65,146.60,251100,146.155
2014-12-17,142.00,143.65,133.50,136.60,93000,136.185
