Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,49.00,49.05,49.00,49.00,100,49.00
2015-07-16,50.10,52.00,49.50,49.75,600,49.75
2015-07-15,48.20,53.45,48.20,50.00,2300,50.00
2015-07-14,50.00,51.95,49.50,49.50,1400,49.50
2015-07-13,51.00,55.80,50.10,50.55,300,50.55
2015-07-10,53.00,53.50,51.25,52.25,1800,52.25
2015-07-09,51.70,53.50,51.70,52.80,5000,52.80
2015-07-08,56.00,56.00,51.55,53.70,2600,53.70
2015-07-07,53.00,55.00,52.00,54.90,6000,54.90
2015-07-06,47.00,52.90,47.00,50.75,3800,50.75
2015-07-03,48.50,48.50,46.55,46.60,800,46.60
2015-07-02,45.90,49.75,45.50,48.20,12400,48.20
2015-07-01,43.00,48.60,43.00,44.95,23500,44.95
2015-06-30,39.50,40.50,39.50,40.50,000,40.50
2015-06-29,41.00,42.80,38.25,38.30,2000,38.30
2015-06-26,44.90,44.90,41.05,42.70,1800,42.70
2015-06-25,40.00,42.00,40.00,42.00,3600,42.00
2015-06-24,40.00,41.90,37.00,41.65,3700,41.65
2015-06-23,33.75,40.00,33.75,40.00,100,40.00
2015-06-22,36.35,41.20,36.35,38.15,2000,38.15
2015-06-19,41.60,41.60,36.30,38.00,300,38.00
2015-06-18,36.55,36.55,36.55,36.55,000,36.55
2015-06-17,38.00,38.00,38.00,38.00,000,38.00
2015-06-16,37.00,37.00,35.00,35.00,000,35.00
2015-06-15,39.00,39.00,39.00,39.00,000,39.00
2015-06-12,37.05,39.00,37.00,39.00,100,39.00
2015-06-11,38.05,38.05,38.05,38.05,000,38.05
2015-06-10,38.05,38.05,38.05,38.05,000,38.05
2015-06-09,38.10,38.10,38.00,38.05,000,38.05
2015-06-08,38.10,38.10,38.00,38.00,200,38.00
2015-06-05,38.10,41.00,38.10,41.00,000,41.00
2015-06-04,35.50,41.00,35.50,36.20,000,36.20
2015-06-03,38.10,38.10,38.10,38.10,000,38.10
2015-06-02,38.10,38.10,38.10,38.10,000,38.10
2015-06-01,38.00,38.10,38.00,38.10,200,38.10
2015-05-29,38.00,41.00,38.00,41.00,200,41.00
2015-05-28,38.10,38.10,38.10,38.10,000,38.10
2015-05-27,38.10,38.10,38.10,38.10,000,38.10
2015-05-26,38.55,38.55,38.10,38.10,500,38.10
2015-05-25,41.90,41.90,41.90,41.90,100,41.90
2015-05-22,41.90,41.90,41.90,41.90,000,41.90
2015-05-21,38.55,40.00,38.55,40.00,000,40.00
2015-05-20,39.05,41.90,39.05,41.90,200,41.90
2015-05-19,41.90,41.90,40.00,41.90,1900,41.90
2015-05-18,40.00,40.00,38.05,40.00,000,40.00
2015-05-15,40.00,40.00,40.00,40.00,400,40.00
2015-05-14,41.00,41.00,38.55,41.00,200,41.00
2015-05-13,38.50,42.40,38.50,40.00,4900,40.00
2015-05-12,37.15,37.15,37.15,37.15,000,37.15
2015-05-11,39.05,39.05,39.05,39.05,000,39.05
2015-05-08,39.05,39.05,39.05,39.05,000,39.05
2015-05-07,40.00,40.00,38.50,38.55,000,38.55
2015-05-06,42.00,42.00,42.00,42.00,000,42.00
2015-05-05,38.20,43.60,38.20,42.50,600,42.50
2015-05-04,38.10,41.80,38.10,38.25,100,38.25
2015-05-01,38.35,38.35,38.35,38.35,000,38.35
2015-04-30,41.00,42.75,37.45,38.35,6000,38.35
2015-04-29,38.70,38.75,32.65,38.75,6800,38.75
2015-04-28,32.30,32.30,32.30,32.30,000,32.30
2015-04-27,31.35,31.35,31.35,31.35,000,31.35
2015-04-24,28.50,39.40,28.50,33.25,000,33.25
2015-04-23,34.10,34.10,34.10,34.10,000,34.10
2015-04-22,34.10,34.10,34.10,34.10,000,34.10
2015-04-21,33.10,33.85,33.10,33.85,000,33.85
2015-04-20,32.55,36.00,32.55,36.00,000,36.00
2015-04-17,33.05,35.15,33.05,35.15,000,35.15
2015-04-16,36.10,36.10,36.10,36.10,000,36.10
2015-04-15,36.10,36.10,36.10,36.10,000,36.10
2015-04-14,39.90,39.90,39.90,39.90,000,39.90
2015-04-13,39.90,39.90,39.90,39.90,000,39.90
2015-04-10,35.05,36.00,35.05,35.40,100,35.40
2015-04-09,34.00,39.00,30.90,39.00,300,39.00
2015-04-08,34.00,34.00,31.30,34.00,100,34.00
2015-04-07,35.00,35.00,30.75,32.70,100,32.70
2015-04-06,34.00,34.00,34.00,34.00,000,34.00
2015-04-03,34.00,34.00,34.00,34.00,000,34.00
2015-04-02,34.00,34.00,34.00,34.00,000,34.00
2015-04-01,34.00,37.25,34.00,34.00,000,34.00
2015-03-31,36.00,36.00,31.00,31.25,100,31.25
2015-03-30,34.00,34.00,32.25,33.80,000,33.80
2015-03-27,33.05,44.80,33.05,34.65,200,34.65
2015-03-26,38.00,38.00,38.00,38.00,000,38.00
2015-03-25,35.00,37.95,34.00,36.50,200,36.50
2015-03-24,38.00,38.00,38.00,38.00,100,38.00
2015-03-23,37.10,38.00,34.05,36.50,500,36.50
2015-03-20,37.50,37.50,37.50,37.50,000,37.50
2015-03-19,39.95,39.95,37.50,37.50,100,37.50
2015-03-18,35.45,35.45,35.45,35.45,000,35.45
2015-03-17,36.00,37.00,36.00,37.00,000,37.00
2015-03-16,36.00,39.85,36.00,36.15,100,36.15
2015-03-13,34.65,39.60,34.65,36.00,000,36.00
2015-03-12,35.55,35.70,35.55,35.70,000,35.70
2015-03-11,40.70,40.70,36.05,36.05,200,36.05
2015-03-10,41.50,41.50,35.25,35.25,21700,35.25
2015-03-09,36.50,36.50,36.50,36.50,000,36.50
2015-03-06,36.50,36.50,36.50,36.50,000,36.50
2015-03-05,39.95,39.95,36.50,36.50,000,36.50
2015-03-04,37.00,41.40,35.45,41.30,000,41.30
2015-03-03,41.00,41.00,41.00,41.00,000,41.00
2015-03-02,40.00,41.60,37.10,41.60,100,41.60
2015-02-27,41.90,41.90,37.00,37.10,2000,37.10
2015-02-26,42.80,42.80,36.40,38.85,2000,38.85
2015-02-25,37.00,38.00,37.00,37.10,100,37.10
2015-02-24,40.05,43.00,38.00,38.05,000,38.05
2015-02-23,36.00,48.60,36.00,38.15,000,38.15
2015-02-20,43.30,43.30,38.20,42.00,000,42.00
2015-02-19,39.00,39.00,39.00,39.00,100,39.00
2015-02-18,42.00,44.40,37.15,39.50,100,39.50
2015-02-17,41.00,41.00,41.00,41.00,000,41.00
2015-02-16,42.00,43.60,41.00,41.00,000,41.00
2015-02-13,39.50,39.50,39.50,39.50,000,39.50
2015-02-12,40.00,40.00,40.00,40.00,500,40.00
2015-02-11,43.00,43.00,40.05,40.05,300,40.05
2015-02-10,38.90,42.55,38.90,40.10,000,40.10
2015-02-09,38.15,38.15,38.15,38.15,000,38.15
2015-02-06,37.00,42.10,37.00,40.45,10900,40.45
2015-02-05,40.00,42.00,37.20,41.60,1300,41.60
2015-02-04,41.25,41.25,41.25,41.25,000,41.25
2015-02-03,39.00,42.00,39.00,41.25,1000,41.25
2015-02-02,34.50,43.90,34.50,42.80,000,42.80
2015-01-30,37.15,43.50,37.15,41.90,10600,41.90
2015-01-29,36.45,36.45,36.45,36.45,000,36.45
2015-01-28,41.50,41.50,37.00,37.15,600,37.15
2015-01-27,36.05,37.00,36.05,37.00,000,37.00
2015-01-26,39.95,39.95,39.95,39.95,000,39.95
2015-01-23,37.00,40.90,37.00,39.95,000,39.95
2015-01-22,36.25,39.65,36.25,39.00,100,39.00
2015-01-21,36.15,39.95,36.15,38.30,000,38.30
2015-01-20,39.90,39.90,37.50,37.50,800,37.50
2015-01-19,39.00,40.75,37.45,39.15,000,39.15
2015-01-16,38.00,40.90,38.00,38.10,000,38.10
2015-01-15,37.45,41.40,37.45,41.40,000,41.40
2015-01-14,36.40,40.85,36.40,40.85,000,40.85
2015-01-13,32.30,41.00,32.30,40.00,100,40.00
2015-01-12,37.70,37.70,37.70,37.70,000,37.70
2015-01-09,41.65,41.65,37.70,37.70,500,37.70
2015-01-08,38.05,41.90,38.05,41.90,000,41.90
2015-01-07,36.75,39.00,36.75,39.00,200,39.00
2015-01-06,37.00,38.00,37.00,37.35,3000,37.35
2015-01-05,37.60,40.00,37.60,40.00,500,40.00
2015-01-02,37.40,39.00,37.40,38.05,100,38.05
2015-01-01,38.50,38.50,38.50,38.50,000,38.50
2014-12-31,38.50,38.50,38.50,38.50,000,38.50
2014-12-30,38.50,38.50,38.50,38.50,300,38.50
2014-12-29,34.00,38.75,32.50,36.15,1100,36.15
2014-12-26,36.20,39.95,35.40,39.40,1000,39.40
2014-12-25,41.30,41.30,41.30,41.30,000,41.30
2014-12-24,39.95,42.00,39.95,41.30,000,41.30
2014-12-23,40.95,40.95,35.15,36.05,000,36.05
2014-12-22,35.00,41.30,32.60,41.30,000,41.30
2014-12-19,35.00,39.00,31.00,35.25,300,35.25
2014-12-18,34.05,34.05,34.00,34.00,200,34.00
2014-12-17,34.00,34.00,34.00,34.00,100,34.00
2014-12-16,33.05,33.05,33.05,33.05,000,33.05
2014-12-15,34.15,34.15,34.15,34.15,000,34.15
2014-12-12,34.15,34.15,34.15,34.15,000,34.15
2014-12-11,35.35,39.50,35.30,37.40,2900,37.40
2014-12-10,36.00,41.00,35.15,39.95,25200,39.95
2014-12-09,32.10,42.35,32.10,35.55,000,35.55
2014-12-08,33.55,39.70,33.55,39.70,000,39.70
2014-12-05,30.60,40.40,30.60,40.40,100,40.40
2014-12-04,34.05,34.30,34.05,34.30,000,34.30
2014-12-03,34.30,34.30,34.25,34.25,000,34.25
2014-12-02,33.85,37.95,33.85,37.95,000,37.95
2014-12-01,34.80,34.80,34.80,34.80,000,34.80
2014-11-28,34.70,34.80,34.70,34.80,100,34.80
2014-11-27,37.20,37.20,37.20,37.20,000,37.20
2014-11-26,35.95,37.20,35.15,37.20,18200,37.20
2014-11-25,33.10,33.90,33.10,33.85,100,33.85
2014-11-24,32.25,35.00,32.25,32.75,000,32.75
2014-11-21,33.15,35.25,33.15,35.25,500,35.25
2014-11-20,33.15,33.50,33.15,33.15,000,33.15
2014-11-19,32.70,37.00,32.70,34.00,000,34.00
2014-11-18,33.65,37.45,33.65,34.05,1000,34.05
2014-11-17,33.05,38.00,33.05,36.00,400,36.00
2014-11-14,34.65,34.65,34.65,34.65,000,34.65
2014-11-13,35.05,35.05,34.25,34.65,000,34.65
2014-11-12,36.00,36.00,35.90,35.95,000,35.95
2014-11-11,34.50,34.50,32.75,32.75,100,32.75
2014-11-10,30.55,31.40,30.55,31.40,000,31.40
2014-11-07,32.00,32.10,32.00,32.10,000,32.10
2014-11-06,32.65,32.65,32.65,32.65,000,32.65
2014-11-05,30.25,32.65,30.25,32.65,000,32.65
2014-11-04,31.10,31.10,31.10,31.10,000,31.10
2014-11-03,31.00,32.55,31.00,31.10,100,31.10
2014-10-31,29.60,31.00,29.60,31.00,000,31.00
