Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,735.00,830.00,731.25,809.65,88400,809.65
2015-07-16,725.00,733.95,720.00,729.20,5100,729.20
2015-07-15,725.00,732.00,706.00,727.00,9600,727.00
2015-07-14,725.00,731.95,716.00,726.00,2600,726.00
2015-07-13,720.00,730.00,712.40,723.30,4200,723.30
2015-07-10,715.00,722.15,704.00,715.00,4700,715.00
2015-07-09,720.00,729.95,707.15,711.40,4900,711.40
2015-07-08,730.00,738.00,712.60,719.25,3500,719.25
2015-07-07,740.00,752.00,728.05,730.95,10100,730.95
2015-07-06,742.25,744.85,728.25,737.90,4100,737.90
2015-07-03,748.00,758.00,735.00,741.95,3100,741.95
2015-07-02,752.00,755.00,732.70,750.00,7300,750.00
2015-07-01,746.00,760.10,742.85,746.40,7200,746.40
2015-06-30,741.90,750.00,732.80,741.50,2900,741.50
2015-06-29,747.00,747.00,721.60,734.85,1600,734.85
2015-06-26,750.00,752.95,745.15,748.40,1900,748.40
2015-06-25,765.00,768.05,740.35,745.25,2000,745.25
2015-06-24,745.00,780.00,738.30,760.25,14800,760.25
2015-06-23,741.15,759.00,737.35,742.65,2000,742.65
2015-06-22,734.90,750.00,730.50,745.85,4200,745.85
2015-06-19,739.05,741.00,710.60,725.25,5200,725.25
2015-06-18,740.00,753.00,739.00,741.00,12800,741.00
2015-06-17,714.90,738.00,705.00,733.95,45200,733.95
2015-06-16,704.70,718.00,698.50,710.85,5100,710.85
2015-06-15,708.00,726.00,698.00,705.15,5900,705.15
2015-06-12,701.50,713.80,691.50,708.30,1900,708.30
2015-06-11,700.00,717.90,698.00,700.00,6900,700.00
2015-06-10,705.00,717.80,696.10,699.65,3800,699.65
2015-06-09,700.00,704.80,690.00,695.55,4000,695.55
2015-06-08,720.00,725.00,695.00,705.20,2500,705.20
2015-06-05,715.00,734.00,710.80,716.00,5900,716.00
2015-06-04,715.00,720.00,702.05,713.30,3300,713.30
2015-06-03,724.20,728.75,706.10,710.95,5500,710.95
2015-06-02,755.00,774.00,724.00,730.40,12800,730.40
2015-06-01,751.05,758.75,742.00,747.05,3000,747.05
2015-05-29,747.65,769.80,741.65,765.00,13500,765.00
2015-05-28,765.00,769.75,747.00,752.85,5700,752.85
2015-05-27,725.80,769.60,725.00,762.15,26500,762.15
2015-05-26,726.00,733.00,719.00,725.90,4000,725.90
2015-05-25,737.50,741.50,721.65,724.05,3900,724.05
2015-05-22,725.00,753.85,725.00,737.15,108600,737.15
2015-05-21,765.00,780.00,745.30,751.65,67700,751.65
2015-05-20,728.00,746.00,725.00,734.40,17800,734.40
2015-05-19,715.00,725.00,713.60,718.15,3800,718.15
2015-05-18,695.00,717.00,695.00,712.15,6100,712.15
2015-05-15,679.50,705.00,673.25,689.65,10000,689.65
2015-05-14,667.00,680.00,662.10,675.30,3400,675.30
