Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.70,0.70,0.70,0.70,89300,0.70
2015-07-16,0.73,0.73,0.73,0.73,41000,0.73
2015-07-15,0.76,0.76,0.70,0.70,11200,0.70
2015-07-14,0.73,0.73,0.73,0.73,000,0.73
2015-07-13,0.73,0.73,0.73,0.73,11700,0.73
2015-07-10,0.76,0.82,0.76,0.76,34800,0.76
2015-07-09,0.79,0.79,0.79,0.79,14700,0.79
2015-07-08,0.84,0.84,0.83,0.83,20500,0.83
2015-07-07,0.80,0.80,0.80,0.80,6100,0.80
2015-07-06,0.77,0.77,0.77,0.77,8700,0.77
2015-07-03,0.74,0.74,0.74,0.74,1000,0.74
2015-07-02,0.71,0.71,0.71,0.71,100,0.71
2015-07-01,0.71,0.74,0.71,0.71,17300,0.71
2015-06-30,0.74,0.74,0.74,0.74,3200,0.74
2015-06-29,0.77,0.77,0.77,0.77,5300,0.77
2015-06-26,0.81,0.81,0.81,0.81,000,0.81
2015-06-25,0.81,0.81,0.81,0.81,000,0.81
2015-06-24,0.81,0.81,0.81,0.81,1000,0.81
2015-06-23,0.85,0.85,0.85,0.85,5300,0.85
2015-06-22,0.86,0.86,0.86,0.86,000,0.86
2015-06-19,0.90,0.90,0.86,0.86,4000,0.86
2015-06-18,0.89,0.90,0.89,0.90,2400,0.90
2015-06-17,0.90,0.90,0.90,0.90,100,0.90
2015-06-16,0.90,0.90,0.90,0.90,000,0.90
2015-06-15,0.90,0.90,0.90,0.90,21000,0.90
2015-06-12,0.86,0.86,0.86,0.86,500,0.86
2015-06-11,0.77,0.90,0.77,0.90,5200,0.90
2015-06-10,0.85,0.85,0.85,0.85,2500,0.85
2015-06-09,0.78,0.78,0.78,0.78,000,0.78
2015-06-08,0.79,0.79,0.71,0.71,1600,0.71
2015-06-05,0.79,0.79,0.78,0.78,5000,0.78
2015-06-04,0.72,0.72,0.72,0.72,6700,0.72
2015-06-03,0.77,0.77,0.72,0.72,20500,0.72
2015-06-02,0.90,0.90,0.89,0.89,2300,0.89
2015-06-01,1.00,1.00,0.90,0.90,13000,0.90
2015-05-29,1.00,1.00,0.94,1.00,53200,1.00
2015-05-28,1.00,1.00,1.00,1.00,3400,1.00
2015-05-27,1.00,1.12,0.90,1.12,14600,1.12
2015-05-26,1.10,1.10,1.00,1.10,17200,1.10
2015-05-25,1.14,1.14,1.14,1.14,8400,1.14
2015-05-22,1.12,1.12,1.12,1.12,500,1.12
2015-05-21,1.15,1.15,1.15,1.15,000,1.15
2015-05-20,1.03,1.19,1.03,1.15,900,1.15
2015-05-19,1.01,1.15,1.01,1.15,1100,1.15
2015-05-18,1.06,1.06,1.05,1.14,2400,1.14
2015-05-15,1.05,1.14,1.05,1.14,7600,1.14
2015-05-14,0.96,1.17,0.96,1.17,5100,1.17
