Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,50.00,50.30,49.05,49.60,7200,49.60
2015-07-16,49.10,51.25,49.00,49.80,12800,49.80
2015-07-15,50.95,50.95,49.00,49.50,10900,49.50
2015-07-14,51.45,51.55,48.90,49.90,16700,49.90
2015-07-13,52.00,53.00,49.75,50.25,67700,50.25
2015-07-10,45.00,49.55,45.00,48.55,54800,48.55
2015-07-09,40.00,44.40,39.70,43.40,28600,43.40
2015-07-08,37.90,38.55,36.20,38.05,6100,38.05
2015-07-07,35.00,36.80,34.70,36.00,10100,36.00
2015-07-06,34.95,35.00,34.35,34.95,4000,34.95
2015-07-03,35.00,35.00,33.30,34.05,2600,34.05
2015-07-02,33.90,35.00,33.65,34.70,4300,34.70
2015-07-01,33.45,33.95,32.60,32.90,1100,32.90
2015-06-30,33.10,33.45,32.35,33.20,1500,33.20
2015-06-29,32.10,32.15,31.95,32.05,1000,32.05
2015-06-26,31.60,33.00,31.60,33.00,300,33.00
2015-06-25,32.70,33.45,32.65,32.80,1200,32.80
2015-06-24,32.35,33.95,32.35,33.40,400,33.40
2015-06-23,33.00,33.00,32.50,32.50,900,32.50
2015-06-22,34.50,34.85,33.00,33.05,1100,33.05
2015-06-19,32.00,32.00,31.80,31.80,1300,31.80
2015-06-18,32.15,32.75,31.75,32.55,1200,32.55
2015-06-17,32.20,32.30,32.05,32.25,200,32.25
2015-06-16,32.15,32.30,31.75,31.90,100,31.90
2015-06-15,32.25,33.10,32.25,32.25,200,32.25
2015-06-12,34.20,34.20,30.75,32.00,200,32.00
2015-06-11,32.10,33.80,32.10,33.25,700,33.25
2015-06-10,33.20,33.75,32.65,32.65,800,32.65
2015-06-09,35.30,35.30,32.60,33.10,800,33.10
2015-06-08,34.35,34.35,32.50,34.00,800,34.00
2015-06-05,31.20,33.00,30.50,32.00,1000,32.00
2015-06-04,30.20,32.20,30.00,31.70,2900,31.70
2015-06-03,35.95,35.95,30.60,30.95,5900,30.95
2015-06-02,36.05,37.80,35.25,35.60,14800,35.60
2015-06-01,32.50,34.80,30.90,34.80,19900,34.80
2015-05-29,29.10,29.10,29.00,29.00,100,29.00
2015-05-28,29.85,29.85,29.85,29.85,100,29.85
2015-05-27,27.40,30.80,27.25,30.35,500,30.35
2015-05-26,30.00,30.15,28.85,30.15,800,30.15
2015-05-25,29.80,29.80,29.00,29.00,600,29.00
2015-05-22,31.10,31.10,29.70,30.45,1000,30.45
2015-05-21,30.75,31.00,30.75,30.90,100,30.90
2015-05-20,29.75,29.90,28.30,28.30,200,28.30
