Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,824.00,835.45,812.30,824.50,606200,824.50
2015-07-16,807.00,835.55,805.40,829.50,728700,829.50
2015-07-15,813.95,815.05,801.25,804.50,314500,804.50
2015-07-14,819.80,821.90,806.05,812.05,287900,812.05
2015-07-13,815.60,820.50,788.35,815.40,565800,815.40
2015-07-10,807.00,814.70,805.00,809.20,258600,809.20
2015-07-09,809.90,820.00,796.70,800.50,508600,800.50
2015-07-08,851.00,851.00,792.45,797.35,1062500,797.35
2015-07-07,870.50,877.75,856.50,862.00,155700,862.00
2015-07-06,859.00,872.00,855.15,869.70,210900,869.70
2015-07-03,870.00,874.90,863.00,871.85,149300,871.85
2015-07-02,869.90,877.90,867.00,869.40,165600,869.40
2015-07-01,845.00,870.55,842.00,867.20,234400,867.20
2015-06-30,837.15,845.55,834.40,843.00,261600,843.00
2015-06-29,829.00,840.00,824.60,837.50,301300,837.50
2015-06-26,858.30,858.30,839.35,850.35,410700,850.35
2015-06-25,856.10,865.00,851.60,858.30,174200,858.30
2015-06-24,859.95,873.40,852.25,859.10,215300,859.10
2015-06-23,863.00,869.80,856.05,866.70,240700,866.70
2015-06-22,831.40,863.40,831.40,858.80,371200,858.80
2015-06-19,827.00,835.00,822.15,830.00,227600,830.00
2015-06-18,810.00,822.50,807.55,822.50,353600,822.50
2015-06-17,817.50,823.10,811.45,815.70,274800,815.70
2015-06-16,805.00,819.00,796.10,815.90,300300,815.90
2015-06-15,808.55,814.70,798.25,804.55,285900,804.55
2015-06-12,797.00,810.90,794.50,805.85,390600,805.85
2015-06-11,839.00,843.25,802.50,804.75,419200,804.75
2015-06-10,822.80,835.55,822.80,833.45,224800,833.45
2015-06-09,825.00,834.90,818.90,822.65,189300,822.65
2015-06-08,826.00,829.70,816.10,823.10,345100,823.10
2015-06-05,828.00,841.20,819.50,822.30,377100,822.30
2015-06-04,834.75,835.00,820.20,828.05,656200,828.05
2015-06-03,844.50,846.60,825.75,829.25,494400,829.25
2015-06-02,887.90,887.90,841.85,846.60,491000,846.60
2015-06-01,885.00,897.00,877.50,879.35,194300,879.35
2015-05-29,862.00,884.80,862.00,882.60,249600,882.60
2015-05-28,870.45,876.00,857.00,858.05,181800,858.05
2015-05-27,855.00,873.80,849.35,870.45,217100,870.45
2015-05-26,854.10,866.00,845.95,861.70,182500,861.70
2015-05-25,866.50,866.50,850.00,853.45,175500,853.45
2015-05-22,864.00,872.50,861.00,866.80,437800,866.80
2015-05-21,871.80,871.80,853.55,862.00,227900,862.00
2015-05-20,869.00,879.40,866.65,874.80,233500,865.80
2015-05-19,866.00,877.45,858.55,864.10,416800,855.21
2015-05-18,852.00,868.40,852.00,864.55,212900,855.66
2015-05-15,843.00,863.95,842.95,850.15,341100,841.40
2015-05-14,842.25,845.00,827.00,838.65,238700,830.02
2015-05-13,824.60,849.70,824.60,840.70,529900,832.05
2015-05-12,844.35,844.35,818.00,823.10,387300,814.63
2015-05-11,835.00,848.35,828.15,845.05,252500,836.36
2015-05-08,810.10,829.15,804.80,826.25,331900,817.75
2015-05-07,820.00,820.10,789.00,798.75,290500,790.53
2015-05-06,854.90,854.90,817.00,821.20,311300,812.75
2015-05-05,853.70,864.90,849.00,857.35,220500,848.53
2015-05-04,850.00,858.90,847.00,853.55,158300,844.77
2015-05-01,839.80,839.80,839.80,839.80,000,831.16
2015-04-30,835.00,848.45,827.00,839.80,243800,831.16
2015-04-29,824.80,843.90,820.50,834.30,259700,825.72
2015-04-28,813.10,831.90,806.40,825.70,473800,817.21
2015-04-27,831.10,831.10,805.00,811.20,278400,802.85
2015-04-24,854.00,855.00,820.50,824.15,367700,815.67
2015-04-23,804.50,854.50,804.20,851.40,1208400,842.64
2015-04-22,790.00,801.40,776.60,795.75,1032800,787.56
2015-04-21,785.00,802.80,772.65,784.55,327000,776.48
2015-04-20,812.00,816.20,776.70,787.70,417500,779.60
2015-04-17,849.00,849.00,806.00,810.25,346700,801.91
2015-04-16,847.00,854.50,835.45,850.10,251200,841.35
2015-04-15,844.80,864.00,836.25,845.65,550800,836.95
2015-04-14,840.90,840.90,840.90,840.90,000,832.25
2015-04-13,842.20,847.00,836.30,840.90,166700,832.25
2015-04-10,845.00,850.00,838.15,841.90,225800,833.24
2015-04-09,824.50,844.90,820.95,842.40,339700,833.73
2015-04-08,838.00,843.10,818.95,820.50,481300,812.06
