Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1526.00,1586.50,1511.00,1529.50,1700,1529.50
2015-07-16,1570.00,1586.75,1523.00,1526.50,2200,1526.50
2015-07-15,1467.00,1638.00,1458.75,1568.50,14300,1568.50
2015-07-14,1445.25,1492.00,1444.00,1454.75,1100,1454.75
2015-07-13,1454.50,1465.00,1436.50,1443.00,500,1443.00
2015-07-10,1474.00,1474.00,1420.25,1433.25,700,1433.25
2015-07-09,1445.00,1484.75,1436.50,1454.00,1000,1454.00
2015-07-08,1464.00,1492.50,1431.75,1450.75,500,1450.75
2015-07-07,1451.00,1525.00,1451.00,1488.00,1300,1488.00
2015-07-06,1417.25,1477.00,1414.50,1449.75,700,1449.75
2015-07-03,1455.50,1470.00,1432.00,1444.75,400,1444.75
2015-07-02,1440.00,1484.25,1435.00,1440.75,1400,1440.75
2015-07-01,1438.00,1465.00,1433.75,1450.25,700,1450.25
2015-06-30,1407.00,1439.25,1407.00,1422.25,300,1422.25
2015-06-29,1404.00,1432.00,1392.25,1421.25,900,1421.25
2015-06-26,1482.00,1500.50,1453.00,1461.00,700,1461.00
2015-06-25,1479.75,1524.00,1475.00,1487.50,700,1487.50
2015-06-24,1495.25,1540.00,1481.50,1494.25,1100,1494.25
2015-06-23,1547.00,1555.00,1487.25,1495.50,1500,1495.50
2015-06-22,1529.00,1596.75,1511.00,1542.75,3700,1542.75
2015-06-19,1360.00,1621.50,1360.00,1534.00,28700,1534.00
2015-06-18,1350.00,1373.00,1343.00,1351.25,500,1351.25
2015-06-17,1323.00,1386.75,1311.50,1336.75,1100,1336.75
2015-06-16,1315.00,1322.00,1275.00,1296.75,400,1296.75
2015-06-15,1311.00,1341.00,1305.00,1315.25,200,1315.25
2015-06-12,1315.50,1340.75,1298.00,1305.75,700,1305.75
2015-06-11,1355.50,1364.00,1311.50,1318.75,400,1318.75
2015-06-10,1351.00,1357.25,1336.00,1342.75,500,1342.75
2015-06-09,1335.00,1351.00,1325.25,1329.75,400,1329.75
2015-06-08,1363.00,1392.75,1346.00,1346.00,300,1346.00
2015-06-05,1367.25,1394.50,1350.00,1377.00,600,1377.00
2015-06-04,1394.75,1401.00,1356.25,1378.25,400,1378.25
2015-06-03,1474.75,1475.00,1346.75,1376.75,1100,1376.75
2015-06-02,1518.75,1520.00,1460.00,1464.75,500,1464.75
2015-06-01,1537.50,1538.00,1511.75,1515.00,400,1515.00
2015-05-29,1524.50,1540.25,1511.00,1511.00,600,1511.00
2015-05-28,1522.25,1535.00,1500.25,1505.00,400,1505.00
2015-05-27,1520.25,1545.00,1505.00,1520.25,500,1520.25
2015-05-26,1549.50,1559.00,1521.00,1536.50,1500,1536.50
2015-05-25,1520.50,1559.00,1504.00,1514.00,2500,1514.00
2015-05-22,1515.00,1537.75,1500.00,1515.50,300,1515.50
2015-05-21,1537.50,1559.00,1506.00,1528.75,600,1528.75
2015-05-20,1519.50,1576.75,1508.00,1528.25,3200,1528.25
2015-05-19,1507.75,1550.00,1499.00,1500.25,1600,1500.25
2015-05-18,1501.50,1520.00,1490.00,1497.75,400,1497.75
2015-05-15,1500.00,1562.25,1483.00,1488.75,1700,1488.75
2015-05-14,1466.25,1496.00,1463.50,1473.00,400,1473.00
2015-05-13,1489.75,1504.75,1448.00,1472.75,800,1472.75
