Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,35.50,35.50,34.70,34.95,49900,34.95
2015-07-16,34.75,35.50,33.90,35.45,31900,35.45
2015-07-15,37.40,37.40,34.55,35.05,102300,35.05
2015-07-14,35.00,35.25,34.80,35.05,54900,35.05
2015-07-13,35.25,35.25,34.80,35.05,49400,35.05
2015-07-10,35.25,35.25,35.00,35.15,53800,35.15
2015-07-09,35.10,35.30,34.80,35.15,67700,35.15
2015-07-08,34.90,35.25,34.50,34.95,23400,34.95
2015-07-07,35.75,35.75,35.10,35.25,44200,35.25
2015-07-06,35.80,35.80,35.50,35.60,15600,35.60
2015-07-03,36.00,36.80,35.85,36.25,35700,36.25
2015-07-02,35.85,36.65,35.50,35.90,132100,35.90
2015-07-01,37.00,37.00,35.60,35.75,69900,35.75
2015-06-30,35.75,36.00,35.45,35.95,58100,35.95
2015-06-29,36.00,36.00,35.30,35.75,75600,35.75
2015-06-26,36.20,36.20,35.70,36.00,59800,36.00
2015-06-25,36.00,36.10,35.50,36.05,10300,36.05
2015-06-24,36.25,36.25,35.65,36.00,109100,36.00
2015-06-23,36.05,36.30,36.00,36.25,55800,36.25
2015-06-22,36.35,36.90,36.10,36.25,55000,36.25
2015-06-19,36.00,36.80,36.00,36.50,73100,36.50
2015-06-18,36.30,36.30,35.80,36.00,43900,36.00
2015-06-17,35.90,36.45,35.80,36.00,116800,36.00
2015-06-16,36.00,36.00,35.75,36.00,110600,36.00
2015-06-15,36.00,36.00,35.75,36.00,146300,36.00
2015-06-12,36.00,36.00,35.60,36.00,123800,36.00
2015-06-11,36.10,36.10,35.60,35.95,65600,35.95
2015-06-10,35.95,36.30,35.40,36.00,56500,36.00
2015-06-09,35.10,36.35,35.00,35.50,90000,35.50
2015-06-08,35.75,36.30,35.05,35.50,92200,35.50
2015-06-05,35.25,35.90,35.25,35.30,81900,35.30
2015-06-04,35.90,36.00,35.00,35.50,193600,35.50
2015-06-03,35.60,36.90,33.55,35.55,173500,35.55
2015-06-02,35.70,35.80,35.10,35.50,135600,35.50
2015-06-01,35.40,35.50,35.20,35.20,14800,35.20
2015-05-29,36.80,36.80,35.00,35.15,40200,35.15
2015-05-28,36.10,36.70,34.45,36.65,36400,36.65
2015-05-27,35.20,38.90,35.20,35.95,258600,35.95
2015-05-26,35.75,35.75,35.05,35.50,10700,35.50
2015-05-25,35.25,35.50,35.00,35.40,3700,35.40
2015-05-22,35.50,35.50,35.00,35.20,8200,35.20
2015-05-21,35.15,35.65,34.90,35.30,9800,35.30
2015-05-20,35.25,35.25,35.00,35.20,6600,35.20
2015-05-19,34.75,35.45,34.75,35.00,16000,35.00
2015-05-18,34.95,35.60,34.90,34.90,1100,34.90
2015-05-15,34.95,35.25,34.95,35.20,6200,35.20
2015-05-14,34.70,34.95,34.50,34.80,19100,34.80
2015-05-13,34.65,35.55,34.65,34.80,2900,34.80
2015-05-12,35.00,35.25,34.40,34.45,4300,34.45
2015-05-11,35.20,35.50,35.20,35.40,3000,35.40
2015-05-08,35.05,35.35,34.70,34.80,6500,34.80
2015-05-07,34.55,35.20,34.45,35.00,10400,35.00
2015-05-06,35.25,35.50,34.40,34.60,3000,34.60
2015-05-05,35.95,36.00,35.55,35.75,1900,35.75
2015-05-04,35.75,36.00,35.55,35.55,2700,35.55
2015-05-01,35.55,35.55,35.55,35.55,000,35.55
2015-04-30,35.70,36.00,35.50,35.55,2700,35.55
2015-04-29,35.60,36.00,35.40,35.90,2500,35.90
2015-04-28,35.30,35.85,35.00,35.65,8600,35.65
2015-04-27,35.50,35.50,34.40,35.05,26600,35.05
2015-04-24,36.40,36.45,35.10,35.50,9200,35.50
2015-04-23,35.50,36.00,35.40,36.00,23800,36.00
2015-04-22,35.95,35.95,35.00,35.55,26600,35.55
2015-04-21,35.50,36.00,35.50,35.55,14900,35.55
2015-04-20,36.00,36.60,34.80,35.95,25600,35.95
2015-04-17,35.90,36.20,35.60,36.00,13400,36.00
2015-04-16,35.90,36.50,35.55,36.15,10700,36.15
2015-04-15,36.65,36.85,35.60,36.15,84600,36.15
2015-04-14,36.45,36.45,36.45,36.45,000,36.45
2015-04-13,37.95,38.00,35.75,36.45,1873700,36.45
2015-04-10,37.95,38.40,37.50,37.65,14500,37.65
2015-04-09,37.90,38.55,37.40,37.80,13600,37.80
2015-04-08,37.50,37.90,37.25,37.70,11200,37.70
2015-04-07,37.25,37.55,36.85,37.50,34200,37.50
2015-04-06,36.80,38.25,36.30,37.15,43100,37.15
2015-04-03,36.80,36.80,36.80,36.80,000,36.80
2015-04-02,36.80,36.80,36.80,36.80,000,36.80
2015-04-01,36.50,37.30,36.35,36.80,48600,36.80
2015-03-31,36.30,36.45,36.00,36.20,800,36.20
2015-03-30,36.00,36.05,35.15,35.55,19800,35.55
2015-03-27,36.20,36.50,35.50,35.60,21500,35.60
