Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,766.45,776.80,755.60,760.85,27900,760.85
2015-07-16,746.80,787.00,730.00,766.45,133700,766.45
2015-07-15,690.00,778.90,679.05,744.75,180100,744.75
2015-07-14,680.00,693.00,679.65,688.00,3100,688.00
2015-07-13,666.00,688.00,658.45,677.65,6100,677.65
2015-07-10,660.00,666.00,657.55,660.80,3100,660.80
2015-07-09,663.85,669.60,651.95,657.25,6300,657.25
2015-07-08,667.60,673.50,660.60,666.55,3200,666.55
2015-07-07,679.90,687.00,670.35,675.00,3500,675.00
2015-07-06,675.00,678.95,667.10,671.90,2800,671.90
2015-07-03,682.00,683.00,673.95,678.20,4600,678.20
2015-07-02,672.70,689.95,671.95,684.75,4000,678.25
2015-07-01,660.00,675.00,656.00,672.00,4600,665.621
2015-06-30,663.60,667.05,654.20,656.90,5700,650.664
2015-06-29,656.70,662.00,650.25,660.40,7300,654.131
2015-06-26,672.00,690.20,664.00,673.10,14200,666.711
2015-06-25,680.00,686.00,671.00,671.75,4300,665.373
2015-06-24,687.00,705.90,676.50,688.75,34200,682.212
2015-06-23,690.00,693.95,675.00,686.05,81800,679.538
2015-06-22,670.00,695.95,662.10,690.25,9300,683.698
2015-06-19,669.90,675.00,653.00,664.95,7300,658.638
2015-06-18,664.00,673.95,649.90,662.90,4500,656.607
2015-06-17,669.95,669.95,636.50,646.15,10300,640.016
2015-06-16,674.95,674.95,642.10,646.80,10600,640.66
2015-06-15,659.90,679.00,658.00,668.60,6900,662.253
2015-06-12,667.00,670.00,653.70,656.80,5700,650.565
2015-06-11,690.00,695.00,663.10,665.95,11200,659.628
2015-06-10,695.00,698.10,681.70,683.15,2800,676.665
2015-06-09,697.00,711.00,686.00,689.80,2900,683.252
2015-06-08,720.00,725.00,700.00,702.25,2100,695.584
2015-06-05,706.70,728.90,705.00,716.80,4500,709.996
2015-06-04,720.00,728.00,699.00,706.40,4700,699.695
2015-06-03,742.55,742.55,697.00,714.95,8000,708.163
2015-06-02,757.05,760.00,732.00,737.00,7900,730.004
2015-06-01,778.30,790.00,753.05,755.80,8600,748.626
2015-05-29,733.00,774.00,733.00,768.45,24900,761.155
2015-05-28,711.00,746.55,711.00,734.65,5200,727.676
